FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3084,DFW,"Dallas/Fort Worth, TX",TX,74,SBN,"South Bend, IN",IN,42,1220,1224,1544,1507,0,0,846
1/1/2022 0:00,AA,3182,DFW,"Dallas/Fort Worth, TX",TX,74,SBN,"South Bend, IN",IN,42,1838,1958,2200,2313,0,0,846
1/1/2022 0:00,AA,5240,CLT,"Charlotte, NC",NC,36,SBN,"South Bend, IN",IN,42,1450,1449,1649,1654,0,0,534
1/1/2022 0:00,AA,5327,CLT,"Charlotte, NC",NC,36,SBN,"South Bend, IN",IN,42,930,918,1135,1117,0,0,534
1/1/2022 0:00,DL,3512,DTW,"Detroit, MI",MI,43,SBN,"South Bend, IN",IN,42,1350,2105,1455,2246,0,0,157
1/1/2022 0:00,DL,3541,DTW,"Detroit, MI",MI,43,SBN,"South Bend, IN",IN,42,2050,,2155,,1,0,157
1/1/2022 0:00,DL,5424,ATL,"Atlanta, GA",GA,34,SBN,"South Bend, IN",IN,42,1020,1026,1214,1210,0,0,566
1/1/2022 0:00,DL,5477,ATL,"Atlanta, GA",GA,34,SBN,"South Bend, IN",IN,42,2104,2059,2253,2250,0,0,566
1/1/2022 0:00,G4,2500,SFB,"Sanford, FL",FL,33,SBN,"South Bend, IN",IN,42,1240,1319,1504,1537,0,0,936
1/1/2022 0:00,UA,4667,ORD,"Chicago, IL",IL,41,SBN,"South Bend, IN",IN,42,1755,,1959,,1,0,84
1/1/2022 0:00,UA,4787,ORD,"Chicago, IL",IL,41,SBN,"South Bend, IN",IN,42,1430,,1630,,1,0,84
1/1/2022 0:00,UA,5223,ORD,"Chicago, IL",IL,41,SBN,"South Bend, IN",IN,42,1950,,2153,,1,0,84
1/1/2022 0:00,UA,5532,ORD,"Chicago, IL",IL,41,SBN,"South Bend, IN",IN,42,1040,,1240,,1,0,84
1/1/2022 0:00,UA,5746,ORD,"Chicago, IL",IL,41,SBN,"South Bend, IN",IN,42,2120,,2319,,1,0,84
1/2/2022 0:00,AA,3084,DFW,"Dallas/Fort Worth, TX",TX,74,SBN,"South Bend, IN",IN,42,1220,1218,1544,1522,0,0,846
1/2/2022 0:00,AA,3182,DFW,"Dallas/Fort Worth, TX",TX,74,SBN,"South Bend, IN",IN,42,1838,1908,2200,2226,0,0,846
1/2/2022 0:00,AA,5240,CLT,"Charlotte, NC",NC,36,SBN,"South Bend, IN",IN,42,2230,2300,24,53,0,0,534
1/2/2022 0:00,AA,5327,CLT,"Charlotte, NC",NC,36,SBN,"South Bend, IN",IN,42,930,915,1135,1123,0,0,534
1/2/2022 0:00,DL,3512,DTW,"Detroit, MI",MI,43,SBN,"South Bend, IN",IN,42,1347,1628,1453,1742,0,0,157
1/2/2022 0:00,DL,3536,MSP,"Minneapolis, MN",MN,63,SBN,"South Bend, IN",IN,42,1940,2127,2223,2346,0,0,411
1/2/2022 0:00,DL,3541,DTW,"Detroit, MI",MI,43,SBN,"South Bend, IN",IN,42,2050,,2156,,1,0,157
1/2/2022 0:00,DL,4656,ATL,"Atlanta, GA",GA,34,SBN,"South Bend, IN",IN,42,1523,1518,1715,1707,0,0,566
1/2/2022 0:00,DL,5424,ATL,"Atlanta, GA",GA,34,SBN,"South Bend, IN",IN,42,1000,955,1155,1128,0,0,566
1/2/2022 0:00,DL,5477,ATL,"Atlanta, GA",GA,34,SBN,"South Bend, IN",IN,42,2104,2111,2254,2304,0,0,566
1/2/2022 0:00,G4,1749,PGD,"Punta Gorda, FL",FL,33,SBN,"South Bend, IN",IN,42,1739,1828,2011,2053,0,0,1049
1/2/2022 0:00,G4,2023,PIE,"St. Petersburg, FL",FL,33,SBN,"South Bend, IN",IN,42,1802,,2026,,1,0,973
1/2/2022 0:00,G4,55,LAS,"Las Vegas, NV",NV,85,SBN,"South Bend, IN",IN,42,645,640,1312,1305,0,0,1594
1/2/2022 0:00,UA,4667,ORD,"Chicago, IL",IL,41,SBN,"South Bend, IN",IN,42,1755,1754,1959,1952,0,0,84
1/2/2022 0:00,UA,4787,ORD,"Chicago, IL",IL,41,SBN,"South Bend, IN",IN,42,1430,1439,1630,1623,0,0,84
1/2/2022 0:00,UA,5223,ORD,"Chicago, IL",IL,41,SBN,"South Bend, IN",IN,42,1950,2003,2153,2214,0,0,84
1/2/2022 0:00,UA,5532,ORD,"Chicago, IL",IL,41,SBN,"South Bend, IN",IN,42,1040,,1240,,1,0,84
1/2/2022 0:00,UA,5746,ORD,"Chicago, IL",IL,41,SBN,"South Bend, IN",IN,42,2120,,2319,,1,0,84
1/3/2022 0:00,AA,3084,DFW,"Dallas/Fort Worth, TX",TX,74,SBN,"South Bend, IN",IN,42,1220,1216,1544,1538,0,0,846
1/3/2022 0:00,AA,3182,DFW,"Dallas/Fort Worth, TX",TX,74,SBN,"South Bend, IN",IN,42,1838,1829,2200,2200,0,0,846
1/3/2022 0:00,AA,5240,CLT,"Charlotte, NC",NC,36,SBN,"South Bend, IN",IN,42,2230,2228,24,25,0,0,534
1/3/2022 0:00,AA,5327,CLT,"Charlotte, NC",NC,36,SBN,"South Bend, IN",IN,42,930,956,1135,1142,0,0,534
1/3/2022 0:00,DL,3512,DTW,"Detroit, MI",MI,43,SBN,"South Bend, IN",IN,42,1347,1509,1453,1603,0,0,157
1/3/2022 0:00,DL,3536,MSP,"Minneapolis, MN",MN,63,SBN,"South Bend, IN",IN,42,1940,2212,2223,50,0,0,411
1/3/2022 0:00,DL,3541,DTW,"Detroit, MI",MI,43,SBN,"South Bend, IN",IN,42,2050,2052,2156,2149,0,0,157
1/3/2022 0:00,DL,4656,ATL,"Atlanta, GA",GA,34,SBN,"South Bend, IN",IN,42,1523,1616,1715,1755,0,0,566
