FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3184,PHX,"Phoenix, AZ",AZ,81,SBP,"San Luis Obispo, CA",CA,91,1101,1132,1153,1223,0,0,509
1/1/2022 0:00,AA,3268,PHX,"Phoenix, AZ",AZ,81,SBP,"San Luis Obispo, CA",CA,91,2120,2119,2214,2152,0,0,509
1/1/2022 0:00,AA,4363,DFW,"Dallas/Fort Worth, TX",TX,74,SBP,"San Luis Obispo, CA",CA,91,1938,1934,2125,2131,0,0,1360
1/1/2022 0:00,AS,2025,SEA,"Seattle, WA",WA,93,SBP,"San Luis Obispo, CA",CA,91,1535,1554,1757,1816,0,0,847
1/1/2022 0:00,AS,3435,SAN,"San Diego, CA",CA,91,SBP,"San Luis Obispo, CA",CA,91,1415,1434,1521,1535,0,0,263
1/1/2022 0:00,UA,5238,DEN,"Denver, CO",CO,82,SBP,"San Luis Obispo, CA",CA,91,1900,2014,2101,2200,0,0,931
1/1/2022 0:00,UA,5331,LAX,"Los Angeles, CA",CA,91,SBP,"San Luis Obispo, CA",CA,91,1015,1024,1118,1123,0,0,156
1/1/2022 0:00,UA,5446,SFO,"San Francisco, CA",CA,91,SBP,"San Luis Obispo, CA",CA,91,2240,2259,2346,8,0,0,190
1/1/2022 0:00,UA,5510,LAX,"Los Angeles, CA",CA,91,SBP,"San Luis Obispo, CA",CA,91,2300,2300,8,2353,0,0,156
1/1/2022 0:00,UA,5593,DEN,"Denver, CO",CO,82,SBP,"San Luis Obispo, CA",CA,91,1135,1202,1334,1446,0,0,931
1/1/2022 0:00,UA,5623,SFO,"San Francisco, CA",CA,91,SBP,"San Luis Obispo, CA",CA,91,850,846,1005,958,0,0,190
1/2/2022 0:00,AA,3069,PHX,"Phoenix, AZ",AZ,81,SBP,"San Luis Obispo, CA",CA,91,830,846,922,936,0,0,509
1/2/2022 0:00,AA,3184,PHX,"Phoenix, AZ",AZ,81,SBP,"San Luis Obispo, CA",CA,91,1101,1056,1153,1141,0,0,509
1/2/2022 0:00,AA,3268,PHX,"Phoenix, AZ",AZ,81,SBP,"San Luis Obispo, CA",CA,91,1757,1800,1847,1841,0,0,509
1/2/2022 0:00,AA,4066,DFW,"Dallas/Fort Worth, TX",TX,74,SBP,"San Luis Obispo, CA",CA,91,900,903,1054,1037,0,0,1360
1/2/2022 0:00,AA,4363,DFW,"Dallas/Fort Worth, TX",TX,74,SBP,"San Luis Obispo, CA",CA,91,1938,1938,2125,2103,0,0,1360
1/2/2022 0:00,AS,2025,SEA,"Seattle, WA",WA,93,SBP,"San Luis Obispo, CA",CA,91,1535,1557,1757,1823,0,0,847
1/2/2022 0:00,AS,2031,PDX,"Portland, OR",OR,92,SBP,"San Luis Obispo, CA",CA,91,820,816,1021,1018,0,0,722
1/2/2022 0:00,AS,3435,SAN,"San Diego, CA",CA,91,SBP,"San Luis Obispo, CA",CA,91,1415,1412,1521,1511,0,0,263
1/2/2022 0:00,UA,5238,DEN,"Denver, CO",CO,82,SBP,"San Luis Obispo, CA",CA,91,1900,1942,2101,2118,0,0,931
1/2/2022 0:00,UA,5331,LAX,"Los Angeles, CA",CA,91,SBP,"San Luis Obispo, CA",CA,91,1015,1021,1118,1111,0,0,156
1/2/2022 0:00,UA,5446,SFO,"San Francisco, CA",CA,91,SBP,"San Luis Obispo, CA",CA,91,2240,2341,2346,34,0,0,190
1/2/2022 0:00,UA,5510,LAX,"Los Angeles, CA",CA,91,SBP,"San Luis Obispo, CA",CA,91,2300,205,8,302,0,0,156
1/2/2022 0:00,UA,5593,DEN,"Denver, CO",CO,82,SBP,"San Luis Obispo, CA",CA,91,1135,1154,1334,1359,0,0,931
1/2/2022 0:00,UA,5623,SFO,"San Francisco, CA",CA,91,SBP,"San Luis Obispo, CA",CA,91,850,858,1005,959,0,0,190
1/3/2022 0:00,AA,3069,PHX,"Phoenix, AZ",AZ,81,SBP,"San Luis Obispo, CA",CA,91,830,825,922,914,0,0,509
