FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/3/2022 0:00,AS,55,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,550,543,733,730,0,0,626
1/4/2022 0:00,AS,52,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,1545,1538,1730,1726,0,0,626
1/4/2022 0:00,AS,55,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,545,537,733,728,0,0,626
1/5/2022 0:00,AS,55,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,545,,733,,1,0,626
1/6/2022 0:00,AS,52,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,1545,,1730,,1,0,626
1/6/2022 0:00,AS,55,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,545,,733,,1,0,626
1/7/2022 0:00,AS,55,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,545,853,733,1050,0,0,626
1/10/2022 0:00,AS,55,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,545,529,733,707,0,0,626
1/11/2022 0:00,AS,52,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,1545,1533,1730,1717,0,0,626
1/11/2022 0:00,AS,55,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,545,548,733,733,0,0,626
1/12/2022 0:00,AS,55,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,545,753,733,931,0,0,626
1/13/2022 0:00,AS,52,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,1545,1605,1730,1751,0,0,626
1/13/2022 0:00,AS,55,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,545,537,733,727,0,0,626
1/14/2022 0:00,AS,55,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,545,526,733,720,0,0,626
1/17/2022 0:00,AS,55,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,545,603,733,757,0,0,626
1/18/2022 0:00,AS,52,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,1545,1536,1730,1713,0,0,626
1/18/2022 0:00,AS,55,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,545,536,733,711,0,0,626
1/19/2022 0:00,AS,55,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,545,531,733,721,0,0,626
1/20/2022 0:00,AS,52,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,1545,1541,1730,1717,0,0,626
1/20/2022 0:00,AS,55,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,545,610,733,807,0,0,626
1/21/2022 0:00,AS,55,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,545,528,733,717,0,0,626
1/24/2022 0:00,AS,55,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,545,531,733,703,0,0,626
1/25/2022 0:00,AS,52,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,1545,,1730,,1,0,626
1/25/2022 0:00,AS,55,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,545,537,733,723,0,0,626
1/26/2022 0:00,AS,55,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,545,538,733,754,0,0,626
1/27/2022 0:00,AS,52,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,1545,1532,1730,1715,0,0,626
1/27/2022 0:00,AS,55,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,545,559,733,830,0,0,626
1/28/2022 0:00,AS,55,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,545,530,733,808,0,0,626
1/31/2022 0:00,AS,55,ANC,"Anchorage, AK",AK,1,SCC,"Deadhorse, AK",AK,1,545,535,733,731,0,0,626
