FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,6138,PHL,"Philadelphia, PA",PA,23,SCE,"State College, PA",PA,23,2015,2014,2136,2200,0,0,153
1/1/2022 0:00,AA,6215,PHL,"Philadelphia, PA",PA,23,SCE,"State College, PA",PA,23,1545,1535,1650,1628,0,0,153
1/1/2022 0:00,DL,5067,DTW,"Detroit, MI",MI,43,SCE,"State College, PA",PA,23,1201,1156,1316,1256,0,0,301
1/1/2022 0:00,UA,3790,IAD,"Washington, DC",VA,38,SCE,"State College, PA",PA,23,1830,1824,1939,1923,0,0,133
1/1/2022 0:00,UA,3805,ORD,"Chicago, IL",IL,41,SCE,"State College, PA",PA,23,1425,,1715,,1,0,528
1/1/2022 0:00,UA,3881,IAD,"Washington, DC",VA,38,SCE,"State College, PA",PA,23,1110,1144,1215,1234,0,0,133
1/1/2022 0:00,UA,3908,ORD,"Chicago, IL",IL,41,SCE,"State College, PA",PA,23,1850,,2146,,1,0,528
1/2/2022 0:00,AA,6138,PHL,"Philadelphia, PA",PA,23,SCE,"State College, PA",PA,23,2015,2011,2136,2114,0,0,153
1/2/2022 0:00,AA,6180,PHL,"Philadelphia, PA",PA,23,SCE,"State College, PA",PA,23,930,928,1040,1042,0,0,153
1/2/2022 0:00,AA,6215,PHL,"Philadelphia, PA",PA,23,SCE,"State College, PA",PA,23,1515,1511,1620,1617,0,0,153
1/2/2022 0:00,DL,4712,DTW,"Detroit, MI",MI,43,SCE,"State College, PA",PA,23,1345,1637,1505,1741,0,0,301
1/2/2022 0:00,UA,3790,IAD,"Washington, DC",VA,38,SCE,"State College, PA",PA,23,1830,1828,1939,1927,0,0,133
1/2/2022 0:00,UA,3805,ORD,"Chicago, IL",IL,41,SCE,"State College, PA",PA,23,1425,1443,1715,1735,0,0,528
1/2/2022 0:00,UA,3881,IAD,"Washington, DC",VA,38,SCE,"State College, PA",PA,23,1110,1546,1215,1632,0,0,133
1/2/2022 0:00,UA,3908,ORD,"Chicago, IL",IL,41,SCE,"State College, PA",PA,23,1835,1944,2131,2215,0,0,528
1/3/2022 0:00,AA,6138,PHL,"Philadelphia, PA",PA,23,SCE,"State College, PA",PA,23,2015,2050,2136,2206,0,0,153
1/3/2022 0:00,AA,6180,PHL,"Philadelphia, PA",PA,23,SCE,"State College, PA",PA,23,930,,1040,,1,0,153
1/3/2022 0:00,AA,6215,PHL,"Philadelphia, PA",PA,23,SCE,"State College, PA",PA,23,1515,1528,1620,1627,0,0,153
1/3/2022 0:00,DL,4712,DTW,"Detroit, MI",MI,43,SCE,"State College, PA",PA,23,1345,1404,1505,1506,0,0,301
1/3/2022 0:00,G4,2365,SFB,"Sanford, FL",FL,33,SCE,"State College, PA",PA,23,1317,1314,1534,1527,0,0,854
1/3/2022 0:00,UA,3790,IAD,"Washington, DC",VA,38,SCE,"State College, PA",PA,23,1830,1935,1939,2034,0,0,133
1/3/2022 0:00,UA,3805,ORD,"Chicago, IL",IL,41,SCE,"State College, PA",PA,23,1425,1420,1715,1705,0,0,528
