FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,G4,51,LAS,"Las Vegas, NV",NV,85,SCK,"Stockton, CA",CA,91,1205,1207,1326,1323,0,0,359
1/2/2022 0:00,G4,174,LAS,"Las Vegas, NV",NV,85,SCK,"Stockton, CA",CA,91,1957,1951,2118,2059,0,0,359
1/2/2022 0:00,G4,202,LAS,"Las Vegas, NV",NV,85,SCK,"Stockton, CA",CA,91,1650,1708,1811,1820,0,0,359
1/3/2022 0:00,G4,138,LAS,"Las Vegas, NV",NV,85,SCK,"Stockton, CA",CA,91,1155,1200,1316,1326,0,0,359
1/3/2022 0:00,G4,3051,PHX,"Phoenix, AZ",AZ,81,SCK,"Stockton, CA",CA,91,2026,2100,2116,2146,0,0,603
1/3/2022 0:00,G4,51,LAS,"Las Vegas, NV",NV,85,SCK,"Stockton, CA",CA,91,1450,1522,1611,1646,0,0,359
1/4/2022 0:00,G4,51,LAS,"Las Vegas, NV",NV,85,SCK,"Stockton, CA",CA,91,1543,1533,1704,1651,0,0,359
1/5/2022 0:00,G4,60,LAS,"Las Vegas, NV",NV,85,SCK,"Stockton, CA",CA,91,1445,1438,1605,1558,0,0,359
1/6/2022 0:00,G4,60,LAS,"Las Vegas, NV",NV,85,SCK,"Stockton, CA",CA,91,630,646,750,809,0,0,359
1/6/2022 0:00,G4,62,LAS,"Las Vegas, NV",NV,85,SCK,"Stockton, CA",CA,91,2014,2000,2134,2111,0,0,359
1/6/2022 0:00,G4,67,PHX,"Phoenix, AZ",AZ,81,SCK,"Stockton, CA",CA,91,1200,1248,1250,1336,0,0,603
1/7/2022 0:00,G4,60,LAS,"Las Vegas, NV",NV,85,SCK,"Stockton, CA",CA,91,2016,2050,2136,2215,0,0,359
1/7/2022 0:00,G4,62,LAS,"Las Vegas, NV",NV,85,SCK,"Stockton, CA",CA,91,1407,1356,1527,1512,0,0,359
1/8/2022 0:00,G4,60,LAS,"Las Vegas, NV",NV,85,SCK,"Stockton, CA",CA,91,1445,1510,1605,1635,0,0,359
1/9/2022 0:00,G4,60,LAS,"Las Vegas, NV",NV,85,SCK,"Stockton, CA",CA,91,1334,,1454,,1,0,359
1/9/2022 0:00,G4,62,LAS,"Las Vegas, NV",NV,85,SCK,"Stockton, CA",CA,91,1513,1517,1633,1632,0,0,359
1/9/2022 0:00,G4,67,PHX,"Phoenix, AZ",AZ,81,SCK,"Stockton, CA",CA,91,2043,2041,2133,2123,0,0,603
1/10/2022 0:00,G4,60,LAS,"Las Vegas, NV",NV,85,SCK,"Stockton, CA",CA,91,640,,800,,1,0,359
1/10/2022 0:00,G4,62,LAS,"Las Vegas, NV",NV,85,SCK,"Stockton, CA",CA,91,1949,,2109,,1,0,359
1/11/2022 0:00,G4,60,LAS,"Las Vegas, NV",NV,85,SCK,"Stockton, CA",CA,91,1445,1436,1605,1553,0,0,359
1/12/2022 0:00,G4,60,LAS,"Las Vegas, NV",NV,85,SCK,"Stockton, CA",CA,91,1445,1437,1605,1546,0,0,359
1/13/2022 0:00,G4,60,LAS,"Las Vegas, NV",NV,85,SCK,"Stockton, CA",CA,91,630,719,750,842,0,0,359
1/13/2022 0:00,G4,62,LAS,"Las Vegas, NV",NV,85,SCK,"Stockton, CA",CA,91,2014,2004,2134,2120,0,0,359
1/13/2022 0:00,G4,67,PHX,"Phoenix, AZ",AZ,81,SCK,"Stockton, CA",CA,91,1200,1303,1250,1347,0,0,603
1/14/2022 0:00,G4,60,LAS,"Las Vegas, NV",NV,85,SCK,"Stockton, CA",CA,91,2016,,2136,,1,0,359
1/14/2022 0:00,G4,62,LAS,"Las Vegas, NV",NV,85,SCK,"Stockton, CA",CA,91,1408,,1528,,1,0,359
1/15/2022 0:00,G4,60,LAS,"Las Vegas, NV",NV,85,SCK,"Stockton, CA",CA,91,1445,1436,1605,1544,0,0,359
1/16/2022 0:00,G4,60,LAS,"Las Vegas, NV",NV,85,SCK,"Stockton, CA",CA,91,1334,1324,1454,1445,0,0,359
