FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,2108,PHX,"Phoenix, AZ",AZ,81,SJC,"San Jose, CA",CA,91,2029,2027,2133,2120,0,0,621
1/1/2022 0:00,AA,3123,LAX,"Los Angeles, CA",CA,91,SJC,"San Jose, CA",CA,91,2125,2318,2250,20,0,0,308
1/1/2022 0:00,AA,3287,LAX,"Los Angeles, CA",CA,91,SJC,"San Jose, CA",CA,91,1555,1658,1724,1808,0,0,308
1/1/2022 0:00,AA,364,DFW,"Dallas/Fort Worth, TX",TX,74,SJC,"San Jose, CA",CA,91,2104,2105,2259,2309,0,0,1438
1/1/2022 0:00,AS,1205,SEA,"Seattle, WA",WA,93,SJC,"San Jose, CA",CA,91,705,736,920,940,0,0,696
1/1/2022 0:00,AS,2120,PDX,"Portland, OR",OR,92,SJC,"San Jose, CA",CA,91,1350,1347,1539,1530,0,0,569
1/1/2022 0:00,AS,2125,SAN,"San Diego, CA",CA,91,SJC,"San Jose, CA",CA,91,1605,,1735,,1,0,417
1/1/2022 0:00,AS,2274,GEG,"Spokane, WA",WA,93,SJC,"San Jose, CA",CA,91,1450,,1704,,1,0,742
1/1/2022 0:00,AS,2437,PDX,"Portland, OR",OR,92,SJC,"San Jose, CA",CA,91,600,558,750,752,0,0,569
1/1/2022 0:00,AS,2500,LAX,"Los Angeles, CA",CA,91,SJC,"San Jose, CA",CA,91,1400,1359,1520,1505,0,0,308
1/1/2022 0:00,AS,277,SEA,"Seattle, WA",WA,93,SJC,"San Jose, CA",CA,91,1640,1642,1850,1843,0,0,696
1/1/2022 0:00,AS,3303,LAX,"Los Angeles, CA",CA,91,SJC,"San Jose, CA",CA,91,1045,1044,1206,1201,0,0,308
1/1/2022 0:00,AS,3316,SAN,"San Diego, CA",CA,91,SJC,"San Jose, CA",CA,91,800,841,934,1003,0,0,417
1/1/2022 0:00,AS,3325,LAX,"Los Angeles, CA",CA,91,SJC,"San Jose, CA",CA,91,1830,2117,1949,2227,0,0,308
1/1/2022 0:00,AS,3378,SAN,"San Diego, CA",CA,91,SJC,"San Jose, CA",CA,91,1325,1330,1455,1453,0,0,417
1/1/2022 0:00,AS,3382,SAN,"San Diego, CA",CA,91,SJC,"San Jose, CA",CA,91,2115,2147,2244,2311,0,0,417
