FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2020,52,2245,332,0,0,383
1/1/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,910,911,1126,1159,0,0,559
1/2/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2020,2039,2245,2253,0,0,383
1/2/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,910,,1126,,1,0,559
1/3/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2020,2111,2245,2322,0,0,383
1/3/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,910,,1126,,1,0,559
1/4/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2025,2024,2250,2237,0,0,383
1/4/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,911,,1127,,1,0,559
1/5/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2025,,2250,,1,0,383
1/5/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,911,1042,1127,1354,0,0,559
1/6/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2025,2124,2250,2347,0,0,383
1/6/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,911,,1127,,1,0,559
1/7/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2025,,2250,,1,0,383
1/7/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,911,913,1127,1110,0,0,559
1/8/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2025,2032,2250,2248,0,0,383
1/8/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,911,913,1127,1120,0,0,559
1/9/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2025,2035,2250,2313,0,0,383
1/9/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,911,916,1127,1124,0,0,559
1/10/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2025,2018,2250,2229,0,0,383
1/10/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,911,911,1127,1101,0,0,559
1/11/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2025,2026,2250,2243,0,0,383
1/11/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,911,901,1127,1056,0,0,559
1/12/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2025,2015,2250,2219,0,0,383
1/12/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,911,1002,1127,1201,0,0,559
1/13/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2025,2018,2250,2228,0,0,383
1/13/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,911,902,1127,1055,0,0,559
1/14/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2025,2017,2250,2238,0,0,383
1/14/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,911,946,1127,1150,0,0,559
1/15/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2025,2021,2250,2239,0,0,383
1/15/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,911,904,1127,1107,0,0,559
1/16/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2025,2017,2250,2231,0,0,383
1/16/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,911,1101,1127,1258,0,0,559
1/17/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2025,2020,2250,2227,0,0,383
1/17/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,911,903,1127,1119,0,0,559
1/18/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2025,2023,2250,2240,0,0,383
1/18/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,911,902,1127,1127,0,0,559
1/19/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2025,2020,2250,2317,0,0,383
1/19/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,911,900,1127,1049,0,0,559
1/20/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2025,2210,2250,1024,0,1,383
1/20/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,911,908,1127,1121,0,0,559
1/21/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2025,2019,2250,2252,0,0,383
1/21/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,911,906,1127,1107,0,0,559
1/22/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2025,2016,2250,2226,0,0,383
1/22/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,911,903,1127,1058,0,0,559
1/23/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2025,2011,2250,2220,0,0,383
1/23/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,911,1149,1127,1409,0,0,559
1/24/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2025,2021,2250,2236,0,0,383
1/24/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,911,908,1127,1222,0,0,559
1/25/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2025,2018,2250,2245,0,0,383
1/25/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,911,903,1127,1120,0,0,559
1/26/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2025,2017,2250,2226,0,0,383
1/26/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,911,917,1127,1103,0,0,559
1/27/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2025,2017,2250,2250,0,0,383
1/27/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,911,911,1127,1127,0,0,559
1/28/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2025,2019,2250,2235,0,0,383
1/28/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,911,1051,1127,1312,0,0,559
1/29/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2025,2019,2250,2248,0,0,383
1/29/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,911,935,1127,1141,0,0,559
1/30/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2025,2016,2250,2225,0,0,383
1/30/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,911,910,1127,1103,0,0,559
1/31/2022 0:00,UA,5015,DEN,"Denver, CO",CO,82,SLN,"Salina, KS",KS,62,2025,2019,2250,2228,0,0,383
1/31/2022 0:00,UA,5063,ORD,"Chicago, IL",IL,41,SLN,"Salina, KS",KS,62,911,907,1127,1059,0,0,559
