FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1252,DFW,"Dallas/Fort Worth, TX",TX,74,SMF,"Sacramento, CA",CA,91,1855,1934,2052,2141,0,0,1431
1/1/2022 0:00,AA,1440,ORD,"Chicago, IL",IL,41,SMF,"Sacramento, CA",CA,91,1844,,2130,,1,0,1781
1/1/2022 0:00,AA,2073,PHX,"Phoenix, AZ",AZ,81,SMF,"Sacramento, CA",CA,91,1130,1127,1237,1225,0,0,647
1/1/2022 0:00,AA,2083,CLT,"Charlotte, NC",NC,36,SMF,"Sacramento, CA",CA,91,1830,1826,2114,2101,0,0,2244
1/1/2022 0:00,AA,3140,LAX,"Los Angeles, CA",CA,91,SMF,"Sacramento, CA",CA,91,1755,,1935,,1,0,373
1/1/2022 0:00,AA,456,DFW,"Dallas/Fort Worth, TX",TX,74,SMF,"Sacramento, CA",CA,91,2243,2257,35,45,0,0,1431
1/1/2022 0:00,AA,6264,LAX,"Los Angeles, CA",CA,91,SMF,"Sacramento, CA",CA,91,900,927,1042,1101,0,0,373
1/1/2022 0:00,AA,711,DFW,"Dallas/Fort Worth, TX",TX,74,SMF,"Sacramento, CA",CA,91,1152,1201,1341,1344,0,0,1431
1/1/2022 0:00,AS,1456,PDX,"Portland, OR",OR,92,SMF,"Sacramento, CA",CA,91,915,914,1045,1034,0,0,479
1/1/2022 0:00,AS,2520,BOI,"Boise, ID",ID,83,SMF,"Sacramento, CA",CA,91,1815,1816,1845,1854,0,0,437
1/1/2022 0:00,AS,3348,SAN,"San Diego, CA",CA,91,SMF,"Sacramento, CA",CA,91,2015,2016,2156,2147,0,0,480
1/1/2022 0:00,AS,3432,SAN,"San Diego, CA",CA,91,SMF,"Sacramento, CA",CA,91,1500,1549,1640,1726,0,0,480
1/1/2022 0:00,AS,654,SEA,"Seattle, WA",WA,93,SMF,"Sacramento, CA",CA,91,2150,2145,2339,2331,0,0,605
1/1/2022 0:00,AS,701,SEA,"Seattle, WA",WA,93,SMF,"Sacramento, CA",CA,91,1305,1325,1457,1502,0,0,605
1/1/2022 0:00,AS,744,PDX,"Portland, OR",OR,92,SMF,"Sacramento, CA",CA,91,1320,1317,1449,1437,0,0,479
1/1/2022 0:00,AS,847,SEA,"Seattle, WA",WA,93,SMF,"Sacramento, CA",CA,91,1555,1605,1746,1805,0,0,605
1/1/2022 0:00,DL,1160,ATL,"Atlanta, GA",GA,34,SMF,"Sacramento, CA",CA,91,1035,1038,1250,1248,0,0,2092
1/1/2022 0:00,DL,1275,SLC,"Salt Lake City, UT",UT,87,SMF,"Sacramento, CA",CA,91,1532,1556,1618,1634,0,0,532
1/1/2022 0:00,DL,1432,SLC,"Salt Lake City, UT",UT,87,SMF,"Sacramento, CA",CA,91,1133,1136,1219,1208,0,0,532
1/1/2022 0:00,DL,2311,SLC,"Salt Lake City, UT",UT,87,SMF,"Sacramento, CA",CA,91,2139,2233,2235,2318,0,0,532
1/1/2022 0:00,DL,3592,LAX,"Los Angeles, CA",CA,91,SMF,"Sacramento, CA",CA,91,1115,1132,1240,1252,0,0,373
1/1/2022 0:00,DL,3629,LAX,"Los Angeles, CA",CA,91,SMF,"Sacramento, CA",CA,91,830,,1000,,1,0,373
1/1/2022 0:00,DL,3691,SEA,"Seattle, WA",WA,93,SMF,"Sacramento, CA",CA,91,1735,1734,1920,1910,0,0,605
1/1/2022 0:00,DL,3696,SEA,"Seattle, WA",WA,93,SMF,"Sacramento, CA",CA,91,953,953,1145,1133,0,0,605
1/1/2022 0:00,DL,3990,LAX,"Los Angeles, CA",CA,91,SMF,"Sacramento, CA",CA,91,1810,1823,1935,1939,0,0,373
1/1/2022 0:00,DL,4101,LAX,"Los Angeles, CA",CA,91,SMF,"Sacramento, CA",CA,91,1506,,1634,,1,0,373
1/1/2022 0:00,DL,851,ATL,"Atlanta, GA",GA,34,SMF,"Sacramento, CA",CA,91,2045,2044,2257,2247,0,0,2092
1/1/2022 0:00,DL,864,MSP,"Minneapolis, MN",MN,63,SMF,"Sacramento, CA",CA,91,1545,1545,1747,1718,0,0,1517
