FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1349,PHX,"Phoenix, AZ",AZ,81,SNA,"Santa Ana, CA",CA,91,1114,1107,1139,1135,0,0,338
1/1/2022 0:00,AA,1491,ORD,"Chicago, IL",IL,41,SNA,"Santa Ana, CA",CA,91,936,931,1216,1158,0,0,1726
1/1/2022 0:00,AA,1568,ORD,"Chicago, IL",IL,41,SNA,"Santa Ana, CA",CA,91,1855,,2129,,1,0,1726
1/1/2022 0:00,AA,1612,DFW,"Dallas/Fort Worth, TX",TX,74,SNA,"Santa Ana, CA",CA,91,1911,1911,2035,2041,0,0,1205
1/1/2022 0:00,AA,2089,ORD,"Chicago, IL",IL,41,SNA,"Santa Ana, CA",CA,91,1056,1048,1341,1334,0,0,1726
1/1/2022 0:00,AA,2094,PHX,"Phoenix, AZ",AZ,81,SNA,"Santa Ana, CA",CA,91,1458,1455,1522,1509,0,0,338
1/1/2022 0:00,AA,2637,PHX,"Phoenix, AZ",AZ,81,SNA,"Santa Ana, CA",CA,91,2040,2033,2104,2051,0,0,338
1/1/2022 0:00,AA,2659,DFW,"Dallas/Fort Worth, TX",TX,74,SNA,"Santa Ana, CA",CA,91,1454,1540,1615,1707,0,0,1205
1/1/2022 0:00,AA,2724,DFW,"Dallas/Fort Worth, TX",TX,74,SNA,"Santa Ana, CA",CA,91,1825,1820,1947,1927,0,0,1205
1/1/2022 0:00,AA,2861,DFW,"Dallas/Fort Worth, TX",TX,74,SNA,"Santa Ana, CA",CA,91,1235,1229,1402,1348,0,0,1205
1/1/2022 0:00,AA,348,DFW,"Dallas/Fort Worth, TX",TX,74,SNA,"Santa Ana, CA",CA,91,2122,2136,2243,2249,0,0,1205
1/1/2022 0:00,AA,429,JFK,"New York, NY",NY,22,SNA,"Santa Ana, CA",CA,91,1600,1613,1923,1947,0,0,2454
1/1/2022 0:00,AS,133,PDX,"Portland, OR",OR,92,SNA,"Santa Ana, CA",CA,91,1756,,2020,,1,0,859
1/1/2022 0:00,AS,1348,SEA,"Seattle, WA",WA,93,SNA,"Santa Ana, CA",CA,91,1340,1334,1624,1604,0,0,978
1/1/2022 0:00,AS,1410,SEA,"Seattle, WA",WA,93,SNA,"Santa Ana, CA",CA,91,950,951,1235,1224,0,0,978
1/1/2022 0:00,AS,2209,PDX,"Portland, OR",OR,92,SNA,"Santa Ana, CA",CA,91,1200,1210,1424,1423,0,0,859
1/1/2022 0:00,AS,3328,SFO,"San Francisco, CA",CA,91,SNA,"Santa Ana, CA",CA,91,1325,1355,1455,1521,0,0,372
1/1/2022 0:00,AS,3365,SFO,"San Francisco, CA",CA,91,SNA,"Santa Ana, CA",CA,91,1040,1034,1212,1151,0,0,372
1/1/2022 0:00,AS,3368,SFO,"San Francisco, CA",CA,91,SNA,"Santa Ana, CA",CA,91,1625,1848,1755,2010,0,0,372
1/1/2022 0:00,AS,3402,SFO,"San Francisco, CA",CA,91,SNA,"Santa Ana, CA",CA,91,2045,,2214,,1,0,372
1/1/2022 0:00,AS,3463,STS,"Santa Rosa, CA",CA,91,SNA,"Santa Ana, CA",CA,91,1510,1503,1634,1628,0,0,433
1/1/2022 0:00,AS,514,SEA,"Seattle, WA",WA,93,SNA,"Santa Ana, CA",CA,91,1950,1954,2230,2224,0,0,978
1/1/2022 0:00,AS,524,SEA,"Seattle, WA",WA,93,SNA,"Santa Ana, CA",CA,91,700,654,946,944,0,0,978
1/1/2022 0:00,AS,613,PDX,"Portland, OR",OR,92,SNA,"Santa Ana, CA",CA,91,700,657,925,913,0,0,859
1/1/2022 0:00,AS,630,SEA,"Seattle, WA",WA,93,SNA,"Santa Ana, CA",CA,91,600,603,845,824,0,0,978
1/1/2022 0:00,DL,1390,SLC,"Salt Lake City, UT",UT,87,SNA,"Santa Ana, CA",CA,91,1145,1203,1249,1247,0,0,588
1/1/2022 0:00,DL,1456,SEA,"Seattle, WA",WA,93,SNA,"Santa Ana, CA",CA,91,1145,,1434,,1,0,978
1/1/2022 0:00,DL,2242,SLC,"Salt Lake City, UT",UT,87,SNA,"Santa Ana, CA",CA,91,2045,2051,2149,2149,0,0,588
1/1/2022 0:00,DL,2292,SEA,"Seattle, WA",WA,93,SNA,"Santa Ana, CA",CA,91,1948,,2226,,1,0,978
1/1/2022 0:00,DL,2872,SLC,"Salt Lake City, UT",UT,87,SNA,"Santa Ana, CA",CA,91,934,1002,1044,1035,0,0,588
