FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1007,CLT,"Charlotte, NC",NC,36,STL,"St. Louis, MO",MO,64,2240,2300,2345,4,0,0,575
1/1/2022 0:00,AA,1062,ORD,"Chicago, IL",IL,41,STL,"St. Louis, MO",MO,64,1907,,2021,,1,0,258
1/1/2022 0:00,AA,1073,CLT,"Charlotte, NC",NC,36,STL,"St. Louis, MO",MO,64,1110,1108,1213,1159,0,0,575
1/1/2022 0:00,AA,1120,LGA,"New York, NY",NY,22,STL,"St. Louis, MO",MO,64,920,909,1122,1050,0,0,888
1/1/2022 0:00,AA,1362,DFW,"Dallas/Fort Worth, TX",TX,74,STL,"St. Louis, MO",MO,64,1025,1037,1212,1212,0,0,550
1/1/2022 0:00,AA,1569,MIA,"Miami, FL",FL,33,STL,"St. Louis, MO",MO,64,1546,1538,1746,1714,0,0,1068
1/1/2022 0:00,AA,1581,MIA,"Miami, FL",FL,33,STL,"St. Louis, MO",MO,64,1942,1937,2149,2122,0,0,1068
1/1/2022 0:00,AA,1594,MIA,"Miami, FL",FL,33,STL,"St. Louis, MO",MO,64,2110,2214,2314,2354,0,0,1068
1/1/2022 0:00,AA,2686,CLT,"Charlotte, NC",NC,36,STL,"St. Louis, MO",MO,64,1629,1647,1731,1744,0,0,575
1/1/2022 0:00,AA,2747,DFW,"Dallas/Fort Worth, TX",TX,74,STL,"St. Louis, MO",MO,64,1241,1240,1432,1415,0,0,550
1/1/2022 0:00,AA,2858,DFW,"Dallas/Fort Worth, TX",TX,74,STL,"St. Louis, MO",MO,64,1438,1518,1623,1701,0,0,550
1/1/2022 0:00,AA,3767,ORD,"Chicago, IL",IL,41,STL,"St. Louis, MO",MO,64,820,815,942,946,0,0,258
1/1/2022 0:00,AA,4246,AUS,"Austin, TX",TX,74,STL,"St. Louis, MO",MO,64,1702,1737,1903,1921,0,0,721
1/1/2022 0:00,AA,439,CLT,"Charlotte, NC",NC,36,STL,"St. Louis, MO",MO,64,2034,2033,2140,2132,0,0,575
1/1/2022 0:00,AA,4414,ORD,"Chicago, IL",IL,41,STL,"St. Louis, MO",MO,64,1258,1252,1428,1430,0,0,258
1/1/2022 0:00,AA,4702,PHL,"Philadelphia, PA",PA,23,STL,"St. Louis, MO",MO,64,805,757,949,949,0,0,814
1/1/2022 0:00,AA,4742,LGA,"New York, NY",NY,22,STL,"St. Louis, MO",MO,64,1233,1226,1433,1418,0,0,888
1/1/2022 0:00,AA,4798,LGA,"New York, NY",NY,22,STL,"St. Louis, MO",MO,64,1615,1612,1819,1813,0,0,888
1/1/2022 0:00,AA,4863,DCA,"Washington, DC",VA,38,STL,"St. Louis, MO",MO,64,1659,1742,1834,1901,0,0,719
1/1/2022 0:00,AA,4975,BOS,"Boston, MA",MA,13,STL,"St. Louis, MO",MO,64,1441,1441,1701,1719,0,0,1047
1/1/2022 0:00,AA,5211,PHL,"Philadelphia, PA",PA,23,STL,"St. Louis, MO",MO,64,2015,2037,2208,2351,0,0,814
1/1/2022 0:00,AA,5323,DCA,"Washington, DC",VA,38,STL,"St. Louis, MO",MO,64,701,653,835,842,0,0,719
1/1/2022 0:00,AA,5365,PHL,"Philadelphia, PA",PA,23,STL,"St. Louis, MO",MO,64,930,929,1110,1102,0,0,814
