FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AS,2081,SEA,"Seattle, WA",WA,93,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1414,1409,1658,1642,0,0,475
1/1/2022 0:00,AS,2208,SEA,"Seattle, WA",WA,93,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,702,,948,,1,0,475
1/1/2022 0:00,DL,3611,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,2105,2109,2211,2222,0,0,222
1/1/2022 0:00,DL,3879,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1115,1153,1225,1256,0,0,222
1/1/2022 0:00,DL,4469,LAX,"Los Angeles, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1150,,1509,,1,0,696
1/1/2022 0:00,UA,4742,LAX,"Los Angeles, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1246,1245,1606,1614,0,0,696
1/1/2022 0:00,UA,4779,DEN,"Denver, CO",CO,82,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1120,1229,1327,1458,0,0,557
1/1/2022 0:00,UA,4786,SFO,"San Francisco, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1035,1032,1343,1331,0,0,587
1/1/2022 0:00,UA,5417,ORD,"Chicago, IL",IL,41,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,850,,1206,,1,0,1341
1/2/2022 0:00,AS,2081,SEA,"Seattle, WA",WA,93,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1414,,1658,,1,0,475
1/2/2022 0:00,AS,2208,SEA,"Seattle, WA",WA,93,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,702,855,948,1157,0,0,475
1/2/2022 0:00,DL,3528,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1438,1434,1545,1606,0,0,222
1/2/2022 0:00,DL,3611,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,2105,2102,2211,2202,0,0,222
1/2/2022 0:00,DL,3879,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1115,1139,1225,1249,0,0,222
1/2/2022 0:00,DL,4464,LAX,"Los Angeles, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1115,1131,1437,1459,0,0,696
1/2/2022 0:00,UA,4742,LAX,"Los Angeles, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1246,1244,1606,1546,0,0,696
1/2/2022 0:00,UA,4779,DEN,"Denver, CO",CO,82,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1120,,1327,,1,0,557
1/2/2022 0:00,UA,4786,SFO,"San Francisco, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1035,1135,1343,1441,0,0,587
1/2/2022 0:00,UA,5417,ORD,"Chicago, IL",IL,41,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,850,,1206,,1,0,1341
1/3/2022 0:00,AS,2081,SEA,"Seattle, WA",WA,93,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1414,1639,1658,1919,0,0,475
1/3/2022 0:00,AS,2208,SEA,"Seattle, WA",WA,93,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,702,805,948,1049,0,0,475
1/3/2022 0:00,DL,3528,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1438,1526,1545,1620,0,0,222
1/3/2022 0:00,DL,3611,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,2105,2104,2211,2156,0,0,222
1/3/2022 0:00,DL,3879,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1115,1141,1225,1242,0,0,222
1/3/2022 0:00,DL,4464,LAX,"Los Angeles, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1115,1113,1437,1420,0,0,696
1/3/2022 0:00,UA,4742,LAX,"Los Angeles, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1246,1238,1606,1537,0,0,696
1/3/2022 0:00,UA,4779,DEN,"Denver, CO",CO,82,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1120,1157,1327,1357,0,0,557
1/3/2022 0:00,UA,4786,SFO,"San Francisco, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1035,1044,1343,1318,0,0,587
1/3/2022 0:00,UA,5417,ORD,"Chicago, IL",IL,41,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,850,856,1206,1146,0,0,1341
1/4/2022 0:00,AS,2220,SEA,"Seattle, WA",WA,93,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1000,956,1242,1225,0,0,475
1/4/2022 0:00,DL,3528,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1438,1424,1545,1537,0,0,222
1/4/2022 0:00,DL,3611,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,2105,2103,2211,2200,0,0,222
1/4/2022 0:00,DL,3879,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1115,1114,1225,1216,0,0,222
1/4/2022 0:00,DL,4464,LAX,"Los Angeles, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1115,1222,1437,1519,0,0,696
1/4/2022 0:00,UA,4742,LAX,"Los Angeles, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1242,1242,1602,1616,0,0,696
1/4/2022 0:00,UA,4779,DEN,"Denver, CO",CO,82,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1115,1129,1322,1352,0,0,557
1/4/2022 0:00,UA,4786,SFO,"San Francisco, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1043,1039,1354,1327,0,0,587
1/5/2022 0:00,AS,2220,SEA,"Seattle, WA",WA,93,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1000,958,1242,1225,0,0,475
1/5/2022 0:00,DL,3528,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1340,1339,1448,1452,0,0,222
1/5/2022 0:00,DL,3611,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,2055,2059,2209,2155,0,0,222
1/5/2022 0:00,DL,3879,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1110,1112,1222,1217,0,0,222
1/5/2022 0:00,UA,4742,LAX,"Los Angeles, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1242,1238,1602,1547,0,0,696
1/5/2022 0:00,UA,4779,DEN,"Denver, CO",CO,82,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1115,1110,1322,1327,0,0,557
1/5/2022 0:00,UA,4786,SFO,"San Francisco, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1043,1038,1354,1337,0,0,587
1/6/2022 0:00,AS,2220,SEA,"Seattle, WA",WA,93,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1000,,1242,,1,0,475
1/6/2022 0:00,DL,3528,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1340,1337,1448,1435,0,0,222
1/6/2022 0:00,DL,3611,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,2055,2050,2209,2140,0,0,222
1/6/2022 0:00,DL,3879,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1110,1110,1222,1229,0,0,222
1/6/2022 0:00,UA,4742,LAX,"Los Angeles, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1242,1325,1602,1631,0,0,696
1/6/2022 0:00,UA,4779,DEN,"Denver, CO",CO,82,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1115,1149,1322,1340,0,0,557
1/6/2022 0:00,UA,4786,SFO,"San Francisco, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1043,1038,1354,1325,0,0,587
1/7/2022 0:00,AS,2220,SEA,"Seattle, WA",WA,93,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1000,1140,1242,1418,0,0,475
1/7/2022 0:00,DL,3528,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1340,1334,1448,1436,0,0,222
1/7/2022 0:00,DL,3611,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,2055,2051,2209,2137,0,0,222
1/7/2022 0:00,DL,3879,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1110,1119,1222,1220,0,0,222
1/7/2022 0:00,UA,4713,DEN,"Denver, CO",CO,82,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1900,2029,2110,2232,0,0,557
1/7/2022 0:00,UA,4742,LAX,"Los Angeles, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1242,1239,1602,1530,0,0,696
1/7/2022 0:00,UA,4779,DEN,"Denver, CO",CO,82,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1115,,1322,,1,0,557
1/7/2022 0:00,UA,4786,SFO,"San Francisco, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1043,,1354,,1,0,587
1/8/2022 0:00,AS,2220,SEA,"Seattle, WA",WA,93,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1000,1006,1242,1240,0,0,475
1/8/2022 0:00,DL,3611,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,2055,2055,2209,2152,0,0,222
1/8/2022 0:00,DL,3879,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1110,1107,1222,1219,0,0,222
1/8/2022 0:00,UA,4713,DEN,"Denver, CO",CO,82,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1900,1906,2110,2054,0,0,557
1/8/2022 0:00,UA,4742,LAX,"Los Angeles, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1242,1238,1602,1540,0,0,696
1/8/2022 0:00,UA,4779,DEN,"Denver, CO",CO,82,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1115,1123,1322,1320,0,0,557
1/8/2022 0:00,UA,4786,SFO,"San Francisco, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1043,1312,1354,1556,0,0,587
1/8/2022 0:00,UA,5417,ORD,"Chicago, IL",IL,41,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,850,900,1206,1210,0,0,1341
1/9/2022 0:00,AS,2220,SEA,"Seattle, WA",WA,93,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1000,957,1242,1245,0,0,475
1/9/2022 0:00,DL,3528,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1340,1332,1448,1431,0,0,222
1/9/2022 0:00,DL,3611,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,2055,2054,2209,2153,0,0,222
1/9/2022 0:00,DL,3879,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1110,1121,1222,1229,0,0,222
1/9/2022 0:00,UA,4742,LAX,"Los Angeles, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1242,1240,1602,1541,0,0,696
1/9/2022 0:00,UA,4779,DEN,"Denver, CO",CO,82,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1115,1300,1322,1444,0,0,557
1/9/2022 0:00,UA,4786,SFO,"San Francisco, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1043,1035,1354,1335,0,0,587
1/9/2022 0:00,UA,5417,ORD,"Chicago, IL",IL,41,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,850,847,1206,1133,0,0,1341
1/10/2022 0:00,AS,2220,SEA,"Seattle, WA",WA,93,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1000,1029,1242,1315,0,0,475
1/10/2022 0:00,DL,3528,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1340,1332,1448,1438,0,0,222
1/10/2022 0:00,DL,3611,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,2055,2050,2209,2150,0,0,222
1/10/2022 0:00,DL,3879,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1110,1104,1222,1158,0,0,222
1/10/2022 0:00,UA,4742,LAX,"Los Angeles, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1242,1236,1602,1531,0,0,696
1/10/2022 0:00,UA,4779,DEN,"Denver, CO",CO,82,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1115,1119,1322,1303,0,0,557
1/10/2022 0:00,UA,4786,SFO,"San Francisco, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1043,1040,1354,1336,0,0,587
1/11/2022 0:00,AS,2220,SEA,"Seattle, WA",WA,93,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1000,952,1242,1223,0,0,475
1/11/2022 0:00,DL,3528,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1340,1337,1448,1434,0,0,222
1/11/2022 0:00,DL,3611,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,2055,2051,2209,2153,0,0,222
1/11/2022 0:00,DL,3879,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1110,1110,1222,1207,0,0,222
1/11/2022 0:00,UA,4742,LAX,"Los Angeles, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1242,1236,1602,1539,0,0,696
1/11/2022 0:00,UA,4779,DEN,"Denver, CO",CO,82,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1115,1114,1322,1256,0,0,557
1/11/2022 0:00,UA,4786,SFO,"San Francisco, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1043,1037,1354,1333,0,0,587
1/12/2022 0:00,AS,2220,SEA,"Seattle, WA",WA,93,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1000,1015,1242,1255,0,0,475
1/12/2022 0:00,DL,3528,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1340,1335,1448,1431,0,0,222
1/12/2022 0:00,DL,3611,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,2055,2049,2209,2137,0,0,222
1/12/2022 0:00,DL,3879,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1110,1105,1222,1211,0,0,222
1/12/2022 0:00,UA,4742,LAX,"Los Angeles, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1242,1238,1602,1543,0,0,696
1/12/2022 0:00,UA,4779,DEN,"Denver, CO",CO,82,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1115,1109,1322,1310,0,0,557
1/12/2022 0:00,UA,4786,SFO,"San Francisco, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1043,1036,1354,1317,0,0,587
1/13/2022 0:00,AS,2220,SEA,"Seattle, WA",WA,93,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1000,955,1242,1248,0,0,475
1/13/2022 0:00,DL,3528,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1340,1347,1448,1504,0,0,222
1/13/2022 0:00,DL,3611,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,2055,2050,2209,2139,0,0,222
1/13/2022 0:00,DL,3879,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1110,1105,1222,1208,0,0,222
1/13/2022 0:00,UA,4742,LAX,"Los Angeles, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1242,1244,1602,1539,0,0,696
1/13/2022 0:00,UA,4779,DEN,"Denver, CO",CO,82,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1115,1129,1322,1332,0,0,557
1/13/2022 0:00,UA,4786,SFO,"San Francisco, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1043,1041,1354,1323,0,0,587
1/14/2022 0:00,AS,2220,SEA,"Seattle, WA",WA,93,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1000,955,1242,1238,0,0,475
1/14/2022 0:00,DL,3528,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1340,1336,1448,1446,0,0,222
1/14/2022 0:00,DL,3611,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,2055,2104,2209,2158,0,0,222
1/14/2022 0:00,DL,3879,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1110,1100,1222,1201,0,0,222
1/14/2022 0:00,UA,4713,DEN,"Denver, CO",CO,82,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1900,1859,2110,2046,0,0,557
1/14/2022 0:00,UA,4742,LAX,"Los Angeles, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1242,1236,1602,1542,0,0,696
1/14/2022 0:00,UA,4779,DEN,"Denver, CO",CO,82,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1115,1121,1322,1312,0,0,557
1/14/2022 0:00,UA,4786,SFO,"San Francisco, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1043,1040,1354,1325,0,0,587
1/15/2022 0:00,AS,2220,SEA,"Seattle, WA",WA,93,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1000,1244,1242,1519,0,0,475
1/15/2022 0:00,DL,3611,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,2055,2052,2209,2149,0,0,222
1/15/2022 0:00,DL,3879,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1110,1154,1222,1246,0,0,222
1/15/2022 0:00,UA,4713,DEN,"Denver, CO",CO,82,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1900,1900,2110,2057,0,0,557
1/15/2022 0:00,UA,4742,LAX,"Los Angeles, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1242,1236,1602,1530,0,0,696
1/15/2022 0:00,UA,4779,DEN,"Denver, CO",CO,82,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1115,1252,1322,1433,0,0,557
1/15/2022 0:00,UA,4786,SFO,"San Francisco, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1043,1042,1354,1326,0,0,587
1/15/2022 0:00,UA,5417,ORD,"Chicago, IL",IL,41,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,850,849,1206,1204,0,0,1341
1/16/2022 0:00,AS,2220,SEA,"Seattle, WA",WA,93,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1000,1027,1242,1306,0,0,475
1/16/2022 0:00,DL,3611,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,2055,2109,2209,2207,0,0,222
1/16/2022 0:00,DL,3879,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1110,1107,1222,1158,0,0,222
1/16/2022 0:00,UA,4742,LAX,"Los Angeles, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1242,1241,1602,1537,0,0,696
1/16/2022 0:00,UA,4779,DEN,"Denver, CO",CO,82,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1115,1110,1322,1302,0,0,557
1/16/2022 0:00,UA,4786,SFO,"San Francisco, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1043,1033,1354,1323,0,0,587
1/16/2022 0:00,UA,5417,ORD,"Chicago, IL",IL,41,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,850,845,1206,1204,0,0,1341
1/17/2022 0:00,AS,2220,SEA,"Seattle, WA",WA,93,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1000,953,1242,1239,0,0,475
1/17/2022 0:00,DL,3528,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1340,1356,1448,1451,0,0,222
1/17/2022 0:00,DL,3611,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,2055,2052,2209,2141,0,0,222
1/17/2022 0:00,DL,3879,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1110,1102,1222,1213,0,0,222
1/17/2022 0:00,UA,4742,LAX,"Los Angeles, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1242,1232,1602,1532,0,0,696
1/17/2022 0:00,UA,4779,DEN,"Denver, CO",CO,82,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1115,1111,1322,1256,0,0,557
1/17/2022 0:00,UA,4786,SFO,"San Francisco, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1043,1033,1354,1310,0,0,587
1/18/2022 0:00,AS,2220,SEA,"Seattle, WA",WA,93,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1000,,1242,,1,0,475
1/18/2022 0:00,DL,3528,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1340,1437,1448,1527,0,0,222
1/18/2022 0:00,DL,3611,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,2055,2053,2209,,1,0,222
1/18/2022 0:00,DL,3879,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1110,,1222,,1,0,222
1/18/2022 0:00,UA,4742,LAX,"Los Angeles, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1242,1234,1602,1538,0,0,696
1/18/2022 0:00,UA,4779,DEN,"Denver, CO",CO,82,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1115,1129,1322,1322,0,0,557
1/18/2022 0:00,UA,4786,SFO,"San Francisco, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1043,1043,1354,1332,0,0,587
1/19/2022 0:00,AS,2220,SEA,"Seattle, WA",WA,93,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1000,1025,1242,1302,0,0,475
1/19/2022 0:00,DL,3528,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1340,1337,1448,1431,0,0,222
1/19/2022 0:00,DL,3611,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,2055,2102,2209,2154,0,0,222
1/19/2022 0:00,DL,3879,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1110,1158,1222,1313,0,0,222
1/19/2022 0:00,UA,4742,LAX,"Los Angeles, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1242,1236,1602,1553,0,0,696
1/19/2022 0:00,UA,4779,DEN,"Denver, CO",CO,82,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1115,1116,1322,1323,0,0,557
1/19/2022 0:00,UA,4786,SFO,"San Francisco, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1043,1036,1354,1338,0,0,587
1/20/2022 0:00,AS,2220,SEA,"Seattle, WA",WA,93,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1000,958,1242,1250,0,0,475
1/20/2022 0:00,DL,3528,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1340,1335,1448,1432,0,0,222
1/20/2022 0:00,DL,3611,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,2055,2051,2209,2145,0,0,222
1/20/2022 0:00,DL,3879,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1110,1110,1222,1208,0,0,222
1/20/2022 0:00,UA,4742,LAX,"Los Angeles, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1242,,1602,,1,0,696
1/20/2022 0:00,UA,4779,DEN,"Denver, CO",CO,82,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1115,1113,1322,1309,0,0,557
1/20/2022 0:00,UA,4786,SFO,"San Francisco, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1043,1104,1354,1359,0,0,587
1/21/2022 0:00,AS,2220,SEA,"Seattle, WA",WA,93,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1000,1111,1242,1352,0,0,475
1/21/2022 0:00,DL,3528,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1340,1410,1448,1512,0,0,222
1/21/2022 0:00,DL,3611,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,2055,2055,2209,2154,0,0,222
1/21/2022 0:00,DL,3879,SLC,"Salt Lake City, UT",UT,87,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1110,,1222,,1,0,222
1/21/2022 0:00,UA,4713,DEN,"Denver, CO",CO,82,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1900,1912,2110,2109,0,0,557
1/21/2022 0:00,UA,4742,LAX,"Los Angeles, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1242,1238,1602,1612,0,0,696
1/21/2022 0:00,UA,4779,DEN,"Denver, CO",CO,82,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1115,,1322,,1,0,557
1/21/2022 0:00,UA,4786,SFO,"San Francisco, CA",CA,91,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,83,1043,,1354,,1,0,587
