FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,UA,5026,ORD,"Chicago, IL",IL,41,SUX,"Sioux City, IA",IA,61,919,915,1110,1125,0,0,436
1/1/2022 0:00,UA,5208,DEN,"Denver, CO",CO,82,SUX,"Sioux City, IA",IA,61,2100,2310,2344,206,0,0,466
1/2/2022 0:00,UA,5026,ORD,"Chicago, IL",IL,41,SUX,"Sioux City, IA",IA,61,919,,1110,,1,0,436
1/2/2022 0:00,UA,5208,DEN,"Denver, CO",CO,82,SUX,"Sioux City, IA",IA,61,2100,,2344,,1,0,466
1/3/2022 0:00,UA,5026,ORD,"Chicago, IL",IL,41,SUX,"Sioux City, IA",IA,61,919,917,1110,1102,0,0,436
1/3/2022 0:00,UA,5208,DEN,"Denver, CO",CO,82,SUX,"Sioux City, IA",IA,61,2100,2114,2344,2345,0,0,466
1/4/2022 0:00,UA,5026,ORD,"Chicago, IL",IL,41,SUX,"Sioux City, IA",IA,61,915,945,1109,1119,0,0,436
1/4/2022 0:00,UA,5090,DEN,"Denver, CO",CO,82,SUX,"Sioux City, IA",IA,61,1825,1832,2110,2051,0,0,466
1/5/2022 0:00,UA,5026,ORD,"Chicago, IL",IL,41,SUX,"Sioux City, IA",IA,61,915,912,1109,1133,0,0,436
1/5/2022 0:00,UA,5090,DEN,"Denver, CO",CO,82,SUX,"Sioux City, IA",IA,61,1825,,2110,,1,0,466
1/6/2022 0:00,UA,5026,ORD,"Chicago, IL",IL,41,SUX,"Sioux City, IA",IA,61,915,909,1109,1046,0,0,436
1/6/2022 0:00,UA,5208,DEN,"Denver, CO",CO,82,SUX,"Sioux City, IA",IA,61,2100,2107,2345,2338,0,0,466
1/7/2022 0:00,UA,5026,ORD,"Chicago, IL",IL,41,SUX,"Sioux City, IA",IA,61,915,911,1109,1051,0,0,436
1/7/2022 0:00,UA,5208,DEN,"Denver, CO",CO,82,SUX,"Sioux City, IA",IA,61,2100,2110,2345,2326,0,0,466
1/8/2022 0:00,UA,5026,ORD,"Chicago, IL",IL,41,SUX,"Sioux City, IA",IA,61,915,918,1109,1054,0,0,436
1/8/2022 0:00,UA,5208,DEN,"Denver, CO",CO,82,SUX,"Sioux City, IA",IA,61,2100,2059,2345,2325,0,0,466
1/9/2022 0:00,UA,5026,ORD,"Chicago, IL",IL,41,SUX,"Sioux City, IA",IA,61,915,908,1109,1104,0,0,436
1/9/2022 0:00,UA,5208,DEN,"Denver, CO",CO,82,SUX,"Sioux City, IA",IA,61,2105,2122,2350,8,0,0,466
1/10/2022 0:00,UA,5026,ORD,"Chicago, IL",IL,41,SUX,"Sioux City, IA",IA,61,915,907,1109,1053,0,0,436
1/10/2022 0:00,UA,5208,DEN,"Denver, CO",CO,82,SUX,"Sioux City, IA",IA,61,2105,2057,2350,2317,0,0,466
1/11/2022 0:00,UA,5026,ORD,"Chicago, IL",IL,41,SUX,"Sioux City, IA",IA,61,915,905,1109,1049,0,0,436
1/11/2022 0:00,UA,5090,DEN,"Denver, CO",CO,82,SUX,"Sioux City, IA",IA,61,1825,1822,2110,2052,0,0,466
1/12/2022 0:00,UA,5026,ORD,"Chicago, IL",IL,41,SUX,"Sioux City, IA",IA,61,915,909,1109,1046,0,0,436
1/12/2022 0:00,UA,5090,DEN,"Denver, CO",CO,82,SUX,"Sioux City, IA",IA,61,1825,1819,2110,2051,0,0,466
1/13/2022 0:00,UA,5026,ORD,"Chicago, IL",IL,41,SUX,"Sioux City, IA",IA,61,915,956,1109,1126,0,0,436
1/13/2022 0:00,UA,5208,DEN,"Denver, CO",CO,82,SUX,"Sioux City, IA",IA,61,2100,2051,2345,2313,0,0,466
1/14/2022 0:00,UA,5026,ORD,"Chicago, IL",IL,41,SUX,"Sioux City, IA",IA,61,915,908,1109,1119,0,0,436
1/14/2022 0:00,UA,5208,DEN,"Denver, CO",CO,82,SUX,"Sioux City, IA",IA,61,2100,,2345,,1,0,466
1/15/2022 0:00,UA,5026,ORD,"Chicago, IL",IL,41,SUX,"Sioux City, IA",IA,61,915,908,1109,1046,0,0,436
1/15/2022 0:00,UA,5208,DEN,"Denver, CO",CO,82,SUX,"Sioux City, IA",IA,61,2100,2122,2345,2348,0,0,466
1/16/2022 0:00,UA,5026,ORD,"Chicago, IL",IL,41,SUX,"Sioux City, IA",IA,61,915,907,1109,1106,0,0,436
1/16/2022 0:00,UA,5208,DEN,"Denver, CO",CO,82,SUX,"Sioux City, IA",IA,61,2105,2103,2350,2334,0,0,466
1/17/2022 0:00,UA,5026,ORD,"Chicago, IL",IL,41,SUX,"Sioux City, IA",IA,61,915,935,1109,1139,0,0,436
1/17/2022 0:00,UA,5208,DEN,"Denver, CO",CO,82,SUX,"Sioux City, IA",IA,61,2105,2102,2350,2322,0,0,466
