FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,F9,1298,MCO,"Orlando, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,1502,1453,1752,1735,0,0,989
1/2/2022 0:00,F9,2570,TPA,"Tampa, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,916,929,1200,1212,0,0,1047
1/2/2022 0:00,F9,2698,MIA,"Miami, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,1425,,1723,,1,0,1139
1/2/2022 0:00,G4,1810,PIE,"St. Petersburg, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,700,655,941,928,0,0,1055
1/3/2022 0:00,F9,1298,MCO,"Orlando, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,700,1020,950,1249,0,0,989
1/3/2022 0:00,G4,1571,PGD,"Punta Gorda, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,1456,,1740,,1,0,1101
1/3/2022 0:00,G4,2350,SFB,"Sanford, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,620,630,851,857,0,0,965
1/4/2022 0:00,F9,2570,TPA,"Tampa, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,916,916,1200,1206,0,0,1047
1/6/2022 0:00,F9,1298,MCO,"Orlando, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,1556,1635,1839,1908,0,0,989
1/6/2022 0:00,F9,2570,TPA,"Tampa, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,948,946,1230,1216,0,0,1047
1/6/2022 0:00,F9,2698,MIA,"Miami, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,827,833,1122,1123,0,0,1139
1/6/2022 0:00,G4,1975,PIE,"St. Petersburg, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,1540,1529,1825,1805,0,0,1055
1/7/2022 0:00,F9,1298,MCO,"Orlando, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,700,706,943,952,0,0,989
1/7/2022 0:00,G4,1635,PGD,"Punta Gorda, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,1540,1523,1824,1812,0,0,1101
1/8/2022 0:00,F9,2570,TPA,"Tampa, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,849,846,1131,1133,0,0,1047
1/9/2022 0:00,F9,1298,MCO,"Orlando, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,715,720,958,958,0,0,989
1/9/2022 0:00,F9,2570,TPA,"Tampa, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,918,908,1200,1152,0,0,1047
1/9/2022 0:00,F9,2698,MIA,"Miami, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,1515,1510,1810,1812,0,0,1139
1/9/2022 0:00,G4,2049,PIE,"St. Petersburg, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,1540,,1825,,1,0,1055
1/10/2022 0:00,F9,1298,MCO,"Orlando, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,700,655,943,933,0,0,989
1/10/2022 0:00,G4,1635,PGD,"Punta Gorda, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,1540,1656,1824,1936,0,0,1101
1/11/2022 0:00,F9,2570,TPA,"Tampa, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,1653,1655,1935,1952,0,0,1047
1/13/2022 0:00,F9,1298,MCO,"Orlando, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,1556,1610,1839,1852,0,0,989
1/13/2022 0:00,F9,2570,TPA,"Tampa, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,948,1004,1230,1240,0,0,1047
1/13/2022 0:00,F9,2698,MIA,"Miami, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,827,822,1122,1129,0,0,1139
1/13/2022 0:00,G4,1975,PIE,"St. Petersburg, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,1540,1531,1825,1828,0,0,1055
1/14/2022 0:00,F9,1298,MCO,"Orlando, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,630,624,913,911,0,0,989
1/14/2022 0:00,G4,1635,PGD,"Punta Gorda, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,1521,1514,1805,1805,0,0,1101
1/15/2022 0:00,F9,2570,TPA,"Tampa, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,849,843,1131,1125,0,0,1047
1/16/2022 0:00,F9,1298,MCO,"Orlando, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,700,656,943,932,0,0,989
1/16/2022 0:00,F9,2570,TPA,"Tampa, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,918,908,1200,1155,0,0,1047
1/16/2022 0:00,F9,2698,MIA,"Miami, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,1515,1559,1810,1904,0,0,1139
1/16/2022 0:00,G4,2049,PIE,"St. Petersburg, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,1540,1533,1825,1757,0,0,1055
1/17/2022 0:00,F9,1298,MCO,"Orlando, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,700,655,943,941,0,0,989
1/17/2022 0:00,G4,1635,PGD,"Punta Gorda, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,1521,1521,1805,1808,0,0,1101
1/18/2022 0:00,F9,2570,TPA,"Tampa, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,1653,1648,1935,1941,0,0,1047
1/20/2022 0:00,F9,1298,MCO,"Orlando, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,1636,1628,1919,1908,0,0,989
1/20/2022 0:00,F9,2570,TPA,"Tampa, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,948,1006,1230,1253,0,0,1047
1/20/2022 0:00,F9,2698,MIA,"Miami, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,827,824,1122,1135,0,0,1139
1/20/2022 0:00,G4,1975,PIE,"St. Petersburg, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,1540,1537,1825,1815,0,0,1055
1/21/2022 0:00,F9,1298,MCO,"Orlando, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,700,658,943,933,0,0,989
1/21/2022 0:00,G4,1635,PGD,"Punta Gorda, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,1521,1546,1805,1818,0,0,1101
1/23/2022 0:00,F9,1298,MCO,"Orlando, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,700,652,943,936,0,0,989
1/23/2022 0:00,F9,2570,TPA,"Tampa, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,918,920,1200,1203,0,0,1047
1/23/2022 0:00,F9,2698,MIA,"Miami, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,1515,1509,1810,1817,0,0,1139
1/23/2022 0:00,G4,2049,PIE,"St. Petersburg, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,1540,1548,1825,1833,0,0,1055
1/24/2022 0:00,F9,1298,MCO,"Orlando, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,715,711,958,958,0,0,989
1/24/2022 0:00,G4,1635,PGD,"Punta Gorda, FL",FL,33,SWF,"Newburgh/Poughkeepsie, NY",NY,22,1521,1513,1805,1800,0,0,1101
