FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,UA,5025,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,1420,,1601,,1,0,369
1/2/2022 0:00,UA,5025,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,1420,,1601,,1,0,369
1/2/2022 0:00,UA,5027,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,715,,856,,1,0,369
1/3/2022 0:00,UA,5025,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,1420,1535,1601,1655,0,0,369
1/3/2022 0:00,UA,5027,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,715,713,856,840,0,0,369
1/3/2022 0:00,UA,5139,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,1620,,1801,,1,0,369
1/3/2022 0:00,UA,5159,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,1535,1533,1716,1740,0,0,369
1/4/2022 0:00,UA,5025,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,1442,1706,1623,1828,0,0,369
1/5/2022 0:00,UA,5025,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,1442,1444,1623,1651,0,0,369
1/6/2022 0:00,UA,5025,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,1442,1445,1623,1613,0,0,369
1/7/2022 0:00,UA,5025,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,1442,1436,1623,1555,0,0,369
1/7/2022 0:00,UA,5027,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,715,,856,,1,0,369
1/8/2022 0:00,UA,5025,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,1442,,1623,,1,0,369
1/9/2022 0:00,UA,5025,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,1442,1438,1623,1600,0,0,369
1/9/2022 0:00,UA,5027,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,715,859,856,1043,0,0,369
1/10/2022 0:00,UA,5025,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,1442,1437,1623,1601,0,0,369
1/10/2022 0:00,UA,5027,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,715,818,856,928,0,0,369
1/11/2022 0:00,UA,5025,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,1442,1433,1623,1554,0,0,369
1/12/2022 0:00,UA,5025,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,1442,1459,1623,1614,0,0,369
1/12/2022 0:00,UA,5027,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,715,705,856,823,0,0,369
1/13/2022 0:00,UA,5025,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,1442,1437,1623,1552,0,0,369
1/13/2022 0:00,UA,5027,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,715,703,856,817,0,0,369
1/14/2022 0:00,UA,5025,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,1442,1432,1623,1614,0,0,369
1/14/2022 0:00,UA,5027,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,715,707,856,844,0,0,369
1/15/2022 0:00,UA,5025,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,1442,1439,1623,1602,0,0,369
1/16/2022 0:00,UA,5025,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,1442,1433,1623,1605,0,0,369
1/16/2022 0:00,UA,5027,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,715,957,856,1130,0,0,369
1/17/2022 0:00,UA,5025,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,1442,1435,1623,1550,0,0,369
1/17/2022 0:00,UA,5027,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,715,705,856,819,0,0,369
1/18/2022 0:00,UA,5025,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,1442,1432,1623,1552,0,0,369
1/19/2022 0:00,UA,5025,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,1442,1433,1623,1608,0,0,369
1/19/2022 0:00,UA,5027,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,715,705,856,834,0,0,369
1/20/2022 0:00,UA,5025,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,1442,1437,1623,1615,0,0,369
1/20/2022 0:00,UA,5027,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,715,706,856,836,0,0,369
1/21/2022 0:00,UA,5025,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,1442,1439,1623,1553,0,0,369
1/21/2022 0:00,UA,5027,ORD,"Chicago, IL",IL,41,TBN,"Fort Leonard Wood, MO",MO,64,715,714,856,834,0,0,369
