FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3525,ORD,"Chicago, IL",IL,41,TOL,"Toledo, OH",OH,44,858,848,1103,1110,0,0,213
1/1/2022 0:00,AA,3548,ORD,"Chicago, IL",IL,41,TOL,"Toledo, OH",OH,44,1404,,1608,,1,0,213
1/1/2022 0:00,G4,2230,SFB,"Sanford, FL",FL,33,TOL,"Toledo, OH",OH,44,1632,,1852,,1,0,895
1/2/2022 0:00,AA,3525,ORD,"Chicago, IL",IL,41,TOL,"Toledo, OH",OH,44,815,,1019,,1,0,213
1/2/2022 0:00,AA,3548,ORD,"Chicago, IL",IL,41,TOL,"Toledo, OH",OH,44,1317,,1524,,1,0,213
1/2/2022 0:00,G4,1652,PGD,"Punta Gorda, FL",FL,33,TOL,"Toledo, OH",OH,44,600,558,827,827,0,0,1016
1/2/2022 0:00,G4,2024,PIE,"St. Petersburg, FL",FL,33,TOL,"Toledo, OH",OH,44,1145,1137,1407,1346,0,0,945
1/3/2022 0:00,AA,3525,ORD,"Chicago, IL",IL,41,TOL,"Toledo, OH",OH,44,815,924,1019,1110,0,0,213
1/3/2022 0:00,AA,3548,ORD,"Chicago, IL",IL,41,TOL,"Toledo, OH",OH,44,1317,1312,1524,1518,0,0,213
1/3/2022 0:00,G4,1773,PGD,"Punta Gorda, FL",FL,33,TOL,"Toledo, OH",OH,44,1754,1744,2021,2014,0,0,1016
1/3/2022 0:00,G4,2516,SFB,"Sanford, FL",FL,33,TOL,"Toledo, OH",OH,44,600,555,820,804,0,0,895
1/4/2022 0:00,AA,3525,ORD,"Chicago, IL",IL,41,TOL,"Toledo, OH",OH,44,1015,1013,1224,1212,0,0,213
1/4/2022 0:00,AA,3548,ORD,"Chicago, IL",IL,41,TOL,"Toledo, OH",OH,44,1346,1344,1553,1537,0,0,213
1/5/2022 0:00,AA,3525,ORD,"Chicago, IL",IL,41,TOL,"Toledo, OH",OH,44,1015,1034,1224,1231,0,0,213
1/5/2022 0:00,AA,3548,ORD,"Chicago, IL",IL,41,TOL,"Toledo, OH",OH,44,1346,1350,1553,1558,0,0,213
1/5/2022 0:00,G4,1565,PGD,"Punta Gorda, FL",FL,33,TOL,"Toledo, OH",OH,44,820,846,1055,1131,0,0,1016
1/6/2022 0:00,AA,3525,ORD,"Chicago, IL",IL,41,TOL,"Toledo, OH",OH,44,1030,1027,1240,1235,0,0,213
1/6/2022 0:00,AA,3548,ORD,"Chicago, IL",IL,41,TOL,"Toledo, OH",OH,44,1500,1459,1707,1654,0,0,213
