FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3759,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,1840,2037,1941,2137,0,0,181
1/1/2022 0:00,AA,3823,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,2129,2140,2227,2238,0,0,181
1/1/2022 0:00,AA,4008,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,1655,1652,1756,1749,0,0,181
1/2/2022 0:00,AA,3759,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,1840,1844,1941,1938,0,0,181
1/2/2022 0:00,AA,3823,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,2129,2136,2227,2232,0,0,181
1/2/2022 0:00,AA,3875,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,855,849,1004,946,0,0,181
1/2/2022 0:00,AA,4008,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,1655,1713,1756,1801,0,0,181
1/3/2022 0:00,AA,3759,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,1840,1837,1941,1933,0,0,181
1/3/2022 0:00,AA,3823,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,2129,2128,2227,2223,0,0,181
1/3/2022 0:00,AA,3875,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,855,850,1004,949,0,0,181
1/3/2022 0:00,AA,4008,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,1655,1657,1756,1745,0,0,181
1/4/2022 0:00,AA,3823,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,2135,2130,2234,2232,0,0,181
1/4/2022 0:00,AA,3875,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,853,902,1002,1003,0,0,181
1/4/2022 0:00,AA,4008,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,1655,1712,1757,1809,0,0,181
1/5/2022 0:00,AA,3823,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,2235,,2335,,1,0,181
1/5/2022 0:00,AA,3875,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,853,847,1002,953,0,0,181
1/5/2022 0:00,AA,4008,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,1655,1654,1757,1745,0,0,181
1/6/2022 0:00,AA,3823,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,2235,2229,2335,2314,0,0,181
1/6/2022 0:00,AA,3875,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,853,852,1002,950,0,0,181
1/6/2022 0:00,AA,4008,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,1655,1654,1757,1744,0,0,181
1/7/2022 0:00,AA,3823,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,2235,2232,2335,2324,0,0,181
1/7/2022 0:00,AA,3875,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,853,848,1002,935,0,0,181
1/7/2022 0:00,AA,4008,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,1655,1919,1757,2004,0,0,181
1/8/2022 0:00,AA,3823,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,2135,2133,2234,2235,0,0,181
1/8/2022 0:00,AA,3875,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,853,848,1002,959,0,0,181
1/8/2022 0:00,AA,4008,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,1655,1821,1757,1932,0,0,181
1/9/2022 0:00,AA,3823,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,2235,2227,2335,2317,0,0,181
1/9/2022 0:00,AA,3875,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,853,844,1002,949,0,0,181
1/9/2022 0:00,AA,4008,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,1655,1647,1757,1736,0,0,181
1/10/2022 0:00,AA,3823,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,2135,2125,2234,2207,0,0,181
1/10/2022 0:00,AA,3875,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,853,841,1002,953,0,0,181
1/10/2022 0:00,AA,4008,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,1655,1652,1757,1744,0,0,181
1/11/2022 0:00,AA,3823,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,2135,2213,2234,2306,0,0,181
1/11/2022 0:00,AA,3875,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,853,850,1002,957,0,0,181
1/11/2022 0:00,AA,4008,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,1655,1648,1757,1743,0,0,181
1/12/2022 0:00,AA,3823,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,2235,2235,2335,2325,0,0,181
1/12/2022 0:00,AA,3875,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,853,844,1002,1003,0,0,181
1/12/2022 0:00,AA,4008,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,1655,1652,1757,1753,0,0,181
1/13/2022 0:00,AA,3823,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,2235,2240,2335,2324,0,0,181
1/13/2022 0:00,AA,3875,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,853,847,1002,940,0,0,181
1/13/2022 0:00,AA,4008,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,1655,1649,1757,1757,0,0,181
