FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,4199,DFW,"Dallas/Fort Worth, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1322,1315,1515,1547,0,0,641
1/1/2022 0:00,AA,4200,DFW,"Dallas/Fort Worth, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1022,1020,1221,1217,0,0,641
1/1/2022 0:00,AA,4291,DFW,"Dallas/Fort Worth, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1653,1654,1849,1917,0,0,641
1/1/2022 0:00,AA,4637,CLT,"Charlotte, NC",NC,36,VPS,"Valparaiso, FL",FL,33,1310,1321,1402,1412,0,0,460
1/1/2022 0:00,AA,5415,CLT,"Charlotte, NC",NC,36,VPS,"Valparaiso, FL",FL,33,924,917,1026,1029,0,0,460
1/1/2022 0:00,AA,5554,DCA,"Washington, DC",VA,38,VPS,"Valparaiso, FL",FL,33,831,846,1023,1021,0,0,789
1/1/2022 0:00,AA,5695,CLT,"Charlotte, NC",NC,36,VPS,"Valparaiso, FL",FL,33,1931,1925,2021,2008,0,0,460
1/1/2022 0:00,DL,2190,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,2100,2110,2111,2119,0,0,250
1/1/2022 0:00,DL,2430,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,1740,1739,1750,1744,0,0,250
1/1/2022 0:00,DL,4894,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,1030,1042,1046,1051,0,0,250
1/1/2022 0:00,DL,5198,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,1445,1442,1500,1447,0,0,250
1/1/2022 0:00,G4,2687,MSP,"Minneapolis, MN",MN,63,VPS,"Valparaiso, FL",FL,33,1300,1300,1544,1548,0,0,1058
1/1/2022 0:00,G4,717,CVG,"Cincinnati, OH",KY,52,VPS,"Valparaiso, FL",FL,33,1656,,1744,,1,0,600
1/1/2022 0:00,UA,4225,IAH,"Houston, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1220,1211,1408,1338,0,0,528
1/1/2022 0:00,UA,4838,IAH,"Houston, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1620,,1807,,1,0,528
1/1/2022 0:00,WN,1489,BNA,"Nashville, TN",TN,54,VPS,"Valparaiso, FL",FL,33,745,740,910,850,0,0,389
1/1/2022 0:00,WN,1564,DAL,"Dallas, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1230,1228,1410,1404,0,0,630
1/1/2022 0:00,WN,2493,BWI,"Baltimore, MD",MD,35,VPS,"Valparaiso, FL",FL,33,835,838,1020,958,0,0,819
1/1/2022 0:00,WN,2762,BNA,"Nashville, TN",TN,54,VPS,"Valparaiso, FL",FL,33,1940,2002,2100,2121,0,0,389
1/1/2022 0:00,WN,3592,DAL,"Dallas, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1635,1723,1815,1901,0,0,630
1/2/2022 0:00,AA,4199,DFW,"Dallas/Fort Worth, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1322,1325,1515,1513,0,0,641
1/2/2022 0:00,AA,4200,DFW,"Dallas/Fort Worth, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1022,1017,1221,1222,0,0,641
1/2/2022 0:00,AA,4291,DFW,"Dallas/Fort Worth, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1653,1931,1849,2117,0,0,641
1/2/2022 0:00,AA,4637,CLT,"Charlotte, NC",NC,36,VPS,"Valparaiso, FL",FL,33,1310,1305,1402,1402,0,0,460
1/2/2022 0:00,AA,5384,CLT,"Charlotte, NC",NC,36,VPS,"Valparaiso, FL",FL,33,1646,1653,1744,1746,0,0,460
1/2/2022 0:00,AA,5415,CLT,"Charlotte, NC",NC,36,VPS,"Valparaiso, FL",FL,33,924,919,1026,1017,0,0,460
1/2/2022 0:00,AA,5554,DCA,"Washington, DC",VA,38,VPS,"Valparaiso, FL",FL,33,845,915,1035,1117,0,0,789
1/2/2022 0:00,AA,5695,CLT,"Charlotte, NC",NC,36,VPS,"Valparaiso, FL",FL,33,1931,1938,2021,2042,0,0,460
1/2/2022 0:00,DL,1322,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,916,924,922,925,0,0,250
1/2/2022 0:00,DL,1335,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,2052,2052,2104,2104,0,0,250
1/2/2022 0:00,DL,2190,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,2259,2257,2313,2318,0,0,250
1/2/2022 0:00,DL,2215,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,1304,1258,1313,1332,0,0,250
1/2/2022 0:00,DL,2430,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,1626,1631,1635,1645,0,0,250
1/2/2022 0:00,G4,2682,EWR,"Newark, NJ",NJ,21,VPS,"Valparaiso, FL",FL,33,1110,1126,1300,1338,0,0,988
1/2/2022 0:00,G4,2689,BLV,"Belleville, IL",IL,41,VPS,"Valparaiso, FL",FL,33,2013,2259,2152,36,0,0,587
1/2/2022 0:00,G4,2691,CVG,"Cincinnati, OH",KY,52,VPS,"Valparaiso, FL",FL,33,928,933,1016,1023,0,0,600
1/2/2022 0:00,G4,2706,LAS,"Las Vegas, NV",NV,85,VPS,"Valparaiso, FL",FL,33,1655,1807,2239,2351,0,0,1695
1/2/2022 0:00,UA,4225,IAH,"Houston, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1220,1223,1408,1407,0,0,528
1/2/2022 0:00,UA,4838,IAH,"Houston, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1620,1707,1807,1845,0,0,528
1/2/2022 0:00,WN,104,BNA,"Nashville, TN",TN,54,VPS,"Valparaiso, FL",FL,33,820,835,940,1000,0,0,389
1/2/2022 0:00,WN,150,BNA,"Nashville, TN",TN,54,VPS,"Valparaiso, FL",FL,33,1545,1617,1705,1739,0,0,389
1/2/2022 0:00,WN,1633,BWI,"Baltimore, MD",MD,35,VPS,"Valparaiso, FL",FL,33,955,1150,1140,1329,0,0,819
1/2/2022 0:00,WN,917,DAL,"Dallas, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1220,1243,1405,1427,0,0,630
1/2/2022 0:00,WN,952,BNA,"Nashville, TN",TN,54,VPS,"Valparaiso, FL",FL,33,2145,2353,2305,249,0,0,389
1/3/2022 0:00,AA,4199,DFW,"Dallas/Fort Worth, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1322,1339,1515,1523,0,0,641
1/3/2022 0:00,AA,4200,DFW,"Dallas/Fort Worth, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1022,1047,1221,1251,0,0,641
1/3/2022 0:00,AA,4291,DFW,"Dallas/Fort Worth, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1653,1651,1849,1831,0,0,641
1/3/2022 0:00,AA,4637,CLT,"Charlotte, NC",NC,36,VPS,"Valparaiso, FL",FL,33,1310,1528,1402,1605,0,0,460
1/3/2022 0:00,AA,5384,CLT,"Charlotte, NC",NC,36,VPS,"Valparaiso, FL",FL,33,1646,1718,1744,1753,0,0,460
1/3/2022 0:00,AA,5415,CLT,"Charlotte, NC",NC,36,VPS,"Valparaiso, FL",FL,33,924,936,1026,1022,0,0,460
1/3/2022 0:00,AA,5554,DCA,"Washington, DC",VA,38,VPS,"Valparaiso, FL",FL,33,845,,1035,,1,0,789
1/3/2022 0:00,AA,5695,CLT,"Charlotte, NC",NC,36,VPS,"Valparaiso, FL",FL,33,1931,2110,2021,2205,0,0,460
1/3/2022 0:00,DL,1322,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,916,918,922,918,0,0,250
1/3/2022 0:00,DL,1335,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,2052,2146,2104,2149,0,0,250
1/3/2022 0:00,DL,2190,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,2259,2302,2313,2303,0,0,250
1/3/2022 0:00,DL,2215,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,1304,1316,1313,1316,0,0,250
1/3/2022 0:00,DL,2430,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,1626,1648,1635,1700,0,0,250
1/3/2022 0:00,G4,2684,BOS,"Boston, MA",MA,13,VPS,"Valparaiso, FL",FL,33,1125,1151,1330,1416,0,0,1187
1/3/2022 0:00,G4,2685,GRR,"Grand Rapids, MI",MI,43,VPS,"Valparaiso, FL",FL,33,1825,1925,1937,2028,0,0,857
1/3/2022 0:00,G4,2695,MDW,"Chicago, IL",IL,41,VPS,"Valparaiso, FL",FL,33,855,927,1102,1119,0,0,782
1/3/2022 0:00,G4,2698,BLV,"Belleville, IL",IL,41,VPS,"Valparaiso, FL",FL,33,2054,2109,2233,2243,0,0,587
1/3/2022 0:00,G4,686,CVG,"Cincinnati, OH",KY,52,VPS,"Valparaiso, FL",FL,33,1917,2023,2005,2057,0,0,600
1/3/2022 0:00,UA,4225,IAH,"Houston, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1220,,1408,,1,0,528
1/3/2022 0:00,UA,4838,IAH,"Houston, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1620,1617,1807,1741,0,0,528
1/3/2022 0:00,WN,104,BNA,"Nashville, TN",TN,54,VPS,"Valparaiso, FL",FL,33,820,847,940,1000,0,0,389
1/3/2022 0:00,WN,150,BNA,"Nashville, TN",TN,54,VPS,"Valparaiso, FL",FL,33,1545,1636,1705,1757,0,0,389
1/3/2022 0:00,WN,1633,BWI,"Baltimore, MD",MD,35,VPS,"Valparaiso, FL",FL,33,955,,1140,,1,0,819
1/3/2022 0:00,WN,917,DAL,"Dallas, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1220,1225,1405,1359,0,0,630
1/3/2022 0:00,WN,952,BNA,"Nashville, TN",TN,54,VPS,"Valparaiso, FL",FL,33,2145,2244,2305,10,0,0,389
1/4/2022 0:00,AA,4050,DFW,"Dallas/Fort Worth, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1448,1449,1643,1628,0,0,641
1/4/2022 0:00,AA,4291,DFW,"Dallas/Fort Worth, TX",TX,74,VPS,"Valparaiso, FL",FL,33,2105,2105,2258,2248,0,0,641
1/4/2022 0:00,AA,5239,CLT,"Charlotte, NC",NC,36,VPS,"Valparaiso, FL",FL,33,1306,1402,1402,1449,0,0,460
1/4/2022 0:00,AA,5384,CLT,"Charlotte, NC",NC,36,VPS,"Valparaiso, FL",FL,33,1805,1819,1859,1936,0,0,460
1/4/2022 0:00,AA,5415,CLT,"Charlotte, NC",NC,36,VPS,"Valparaiso, FL",FL,33,915,913,1018,1003,0,0,460
1/4/2022 0:00,AA,5554,DCA,"Washington, DC",VA,38,VPS,"Valparaiso, FL",FL,33,900,1009,1053,1130,0,0,789
1/4/2022 0:00,AA,5858,DFW,"Dallas/Fort Worth, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1048,1043,1254,1232,0,0,641
1/4/2022 0:00,DL,1322,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,916,920,922,920,0,0,250
1/4/2022 0:00,DL,1335,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,2052,2055,2104,2059,0,0,250
1/4/2022 0:00,DL,2215,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,1304,1304,1313,1309,0,0,250
1/4/2022 0:00,DL,2430,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,1626,1632,1635,1636,0,0,250
1/4/2022 0:00,UA,4225,IAH,"Houston, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1220,1220,1408,1352,0,0,528
1/4/2022 0:00,UA,6087,IAH,"Houston, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1635,,1817,,1,0,528
1/4/2022 0:00,WN,1567,BNA,"Nashville, TN",TN,54,VPS,"Valparaiso, FL",FL,33,815,830,935,941,0,0,389
1/4/2022 0:00,WN,3429,DAL,"Dallas, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1335,1356,1515,1531,0,0,630
1/4/2022 0:00,WN,5322,BWI,"Baltimore, MD",MD,35,VPS,"Valparaiso, FL",FL,33,955,,1140,,1,0,819
1/4/2022 0:00,WN,6305,BNA,"Nashville, TN",TN,54,VPS,"Valparaiso, FL",FL,33,2105,2104,2225,2212,0,0,389
1/5/2022 0:00,AA,4050,DFW,"Dallas/Fort Worth, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1648,1643,1844,1849,0,0,641
1/5/2022 0:00,AA,4291,DFW,"Dallas/Fort Worth, TX",TX,74,VPS,"Valparaiso, FL",FL,33,2105,2100,2258,2245,0,0,641
1/5/2022 0:00,AA,5239,CLT,"Charlotte, NC",NC,36,VPS,"Valparaiso, FL",FL,33,1306,1259,1402,1356,0,0,460
1/5/2022 0:00,AA,5384,CLT,"Charlotte, NC",NC,36,VPS,"Valparaiso, FL",FL,33,1727,1720,1814,1802,0,0,460
1/5/2022 0:00,AA,5415,CLT,"Charlotte, NC",NC,36,VPS,"Valparaiso, FL",FL,33,915,904,1018,1001,0,0,460
1/5/2022 0:00,AA,5554,DCA,"Washington, DC",VA,38,VPS,"Valparaiso, FL",FL,33,900,1118,1053,1246,0,0,789
1/5/2022 0:00,AA,5695,CLT,"Charlotte, NC",NC,36,VPS,"Valparaiso, FL",FL,33,2223,2217,2315,2258,0,0,460
1/5/2022 0:00,AA,5858,DFW,"Dallas/Fort Worth, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1048,1210,1254,1350,0,0,641
1/5/2022 0:00,DL,1335,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,1955,1955,2005,2001,0,0,250
1/5/2022 0:00,DL,2152,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,943,942,950,946,0,0,250
1/5/2022 0:00,DL,2190,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,2255,2241,2307,2248,0,0,250
1/5/2022 0:00,DL,2215,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,1239,1236,1247,1238,0,0,250
1/5/2022 0:00,DL,2430,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,1642,1638,1650,1644,0,0,250
1/5/2022 0:00,G4,2684,MSP,"Minneapolis, MN",MN,63,VPS,"Valparaiso, FL",FL,33,1323,1321,1607,1555,0,0,1058
1/5/2022 0:00,UA,4225,IAH,"Houston, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1220,1210,1408,1348,0,0,528
1/5/2022 0:00,UA,6087,IAH,"Houston, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1635,1652,1817,1824,0,0,528
1/5/2022 0:00,WN,1567,BNA,"Nashville, TN",TN,54,VPS,"Valparaiso, FL",FL,33,815,821,935,931,0,0,389
1/5/2022 0:00,WN,3429,DAL,"Dallas, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1335,1415,1515,1550,0,0,630
1/5/2022 0:00,WN,5322,BWI,"Baltimore, MD",MD,35,VPS,"Valparaiso, FL",FL,33,955,,1140,,1,0,819
1/5/2022 0:00,WN,6305,BNA,"Nashville, TN",TN,54,VPS,"Valparaiso, FL",FL,33,2105,,2225,,1,0,389
1/6/2022 0:00,AA,4050,DFW,"Dallas/Fort Worth, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1648,1644,1844,1855,0,0,641
1/6/2022 0:00,AA,4291,DFW,"Dallas/Fort Worth, TX",TX,74,VPS,"Valparaiso, FL",FL,33,2105,2057,2258,2246,0,0,641
1/6/2022 0:00,AA,5239,CLT,"Charlotte, NC",NC,36,VPS,"Valparaiso, FL",FL,33,1306,1315,1402,1411,0,0,460
1/6/2022 0:00,AA,5384,CLT,"Charlotte, NC",NC,36,VPS,"Valparaiso, FL",FL,33,1727,1718,1814,1817,0,0,460
1/6/2022 0:00,AA,5415,CLT,"Charlotte, NC",NC,36,VPS,"Valparaiso, FL",FL,33,915,909,1018,1020,0,0,460
1/6/2022 0:00,AA,5554,DCA,"Washington, DC",VA,38,VPS,"Valparaiso, FL",FL,33,900,855,1053,1054,0,0,789
1/6/2022 0:00,AA,5695,CLT,"Charlotte, NC",NC,36,VPS,"Valparaiso, FL",FL,33,2223,2219,2315,2256,0,0,460
1/6/2022 0:00,AA,5858,DFW,"Dallas/Fort Worth, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1048,1044,1254,1233,0,0,641
1/6/2022 0:00,DL,1335,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,1955,1955,2005,2004,0,0,250
1/6/2022 0:00,DL,2152,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,943,954,950,1013,0,0,250
1/6/2022 0:00,DL,2190,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,2255,2248,2307,2255,0,0,250
1/6/2022 0:00,DL,2215,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,1239,1234,1247,1241,0,0,250
1/6/2022 0:00,DL,2430,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,1642,1646,1650,1657,0,0,250
1/6/2022 0:00,G4,1562,BLV,"Belleville, IL",IL,41,VPS,"Valparaiso, FL",FL,33,1043,1028,1227,1226,0,0,587
1/6/2022 0:00,G4,2712,LAS,"Las Vegas, NV",NV,85,VPS,"Valparaiso, FL",FL,33,1105,1056,1649,1635,0,0,1695
1/6/2022 0:00,G4,714,CVG,"Cincinnati, OH",KY,52,VPS,"Valparaiso, FL",FL,33,730,732,822,830,0,0,600
1/6/2022 0:00,UA,4225,IAH,"Houston, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1220,1236,1408,1426,0,0,528
1/6/2022 0:00,UA,6087,IAH,"Houston, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1635,1643,1817,1827,0,0,528
1/6/2022 0:00,WN,1567,BNA,"Nashville, TN",TN,54,VPS,"Valparaiso, FL",FL,33,815,809,935,953,0,0,389
1/6/2022 0:00,WN,3429,DAL,"Dallas, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1335,1335,1515,1514,0,0,630
1/6/2022 0:00,WN,5322,BWI,"Baltimore, MD",MD,35,VPS,"Valparaiso, FL",FL,33,955,955,1140,1209,0,0,819
1/6/2022 0:00,WN,6305,BNA,"Nashville, TN",TN,54,VPS,"Valparaiso, FL",FL,33,2105,2345,2225,110,0,0,389
1/7/2022 0:00,AA,4050,DFW,"Dallas/Fort Worth, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1648,1643,1844,1846,0,0,641
1/7/2022 0:00,AA,4291,DFW,"Dallas/Fort Worth, TX",TX,74,VPS,"Valparaiso, FL",FL,33,2105,2103,2258,2253,0,0,641
1/7/2022 0:00,AA,5239,CLT,"Charlotte, NC",NC,36,VPS,"Valparaiso, FL",FL,33,1306,1255,1402,1343,0,0,460
1/7/2022 0:00,AA,5384,CLT,"Charlotte, NC",NC,36,VPS,"Valparaiso, FL",FL,33,1727,1724,1814,1757,0,0,460
1/7/2022 0:00,AA,5415,CLT,"Charlotte, NC",NC,36,VPS,"Valparaiso, FL",FL,33,915,908,1018,1003,0,0,460
1/7/2022 0:00,AA,5554,DCA,"Washington, DC",VA,38,VPS,"Valparaiso, FL",FL,33,900,859,1053,1042,0,0,789
1/7/2022 0:00,AA,5695,CLT,"Charlotte, NC",NC,36,VPS,"Valparaiso, FL",FL,33,2223,2217,2315,2304,0,0,460
1/7/2022 0:00,AA,5858,DFW,"Dallas/Fort Worth, TX",TX,74,VPS,"Valparaiso, FL",FL,33,1048,,1254,,1,0,641
1/7/2022 0:00,DL,1335,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,1955,1953,2005,1948,0,0,250
1/7/2022 0:00,DL,2152,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,943,941,950,952,0,0,250
1/7/2022 0:00,DL,2190,ATL,"Atlanta, GA",GA,34,VPS,"Valparaiso, FL",FL,33,2255,2253,2307,2257,0,0,250
