FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/2/2022 0:00,AS,64,PSG,"Petersburg, AK",AK,1,WRG,"Wrangell, AK",AK,1,1504,1524,1534,1542,0,0,31
1/2/2022 0:00,AS,65,KTN,"Ketchikan, AK",AK,1,WRG,"Wrangell, AK",AK,1,900,918,952,1014,0,0,82
1/3/2022 0:00,AS,64,PSG,"Petersburg, AK",AK,1,WRG,"Wrangell, AK",AK,1,1504,,1534,,1,0,31
1/3/2022 0:00,AS,65,KTN,"Ketchikan, AK",AK,1,WRG,"Wrangell, AK",AK,1,853,907,945,1000,0,0,82
1/4/2022 0:00,AS,64,PSG,"Petersburg, AK",AK,1,WRG,"Wrangell, AK",AK,1,1505,1638,1532,1708,0,0,31
1/4/2022 0:00,AS,65,KTN,"Ketchikan, AK",AK,1,WRG,"Wrangell, AK",AK,1,1015,1012,1102,1042,0,0,82
1/5/2022 0:00,AS,64,PSG,"Petersburg, AK",AK,1,WRG,"Wrangell, AK",AK,1,1505,1459,1532,1523,0,0,31
1/5/2022 0:00,AS,65,KTN,"Ketchikan, AK",AK,1,WRG,"Wrangell, AK",AK,1,1015,1019,1102,1054,0,0,82
1/6/2022 0:00,AS,64,PSG,"Petersburg, AK",AK,1,WRG,"Wrangell, AK",AK,1,1505,1439,1532,1514,0,0,31
1/6/2022 0:00,AS,65,KTN,"Ketchikan, AK",AK,1,WRG,"Wrangell, AK",AK,1,1015,1600,1102,1633,0,0,82
1/7/2022 0:00,AS,64,PSG,"Petersburg, AK",AK,1,WRG,"Wrangell, AK",AK,1,1505,1539,1532,1608,0,0,31
1/7/2022 0:00,AS,65,KTN,"Ketchikan, AK",AK,1,WRG,"Wrangell, AK",AK,1,1015,1048,1102,1151,0,0,82
1/8/2022 0:00,AS,64,PSG,"Petersburg, AK",AK,1,WRG,"Wrangell, AK",AK,1,1505,1557,1532,1645,0,0,31
1/8/2022 0:00,AS,65,KTN,"Ketchikan, AK",AK,1,WRG,"Wrangell, AK",AK,1,1015,1021,1102,1134,0,0,82
1/9/2022 0:00,AS,64,PSG,"Petersburg, AK",AK,1,WRG,"Wrangell, AK",AK,1,1505,,1532,,1,0,31
1/9/2022 0:00,AS,65,KTN,"Ketchikan, AK",AK,1,WRG,"Wrangell, AK",AK,1,1015,2116,1102,,0,1,82
1/10/2022 0:00,AS,64,PSG,"Petersburg, AK",AK,1,WRG,"Wrangell, AK",AK,1,1505,,1532,,1,0,31
1/10/2022 0:00,AS,65,KTN,"Ketchikan, AK",AK,1,WRG,"Wrangell, AK",AK,1,1015,1021,1102,1102,0,0,82
1/11/2022 0:00,AS,64,PSG,"Petersburg, AK",AK,1,WRG,"Wrangell, AK",AK,1,1505,1520,1532,1601,0,0,31
1/11/2022 0:00,AS,65,KTN,"Ketchikan, AK",AK,1,WRG,"Wrangell, AK",AK,1,1015,958,1102,1051,0,0,82
1/12/2022 0:00,AS,64,PSG,"Petersburg, AK",AK,1,WRG,"Wrangell, AK",AK,1,1505,1545,1532,1608,0,0,31
1/12/2022 0:00,AS,65,KTN,"Ketchikan, AK",AK,1,WRG,"Wrangell, AK",AK,1,1015,1005,1102,1046,0,0,82
1/13/2022 0:00,AS,64,PSG,"Petersburg, AK",AK,1,WRG,"Wrangell, AK",AK,1,1505,1450,1532,1521,0,0,31
1/13/2022 0:00,AS,65,KTN,"Ketchikan, AK",AK,1,WRG,"Wrangell, AK",AK,1,1015,1008,1102,1043,0,0,82
1/14/2022 0:00,AS,64,PSG,"Petersburg, AK",AK,1,WRG,"Wrangell, AK",AK,1,1505,1507,1532,1533,0,0,31
1/14/2022 0:00,AS,65,KTN,"Ketchikan, AK",AK,1,WRG,"Wrangell, AK",AK,1,1015,1002,1102,1040,0,0,82
1/15/2022 0:00,AS,64,PSG,"Petersburg, AK",AK,1,WRG,"Wrangell, AK",AK,1,1505,1455,1532,1515,0,0,31
1/15/2022 0:00,AS,65,KTN,"Ketchikan, AK",AK,1,WRG,"Wrangell, AK",AK,1,1015,1001,1102,1039,0,0,82
1/16/2022 0:00,AS,64,PSG,"Petersburg, AK",AK,1,WRG,"Wrangell, AK",AK,1,1505,1437,1532,1458,0,0,31
1/16/2022 0:00,AS,65,KTN,"Ketchikan, AK",AK,1,WRG,"Wrangell, AK",AK,1,1015,1000,1102,1059,0,0,82
1/17/2022 0:00,AS,64,PSG,"Petersburg, AK",AK,1,WRG,"Wrangell, AK",AK,1,1505,1453,1532,1511,0,0,31
1/17/2022 0:00,AS,65,KTN,"Ketchikan, AK",AK,1,WRG,"Wrangell, AK",AK,1,1015,1014,1102,1104,0,0,82
1/18/2022 0:00,AS,64,PSG,"Petersburg, AK",AK,1,WRG,"Wrangell, AK",AK,1,1505,1456,1532,1514,0,0,31
1/18/2022 0:00,AS,65,KTN,"Ketchikan, AK",AK,1,WRG,"Wrangell, AK",AK,1,1015,1000,1102,1046,0,0,82
1/19/2022 0:00,AS,64,PSG,"Petersburg, AK",AK,1,WRG,"Wrangell, AK",AK,1,1505,1814,1532,1832,0,0,31
1/19/2022 0:00,AS,65,KTN,"Ketchikan, AK",AK,1,WRG,"Wrangell, AK",AK,1,1015,1009,1102,1132,0,0,82
1/20/2022 0:00,AS,64,PSG,"Petersburg, AK",AK,1,WRG,"Wrangell, AK",AK,1,1505,1452,1532,1546,0,0,31
1/20/2022 0:00,AS,65,KTN,"Ketchikan, AK",AK,1,WRG,"Wrangell, AK",AK,1,1015,1006,1102,1053,0,0,82
1/21/2022 0:00,AS,64,PSG,"Petersburg, AK",AK,1,WRG,"Wrangell, AK",AK,1,1505,1548,1532,1612,0,0,31
