FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,DL,4260,MSP,"Minneapolis, MN",MN,63,XWA,"Williston, ND",ND,66,1245,1246,1438,1445,0,0,553
1/1/2022 0:00,DL,4323,MSP,"Minneapolis, MN",MN,63,XWA,"Williston, ND",ND,66,1000,1201,1201,1343,0,0,553
1/1/2022 0:00,UA,5342,DEN,"Denver, CO",CO,82,XWA,"Williston, ND",ND,66,1150,,1450,,1,0,582
1/1/2022 0:00,UA,5359,DEN,"Denver, CO",CO,82,XWA,"Williston, ND",ND,66,1720,,2024,,1,0,582
1/2/2022 0:00,DL,4260,MSP,"Minneapolis, MN",MN,63,XWA,"Williston, ND",ND,66,1245,,1439,,1,0,553
1/2/2022 0:00,DL,4323,MSP,"Minneapolis, MN",MN,63,XWA,"Williston, ND",ND,66,1000,1147,1202,1335,0,0,553
1/2/2022 0:00,UA,5342,DEN,"Denver, CO",CO,82,XWA,"Williston, ND",ND,66,1150,,1450,,1,0,582
1/2/2022 0:00,UA,5359,DEN,"Denver, CO",CO,82,XWA,"Williston, ND",ND,66,1720,1741,2024,2028,0,0,582
1/3/2022 0:00,DL,4260,MSP,"Minneapolis, MN",MN,63,XWA,"Williston, ND",ND,66,1245,1308,1439,1512,0,0,553
1/3/2022 0:00,DL,4323,MSP,"Minneapolis, MN",MN,63,XWA,"Williston, ND",ND,66,1000,,1202,,1,0,553
1/3/2022 0:00,UA,5342,DEN,"Denver, CO",CO,82,XWA,"Williston, ND",ND,66,1150,1147,1450,1434,0,0,582
1/3/2022 0:00,UA,5359,DEN,"Denver, CO",CO,82,XWA,"Williston, ND",ND,66,1720,1748,2024,2037,0,0,582
1/4/2022 0:00,DL,4260,MSP,"Minneapolis, MN",MN,63,XWA,"Williston, ND",ND,66,1245,1310,1439,1453,0,0,553
1/4/2022 0:00,DL,4323,MSP,"Minneapolis, MN",MN,63,XWA,"Williston, ND",ND,66,1000,1002,1202,1149,0,0,553
1/4/2022 0:00,UA,5342,DEN,"Denver, CO",CO,82,XWA,"Williston, ND",ND,66,1145,,1446,,1,0,582
1/4/2022 0:00,UA,5359,DEN,"Denver, CO",CO,82,XWA,"Williston, ND",ND,66,1720,1747,2024,2039,0,0,582
1/5/2022 0:00,DL,4260,MSP,"Minneapolis, MN",MN,63,XWA,"Williston, ND",ND,66,1005,1036,1202,1254,0,0,553
1/5/2022 0:00,DL,4273,MSP,"Minneapolis, MN",MN,63,XWA,"Williston, ND",ND,66,1530,1542,1729,1803,0,0,553
1/5/2022 0:00,UA,5342,DEN,"Denver, CO",CO,82,XWA,"Williston, ND",ND,66,1145,1232,1446,1541,0,0,582
1/5/2022 0:00,UA,5359,DEN,"Denver, CO",CO,82,XWA,"Williston, ND",ND,66,1720,,2024,,1,0,582
1/6/2022 0:00,DL,4260,MSP,"Minneapolis, MN",MN,63,XWA,"Williston, ND",ND,66,1005,1013,1202,1248,0,0,553
1/6/2022 0:00,DL,4273,MSP,"Minneapolis, MN",MN,63,XWA,"Williston, ND",ND,66,1530,,1729,,1,0,553
1/6/2022 0:00,UA,5342,DEN,"Denver, CO",CO,82,XWA,"Williston, ND",ND,66,1145,1205,1446,1518,0,0,582
1/6/2022 0:00,UA,5359,DEN,"Denver, CO",CO,82,XWA,"Williston, ND",ND,66,1720,,2024,,1,0,582
1/7/2022 0:00,DL,4260,MSP,"Minneapolis, MN",MN,63,XWA,"Williston, ND",ND,66,1005,,1202,,1,0,553
1/7/2022 0:00,DL,4273,MSP,"Minneapolis, MN",MN,63,XWA,"Williston, ND",ND,66,1530,,1729,,1,0,553
