FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1679,DFW,"Dallas/Fort Worth, TX",TX,74,BHM,"Birmingham, AL",AL,51,1511,1502,1649,1653,0,0,597
1/1/2022 0:00,AA,2063,DFW,"Dallas/Fort Worth, TX",TX,74,BHM,"Birmingham, AL",AL,51,2105,2154,2247,2329,0,0,597
1/1/2022 0:00,AA,2991,ORD,"Chicago, IL",IL,41,HSV,"Huntsville, AL",AL,51,1715,,1903,,1,0,510
1/1/2022 0:00,AA,3622,DFW,"Dallas/Fort Worth, TX",TX,74,HSV,"Huntsville, AL",AL,51,850,847,1039,1029,0,0,603
1/1/2022 0:00,AA,3739,MIA,"Miami, FL",FL,33,BHM,"Birmingham, AL",AL,51,1633,1632,1736,1734,0,0,661
1/1/2022 0:00,AA,3808,DFW,"Dallas/Fort Worth, TX",TX,74,HSV,"Huntsville, AL",AL,51,1703,1657,1849,1909,0,0,603
1/1/2022 0:00,AA,3821,DFW,"Dallas/Fort Worth, TX",TX,74,HSV,"Huntsville, AL",AL,51,2141,,2325,,1,0,603
1/1/2022 0:00,AA,3859,DFW,"Dallas/Fort Worth, TX",TX,74,MGM,"Montgomery, AL",AL,51,1309,1319,1455,1516,0,0,622
1/1/2022 0:00,AA,3863,DFW,"Dallas/Fort Worth, TX",TX,74,MOB,"Mobile, AL",AL,51,1015,1015,1155,1143,0,0,539
1/1/2022 0:00,AA,3922,ORD,"Chicago, IL",IL,41,BHM,"Birmingham, AL",AL,51,1213,1254,1406,1534,0,0,583
1/1/2022 0:00,AA,4182,DFW,"Dallas/Fort Worth, TX",TX,74,HSV,"Huntsville, AL",AL,51,1123,1118,1312,1252,0,0,603
1/1/2022 0:00,AA,4393,MIA,"Miami, FL",FL,33,BHM,"Birmingham, AL",AL,51,2238,2243,2340,2341,0,0,661
1/1/2022 0:00,AA,5057,CLT,"Charlotte, NC",NC,36,BHM,"Birmingham, AL",AL,51,1134,1126,1214,1207,0,0,350
1/1/2022 0:00,AA,5108,CLT,"Charlotte, NC",NC,36,BHM,"Birmingham, AL",AL,51,1705,1707,1741,1740,0,0,350
1/1/2022 0:00,AA,5179,PHL,"Philadelphia, PA",PA,23,BHM,"Birmingham, AL",AL,51,929,926,1057,1110,0,0,772
1/1/2022 0:00,AA,5205,DCA,"Washington, DC",VA,38,HSV,"Huntsville, AL",AL,51,756,753,918,857,0,0,613
1/1/2022 0:00,AA,5215,DCA,"Washington, DC",VA,38,HSV,"Huntsville, AL",AL,51,1745,1755,1855,2205,0,1,613
1/1/2022 0:00,AA,5259,DCA,"Washington, DC",VA,38,BHM,"Birmingham, AL",AL,51,1344,1338,1458,1445,0,0,653
1/1/2022 0:00,AA,5270,CLT,"Charlotte, NC",NC,36,BHM,"Birmingham, AL",AL,51,855,850,926,917,0,0,350
1/1/2022 0:00,AA,5332,DCA,"Washington, DC",VA,38,BHM,"Birmingham, AL",AL,51,835,849,958,1142,0,0,653
1/1/2022 0:00,AA,5436,CLT,"Charlotte, NC",NC,36,BHM,"Birmingham, AL",AL,51,1505,1606,1544,1632,0,0,350
1/1/2022 0:00,AA,5574,CLT,"Charlotte, NC",NC,36,BHM,"Birmingham, AL",AL,51,1820,1812,1855,1856,0,0,350
1/1/2022 0:00,AA,5601,CLT,"Charlotte, NC",NC,36,BHM,"Birmingham, AL",AL,51,2015,2017,2048,2046,0,0,350
1/1/2022 0:00,AA,5653,DCA,"Washington, DC",VA,38,MGM,"Montgomery, AL",AL,51,1358,1709,1525,1833,0,0,693
1/1/2022 0:00,AA,5699,CLT,"Charlotte, NC",NC,36,HSV,"Huntsville, AL",AL,51,1130,1119,1212,1157,0,0,333
1/1/2022 0:00,AA,5722,CLT,"Charlotte, NC",NC,36,HSV,"Huntsville, AL",AL,51,906,855,944,958,0,0,333
1/1/2022 0:00,AA,5724,CLT,"Charlotte, NC",NC,36,HSV,"Huntsville, AL",AL,51,2023,2059,2059,2146,0,0,333
1/1/2022 0:00,AA,5841,DFW,"Dallas/Fort Worth, TX",TX,74,MOB,"Mobile, AL",AL,51,2200,,2335,,1,0,539
1/1/2022 0:00,AA,5869,DFW,"Dallas/Fort Worth, TX",TX,74,MGM,"Montgomery, AL",AL,51,2120,2155,2302,2342,0,0,622
1/1/2022 0:00,AA,5998,DFW,"Dallas/Fort Worth, TX",TX,74,MOB,"Mobile, AL",AL,51,1740,1738,1915,1912,0,0,539
1/1/2022 0:00,AA,6034,CLT,"Charlotte, NC",NC,36,MOB,"Mobile, AL",AL,51,1658,1701,1806,1804,0,0,526
1/1/2022 0:00,AA,6079,CLT,"Charlotte, NC",NC,36,MGM,"Montgomery, AL",AL,51,1108,1107,1153,1152,0,0,372
1/1/2022 0:00,AA,6137,CLT,"Charlotte, NC",NC,36,MGM,"Montgomery, AL",AL,51,1805,1836,1848,1932,0,0,372
1/1/2022 0:00,AA,6165,CLT,"Charlotte, NC",NC,36,MOB,"Mobile, AL",AL,51,1259,1256,1404,1506,0,0,526
1/1/2022 0:00,AA,6187,CLT,"Charlotte, NC",NC,36,MOB,"Mobile, AL",AL,51,955,954,1102,1054,0,0,526
1/1/2022 0:00,DL,1362,ATL,"Atlanta, GA",GA,34,BHM,"Birmingham, AL",AL,51,1030,1035,1023,1023,0,0,134
1/1/2022 0:00,DL,1389,ATL,"Atlanta, GA",GA,34,BHM,"Birmingham, AL",AL,51,1455,1513,1446,1501,0,0,134
1/1/2022 0:00,DL,2326,ATL,"Atlanta, GA",GA,34,HSV,"Huntsville, AL",AL,51,900,858,854,845,0,0,151
1/1/2022 0:00,DL,2823,ATL,"Atlanta, GA",GA,34,HSV,"Huntsville, AL",AL,51,2245,152,2241,204,0,1,151
1/1/2022 0:00,DL,2922,ATL,"Atlanta, GA",GA,34,HSV,"Huntsville, AL",AL,51,1250,,1239,,1,0,151
1/1/2022 0:00,DL,2927,ATL,"Atlanta, GA",GA,34,BHM,"Birmingham, AL",AL,51,2250,2312,2242,2300,0,0,134
1/1/2022 0:00,DL,2936,ATL,"Atlanta, GA",GA,34,BHM,"Birmingham, AL",AL,51,1744,1759,1732,1740,0,0,134
1/1/2022 0:00,DL,2967,ATL,"Atlanta, GA",GA,34,HSV,"Huntsville, AL",AL,51,1620,1623,1613,1614,0,0,151
1/1/2022 0:00,DL,4753,LGA,"New York, NY",NY,22,BHM,"Birmingham, AL",AL,51,815,812,1015,947,0,0,866
1/1/2022 0:00,DL,4833,ATL,"Atlanta, GA",GA,34,DHN,"Dothan, AL",AL,51,1149,1144,1148,1130,0,0,170
1/1/2022 0:00,DL,4893,ATL,"Atlanta, GA",GA,34,MGM,"Montgomery, AL",AL,51,2110,2104,2107,2054,0,0,147
1/1/2022 0:00,DL,5012,ATL,"Atlanta, GA",GA,34,MOB,"Mobile, AL",AL,51,1000,956,1022,1020,0,0,302
1/1/2022 0:00,DL,5026,ATL,"Atlanta, GA",GA,34,MGM,"Montgomery, AL",AL,51,1000,955,1000,944,0,0,147
1/1/2022 0:00,DL,5061,ATL,"Atlanta, GA",GA,34,DHN,"Dothan, AL",AL,51,1914,1919,1913,1916,0,0,170
1/1/2022 0:00,DL,5278,ATL,"Atlanta, GA",GA,34,MGM,"Montgomery, AL",AL,51,1417,1413,1411,1359,0,0,147
1/1/2022 0:00,DL,5397,ATL,"Atlanta, GA",GA,34,MOB,"Mobile, AL",AL,51,2110,2108,2130,2136,0,0,302
1/1/2022 0:00,DL,5451,ATL,"Atlanta, GA",GA,34,MOB,"Mobile, AL",AL,51,1510,1505,1530,1527,0,0,302
1/1/2022 0:00,DL,5489,ATL,"Atlanta, GA",GA,34,BHM,"Birmingham, AL",AL,51,1940,1941,1936,1928,0,0,134
1/1/2022 0:00,DL,5544,DFW,"Dallas/Fort Worth, TX",TX,74,BHM,"Birmingham, AL",AL,51,1200,1240,1400,1412,0,0,597
1/1/2022 0:00,UA,4233,IAH,"Houston, TX",TX,74,HSV,"Huntsville, AL",AL,51,1040,1040,1239,1215,0,0,595
1/1/2022 0:00,UA,4244,IAH,"Houston, TX",TX,74,MOB,"Mobile, AL",AL,51,2005,2005,2137,2145,0,0,427
1/1/2022 0:00,UA,4298,IAH,"Houston, TX",TX,74,BHM,"Birmingham, AL",AL,51,2010,,2202,,1,0,562
1/1/2022 0:00,UA,4313,IAH,"Houston, TX",TX,74,HSV,"Huntsville, AL",AL,51,1420,,1610,,1,0,595
1/1/2022 0:00,UA,4316,IAH,"Houston, TX",TX,74,BHM,"Birmingham, AL",AL,51,1240,1235,1429,1426,0,0,562
1/1/2022 0:00,UA,4375,IAH,"Houston, TX",TX,74,HSV,"Huntsville, AL",AL,51,2005,2100,2159,1217,0,1,595
1/1/2022 0:00,UA,4646,DEN,"Denver, CO",CO,82,BHM,"Birmingham, AL",AL,51,1745,,2128,,1,0,1083
1/1/2022 0:00,UA,4705,DEN,"Denver, CO",CO,82,HSV,"Huntsville, AL",AL,51,2025,2244,2358,237,0,0,1048
1/1/2022 0:00,UA,4821,IAD,"Washington, DC",VA,38,HSV,"Huntsville, AL",AL,51,1035,1036,1152,1146,0,0,596
1/1/2022 0:00,UA,4824,IAD,"Washington, DC",VA,38,HSV,"Huntsville, AL",AL,51,1750,1748,1910,932,0,1,596
1/1/2022 0:00,UA,4835,IAH,"Houston, TX",TX,74,MOB,"Mobile, AL",AL,51,1430,1634,1604,1744,0,0,427
1/1/2022 0:00,UA,4853,IAH,"Houston, TX",TX,74,BHM,"Birmingham, AL",AL,51,1620,,1807,,1,0,562
1/1/2022 0:00,UA,5336,ORD,"Chicago, IL",IL,41,BHM,"Birmingham, AL",AL,51,935,,1145,,1,0,583
1/1/2022 0:00,UA,5985,DEN,"Denver, CO",CO,82,BHM,"Birmingham, AL",AL,51,1015,1209,1357,1724,0,0,1083
1/1/2022 0:00,UA,6164,ORD,"Chicago, IL",IL,41,HSV,"Huntsville, AL",AL,51,1755,,1952,,1,0,510
1/1/2022 0:00,WN,1880,DAL,"Dallas, TX",TX,74,BHM,"Birmingham, AL",AL,51,2035,2117,2205,2241,0,0,587
1/1/2022 0:00,WN,2795,MCO,"Orlando, FL",FL,33,BHM,"Birmingham, AL",AL,51,2020,2035,2100,2107,0,0,479
1/1/2022 0:00,WN,2855,MDW,"Chicago, IL",IL,41,BHM,"Birmingham, AL",AL,51,800,,945,,1,0,570
1/1/2022 0:00,WN,2864,MCO,"Orlando, FL",FL,33,BHM,"Birmingham, AL",AL,51,930,925,1010,956,0,0,479
1/1/2022 0:00,WN,3154,BWI,"Baltimore, MD",MD,35,BHM,"Birmingham, AL",AL,51,1320,1322,1430,1430,0,0,682
1/1/2022 0:00,WN,3227,LAS,"Las Vegas, NV",NV,85,BHM,"Birmingham, AL",AL,51,1755,1803,2320,2324,0,0,1618
1/1/2022 0:00,WN,3476,DEN,"Denver, CO",CO,82,BHM,"Birmingham, AL",AL,51,1220,1337,1545,1711,0,0,1083
