FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3085,DFW,"Dallas/Fort Worth, TX",TX,74,FSM,"Fort Smith, AR",AR,71,1834,2005,1946,2122,0,0,227
1/1/2022 0:00,AA,3238,DFW,"Dallas/Fort Worth, TX",TX,74,LIT,"Little Rock, AR",AR,71,1230,1245,1354,1351,0,0,304
1/1/2022 0:00,AA,3509,DFW,"Dallas/Fort Worth, TX",TX,74,XNA,"Fayetteville, AR",AR,71,1900,1940,2020,2112,0,0,280
1/1/2022 0:00,AA,3561,ORD,"Chicago, IL",IL,41,LIT,"Little Rock, AR",AR,71,1949,2005,2146,2250,0,0,552
1/1/2022 0:00,AA,3642,DFW,"Dallas/Fort Worth, TX",TX,74,LIT,"Little Rock, AR",AR,71,1030,1029,1149,1138,0,0,304
1/1/2022 0:00,AA,3644,DFW,"Dallas/Fort Worth, TX",TX,74,LIT,"Little Rock, AR",AR,71,1850,1921,2008,2055,0,0,304
1/1/2022 0:00,AA,3652,MIA,"Miami, FL",FL,33,XNA,"Fayetteville, AR",AR,71,1900,2049,2114,2245,0,0,1099
1/1/2022 0:00,AA,3759,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,1840,2037,1941,2137,0,0,181
1/1/2022 0:00,AA,3823,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,2129,2140,2227,2238,0,0,181
1/1/2022 0:00,AA,3852,MIA,"Miami, FL",FL,33,LIT,"Little Rock, AR",AR,71,1900,1859,2052,2028,0,0,941
1/1/2022 0:00,AA,4008,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,1655,1652,1756,1749,0,0,181
1/1/2022 0:00,AA,4033,CLT,"Charlotte, NC",NC,36,XNA,"Fayetteville, AR",AR,71,1626,1636,1804,1817,0,0,754
1/1/2022 0:00,AA,4079,DFW,"Dallas/Fort Worth, TX",TX,74,LIT,"Little Rock, AR",AR,71,2035,2054,2151,2226,0,0,304
1/1/2022 0:00,AA,4105,ORD,"Chicago, IL",IL,41,XNA,"Fayetteville, AR",AR,71,1745,,1944,,1,0,522
1/1/2022 0:00,AA,4139,DFW,"Dallas/Fort Worth, TX",TX,74,FSM,"Fort Smith, AR",AR,71,1227,1224,1336,1320,0,0,227
1/1/2022 0:00,AA,4148,DFW,"Dallas/Fort Worth, TX",TX,74,XNA,"Fayetteville, AR",AR,71,1646,1950,1803,2114,0,0,280
1/1/2022 0:00,AA,4202,DFW,"Dallas/Fort Worth, TX",TX,74,XNA,"Fayetteville, AR",AR,71,1801,1801,1914,1901,0,0,280
1/1/2022 0:00,AA,4215,DFW,"Dallas/Fort Worth, TX",TX,74,FSM,"Fort Smith, AR",AR,71,2230,2227,2337,2331,0,0,227
1/1/2022 0:00,AA,4228,DFW,"Dallas/Fort Worth, TX",TX,74,XNA,"Fayetteville, AR",AR,71,1452,1456,1604,1606,0,0,280
1/1/2022 0:00,AA,4340,DFW,"Dallas/Fort Worth, TX",TX,74,XNA,"Fayetteville, AR",AR,71,2229,2303,2343,49,0,0,280
1/1/2022 0:00,AA,4369,DFW,"Dallas/Fort Worth, TX",TX,74,XNA,"Fayetteville, AR",AR,71,1225,1223,1342,1324,0,0,280
1/1/2022 0:00,AA,4372,DFW,"Dallas/Fort Worth, TX",TX,74,XNA,"Fayetteville, AR",AR,71,2038,2157,2153,2343,0,0,280
1/1/2022 0:00,AA,4458,DFW,"Dallas/Fort Worth, TX",TX,74,LIT,"Little Rock, AR",AR,71,1638,1647,1754,1752,0,0,304
1/1/2022 0:00,AA,4839,LGA,"New York, NY",NY,22,XNA,"Fayetteville, AR",AR,71,1630,1629,1905,1956,0,0,1147
1/1/2022 0:00,AA,5213,DFW,"Dallas/Fort Worth, TX",TX,74,LIT,"Little Rock, AR",AR,71,2230,2255,2342,9,0,0,304
1/1/2022 0:00,AA,5356,CLT,"Charlotte, NC",NC,36,LIT,"Little Rock, AR",AR,71,1435,1432,1555,1542,0,0,640
1/1/2022 0:00,AA,5592,CLT,"Charlotte, NC",NC,36,LIT,"Little Rock, AR",AR,71,1056,1050,1215,1153,0,0,640
1/1/2022 0:00,AA,5686,CLT,"Charlotte, NC",NC,36,LIT,"Little Rock, AR",AR,71,1817,1810,1939,1923,0,0,640
1/1/2022 0:00,DL,1324,ATL,"Atlanta, GA",GA,34,LIT,"Little Rock, AR",AR,71,2252,2257,2330,2332,0,0,453
1/1/2022 0:00,DL,2077,ATL,"Atlanta, GA",GA,34,LIT,"Little Rock, AR",AR,71,1530,1527,1605,1600,0,0,453
1/1/2022 0:00,DL,2286,ATL,"Atlanta, GA",GA,34,LIT,"Little Rock, AR",AR,71,1000,1020,1038,1800,0,1,453
1/1/2022 0:00,DL,2892,ATL,"Atlanta, GA",GA,34,LIT,"Little Rock, AR",AR,71,1945,1947,2020,2022,0,0,453
1/1/2022 0:00,DL,4636,ATL,"Atlanta, GA",GA,34,XNA,"Fayetteville, AR",AR,71,1110,1105,1208,1205,0,0,589
1/1/2022 0:00,DL,5045,ATL,"Atlanta, GA",GA,34,XNA,"Fayetteville, AR",AR,71,1725,1715,1823,1812,0,0,589
1/1/2022 0:00,G4,1175,AZA,"Phoenix, AZ",AZ,81,XNA,"Fayetteville, AR",AR,71,950,945,1308,1255,0,0,1006
1/1/2022 0:00,G4,1558,PGD,"Punta Gorda, FL",FL,33,XNA,"Fayetteville, AR",AR,71,1230,,1408,,1,0,970
1/1/2022 0:00,UA,3586,EWR,"Newark, NJ",NJ,21,XNA,"Fayetteville, AR",AR,71,1856,1852,2135,2131,0,0,1131
1/1/2022 0:00,UA,4267,DEN,"Denver, CO",CO,82,LIT,"Little Rock, AR",AR,71,1330,1402,1640,1735,0,0,771
1/1/2022 0:00,UA,4297,IAH,"Houston, TX",TX,74,XNA,"Fayetteville, AR",AR,71,935,,1119,,1,0,438
1/1/2022 0:00,UA,4332,IAH,"Houston, TX",TX,74,LIT,"Little Rock, AR",AR,71,2005,2029,2137,2203,0,0,374
1/1/2022 0:00,UA,4338,DEN,"Denver, CO",CO,82,XNA,"Fayetteville, AR",AR,71,1005,,1305,,1,0,616
1/1/2022 0:00,UA,4340,IAH,"Houston, TX",TX,74,LIT,"Little Rock, AR",AR,71,1426,1428,1555,1553,0,0,374
1/1/2022 0:00,UA,4342,DEN,"Denver, CO",CO,82,XNA,"Fayetteville, AR",AR,71,2020,1236,2317,1521,0,0,616
1/1/2022 0:00,UA,4359,DEN,"Denver, CO",CO,82,LIT,"Little Rock, AR",AR,71,950,1249,1303,1727,0,0,771
1/1/2022 0:00,UA,4470,ORD,"Chicago, IL",IL,41,LIT,"Little Rock, AR",AR,71,1245,,1442,,1,0,552
1/1/2022 0:00,UA,4501,ORD,"Chicago, IL",IL,41,LIT,"Little Rock, AR",AR,71,1940,,2142,,1,0,552
1/1/2022 0:00,UA,4573,ORD,"Chicago, IL",IL,41,XNA,"Fayetteville, AR",AR,71,850,846,1054,1127,0,0,522
1/1/2022 0:00,UA,4585,ORD,"Chicago, IL",IL,41,XNA,"Fayetteville, AR",AR,71,1945,,2149,,1,0,522
1/1/2022 0:00,UA,4849,IAH,"Houston, TX",TX,74,XNA,"Fayetteville, AR",AR,71,1630,2009,1815,2149,0,0,438
1/1/2022 0:00,UA,4865,IAH,"Houston, TX",TX,74,XNA,"Fayetteville, AR",AR,71,1940,,2123,,1,0,438
1/1/2022 0:00,UA,4882,DEN,"Denver, CO",CO,82,LIT,"Little Rock, AR",AR,71,1735,,2050,,1,0,771
1/1/2022 0:00,UA,4975,IAH,"Houston, TX",TX,74,LIT,"Little Rock, AR",AR,71,1015,1219,1152,1355,0,0,374
1/1/2022 0:00,WN,1584,PHX,"Phoenix, AZ",AZ,81,LIT,"Little Rock, AR",AR,71,1410,1439,1740,1813,0,0,1136
1/1/2022 0:00,WN,2800,LAS,"Las Vegas, NV",NV,85,LIT,"Little Rock, AR",AR,71,910,922,1400,1402,0,0,1294
1/1/2022 0:00,WN,3045,ATL,"Atlanta, GA",GA,34,LIT,"Little Rock, AR",AR,71,1145,1200,1220,1235,0,0,453
1/1/2022 0:00,WN,3289,DAL,"Dallas, TX",TX,74,LIT,"Little Rock, AR",AR,71,910,908,1020,1001,0,0,296
1/1/2022 0:00,WN,3327,STL,"St. Louis, MO",MO,64,LIT,"Little Rock, AR",AR,71,2110,2126,2220,2238,0,0,296
1/1/2022 0:00,WN,3689,DAL,"Dallas, TX",TX,74,LIT,"Little Rock, AR",AR,71,1945,2023,2050,2118,0,0,296
1/2/2022 0:00,AA,3085,DFW,"Dallas/Fort Worth, TX",TX,74,FSM,"Fort Smith, AR",AR,71,1834,1830,1946,1941,0,0,227
1/2/2022 0:00,AA,3145,ORD,"Chicago, IL",IL,41,LIT,"Little Rock, AR",AR,71,1025,,1221,,1,0,552
1/2/2022 0:00,AA,3238,DFW,"Dallas/Fort Worth, TX",TX,74,LIT,"Little Rock, AR",AR,71,1230,,1354,,1,0,304
1/2/2022 0:00,AA,3509,DFW,"Dallas/Fort Worth, TX",TX,74,XNA,"Fayetteville, AR",AR,71,1900,1934,2020,2123,0,0,280
1/2/2022 0:00,AA,3561,ORD,"Chicago, IL",IL,41,LIT,"Little Rock, AR",AR,71,1730,1730,1925,1912,0,0,552
1/2/2022 0:00,AA,3627,DCA,"Washington, DC",VA,38,LIT,"Little Rock, AR",AR,71,1815,2028,2008,2225,0,0,888
1/2/2022 0:00,AA,3642,DFW,"Dallas/Fort Worth, TX",TX,74,LIT,"Little Rock, AR",AR,71,1030,1231,1149,1346,0,0,304
1/2/2022 0:00,AA,3644,DFW,"Dallas/Fort Worth, TX",TX,74,LIT,"Little Rock, AR",AR,71,1850,1913,2008,2039,0,0,304
1/2/2022 0:00,AA,3759,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,1840,1844,1941,1938,0,0,181
1/2/2022 0:00,AA,3793,ORD,"Chicago, IL",IL,41,XNA,"Fayetteville, AR",AR,71,800,,957,,1,0,522
1/2/2022 0:00,AA,3823,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,2129,2136,2227,2232,0,0,181
1/2/2022 0:00,AA,3850,DFW,"Dallas/Fort Worth, TX",TX,74,LIT,"Little Rock, AR",AR,71,830,828,944,935,0,0,304
1/2/2022 0:00,AA,3875,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,855,849,1004,946,0,0,181
1/2/2022 0:00,AA,3927,CLT,"Charlotte, NC",NC,36,XNA,"Fayetteville, AR",AR,71,1135,1313,1318,1442,0,0,754
1/2/2022 0:00,AA,3992,DFW,"Dallas/Fort Worth, TX",TX,74,XNA,"Fayetteville, AR",AR,71,1030,1053,1148,1204,0,0,280
1/2/2022 0:00,AA,4008,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,1655,1713,1756,1801,0,0,181
1/2/2022 0:00,AA,4033,CLT,"Charlotte, NC",NC,36,XNA,"Fayetteville, AR",AR,71,1626,1738,1804,1855,0,0,754
1/2/2022 0:00,AA,4079,DFW,"Dallas/Fort Worth, TX",TX,74,LIT,"Little Rock, AR",AR,71,2035,2045,2151,2158,0,0,304
1/2/2022 0:00,AA,4087,CLT,"Charlotte, NC",NC,36,XNA,"Fayetteville, AR",AR,71,1815,1924,1951,2057,0,0,754
1/2/2022 0:00,AA,4105,ORD,"Chicago, IL",IL,41,XNA,"Fayetteville, AR",AR,71,1745,1807,1944,2011,0,0,522
1/2/2022 0:00,AA,4139,DFW,"Dallas/Fort Worth, TX",TX,74,FSM,"Fort Smith, AR",AR,71,1227,1223,1336,1335,0,0,227
1/2/2022 0:00,AA,4148,DFW,"Dallas/Fort Worth, TX",TX,74,XNA,"Fayetteville, AR",AR,71,1646,1754,1803,1941,0,0,280
1/2/2022 0:00,AA,4175,DFW,"Dallas/Fort Worth, TX",TX,74,LIT,"Little Rock, AR",AR,71,1437,1637,1553,1752,0,0,304
1/2/2022 0:00,AA,4202,DFW,"Dallas/Fort Worth, TX",TX,74,XNA,"Fayetteville, AR",AR,71,1801,1852,1914,2019,0,0,280
1/2/2022 0:00,AA,4215,DFW,"Dallas/Fort Worth, TX",TX,74,FSM,"Fort Smith, AR",AR,71,2230,2235,2337,2342,0,0,227
1/2/2022 0:00,AA,4228,DFW,"Dallas/Fort Worth, TX",TX,74,XNA,"Fayetteville, AR",AR,71,1452,1739,1604,1851,0,0,280
1/2/2022 0:00,AA,4340,DFW,"Dallas/Fort Worth, TX",TX,74,XNA,"Fayetteville, AR",AR,71,2229,2252,2343,8,0,0,280
1/2/2022 0:00,AA,4369,DFW,"Dallas/Fort Worth, TX",TX,74,XNA,"Fayetteville, AR",AR,71,1220,1355,1336,1518,0,0,280
1/2/2022 0:00,AA,4372,DFW,"Dallas/Fort Worth, TX",TX,74,XNA,"Fayetteville, AR",AR,71,2038,2034,2153,2147,0,0,280
1/2/2022 0:00,AA,4416,DFW,"Dallas/Fort Worth, TX",TX,74,FSM,"Fort Smith, AR",AR,71,855,854,1011,1017,0,0,227
1/2/2022 0:00,AA,4458,DFW,"Dallas/Fort Worth, TX",TX,74,LIT,"Little Rock, AR",AR,71,1638,1644,1754,1829,0,0,304
1/2/2022 0:00,AA,4494,DCA,"Washington, DC",VA,38,XNA,"Fayetteville, AR",AR,71,1944,1948,2140,2137,0,0,963
1/2/2022 0:00,AA,4799,LGA,"New York, NY",NY,22,XNA,"Fayetteville, AR",AR,71,2029,2047,2311,2309,0,0,1147
1/2/2022 0:00,AA,4839,LGA,"New York, NY",NY,22,XNA,"Fayetteville, AR",AR,71,831,837,1110,1123,0,0,1147
1/2/2022 0:00,AA,5213,DFW,"Dallas/Fort Worth, TX",TX,74,LIT,"Little Rock, AR",AR,71,2230,2315,2342,27,0,0,304
1/2/2022 0:00,AA,5356,CLT,"Charlotte, NC",NC,36,LIT,"Little Rock, AR",AR,71,1435,1427,1555,1547,0,0,640
1/2/2022 0:00,AA,5592,CLT,"Charlotte, NC",NC,36,LIT,"Little Rock, AR",AR,71,1056,1151,1215,1318,0,0,640
1/2/2022 0:00,AA,5686,CLT,"Charlotte, NC",NC,36,LIT,"Little Rock, AR",AR,71,1817,1833,1939,2017,0,0,640
1/2/2022 0:00,AA,6337,LAX,"Los Angeles, CA",CA,91,XNA,"Fayetteville, AR",AR,71,847,907,1406,1432,0,0,1371
1/2/2022 0:00,DL,1324,ATL,"Atlanta, GA",GA,34,LIT,"Little Rock, AR",AR,71,2255,2314,2334,2340,0,0,453
1/2/2022 0:00,DL,2077,ATL,"Atlanta, GA",GA,34,LIT,"Little Rock, AR",AR,71,1559,1614,1635,1649,0,0,453
1/2/2022 0:00,DL,2152,ATL,"Atlanta, GA",GA,34,LIT,"Little Rock, AR",AR,71,1920,2045,1957,2119,0,0,453
1/2/2022 0:00,DL,2365,ATL,"Atlanta, GA",GA,34,LIT,"Little Rock, AR",AR,71,856,849,933,926,0,0,453
1/2/2022 0:00,DL,2388,ATL,"Atlanta, GA",GA,34,LIT,"Little Rock, AR",AR,71,1116,1121,1153,1157,0,0,453
1/2/2022 0:00,DL,4636,ATL,"Atlanta, GA",GA,34,XNA,"Fayetteville, AR",AR,71,1005,1003,1104,1100,0,0,589
1/2/2022 0:00,DL,4878,ATL,"Atlanta, GA",GA,34,XNA,"Fayetteville, AR",AR,71,1349,,1448,,1,0,589
1/2/2022 0:00,DL,5045,ATL,"Atlanta, GA",GA,34,XNA,"Fayetteville, AR",AR,71,1725,1749,1824,1835,0,0,589
1/2/2022 0:00,DL,5180,ATL,"Atlanta, GA",GA,34,XNA,"Fayetteville, AR",AR,71,2250,2247,2351,2333,0,0,589
1/2/2022 0:00,F9,1115,MCO,"Orlando, FL",FL,33,LIT,"Little Rock, AR",AR,71,822,900,942,1027,0,0,776
1/2/2022 0:00,F9,1998,LAS,"Las Vegas, NV",NV,85,LIT,"Little Rock, AR",AR,71,700,658,1150,1153,0,0,1294
1/2/2022 0:00,F9,430,DEN,"Denver, CO",CO,82,LIT,"Little Rock, AR",AR,71,1105,1148,1411,1443,0,0,771
1/2/2022 0:00,F9,718,DEN,"Denver, CO",CO,82,XNA,"Fayetteville, AR",AR,71,1155,,1443,,1,0,616
1/2/2022 0:00,G4,2260,SFB,"Sanford, FL",FL,33,LIT,"Little Rock, AR",AR,71,1235,1226,1353,1341,0,0,765
1/2/2022 0:00,G4,2382,SFB,"Sanford, FL",FL,33,XNA,"Fayetteville, AR",AR,71,1817,1858,1952,2029,0,0,920
1/2/2022 0:00,UA,3586,EWR,"Newark, NJ",NJ,21,XNA,"Fayetteville, AR",AR,71,1825,1831,2104,2110,0,0,1131
1/2/2022 0:00,UA,4267,DEN,"Denver, CO",CO,82,LIT,"Little Rock, AR",AR,71,1330,1846,1640,2148,0,0,771
1/2/2022 0:00,UA,4297,IAH,"Houston, TX",TX,74,XNA,"Fayetteville, AR",AR,71,935,926,1119,1118,0,0,438
1/2/2022 0:00,UA,4332,IAH,"Houston, TX",TX,74,LIT,"Little Rock, AR",AR,71,2005,,2137,,1,0,374
1/2/2022 0:00,UA,4338,DEN,"Denver, CO",CO,82,XNA,"Fayetteville, AR",AR,71,1005,1011,1305,1315,0,0,616
1/2/2022 0:00,UA,4340,IAH,"Houston, TX",TX,74,LIT,"Little Rock, AR",AR,71,1426,1423,1555,1605,0,0,374
1/2/2022 0:00,UA,4342,DEN,"Denver, CO",CO,82,XNA,"Fayetteville, AR",AR,71,2020,2050,2317,2348,0,0,616
1/2/2022 0:00,UA,4359,DEN,"Denver, CO",CO,82,LIT,"Little Rock, AR",AR,71,950,1111,1303,1432,0,0,771
1/2/2022 0:00,UA,4470,ORD,"Chicago, IL",IL,41,LIT,"Little Rock, AR",AR,71,1245,1325,1442,1530,0,0,552
1/2/2022 0:00,UA,4501,ORD,"Chicago, IL",IL,41,LIT,"Little Rock, AR",AR,71,1940,1950,2142,2123,0,0,552
1/2/2022 0:00,UA,4573,ORD,"Chicago, IL",IL,41,XNA,"Fayetteville, AR",AR,71,850,,1054,,1,0,522
1/2/2022 0:00,UA,4585,ORD,"Chicago, IL",IL,41,XNA,"Fayetteville, AR",AR,71,1945,2026,2149,2214,0,0,522
1/2/2022 0:00,UA,4849,IAH,"Houston, TX",TX,74,XNA,"Fayetteville, AR",AR,71,1630,1756,1815,1945,0,0,438
1/2/2022 0:00,UA,4865,IAH,"Houston, TX",TX,74,XNA,"Fayetteville, AR",AR,71,1940,1948,2123,2135,0,0,438
1/2/2022 0:00,UA,4882,DEN,"Denver, CO",CO,82,LIT,"Little Rock, AR",AR,71,1735,1810,2050,2112,0,0,771
1/2/2022 0:00,UA,4975,IAH,"Houston, TX",TX,74,LIT,"Little Rock, AR",AR,71,1015,1012,1152,1119,0,0,374
1/2/2022 0:00,WN,1173,ATL,"Atlanta, GA",GA,34,LIT,"Little Rock, AR",AR,71,1205,1204,1240,1235,0,0,453
1/2/2022 0:00,WN,1693,DAL,"Dallas, TX",TX,74,LIT,"Little Rock, AR",AR,71,2255,47,5,141,0,0,296
1/2/2022 0:00,WN,1962,STL,"St. Louis, MO",MO,64,LIT,"Little Rock, AR",AR,71,2140,,2250,,1,0,296
1/2/2022 0:00,WN,2061,PHX,"Phoenix, AZ",AZ,81,LIT,"Little Rock, AR",AR,71,1345,1359,1715,1736,0,0,1136
1/2/2022 0:00,WN,2345,DEN,"Denver, CO",CO,82,LIT,"Little Rock, AR",AR,71,1315,1418,1610,1708,0,0,771
1/2/2022 0:00,WN,661,DAL,"Dallas, TX",TX,74,LIT,"Little Rock, AR",AR,71,955,1021,1105,1114,0,0,296
1/3/2022 0:00,AA,3014,LAX,"Los Angeles, CA",CA,91,XNA,"Fayetteville, AR",AR,71,847,840,1406,1355,0,0,1371
1/3/2022 0:00,AA,3085,DFW,"Dallas/Fort Worth, TX",TX,74,FSM,"Fort Smith, AR",AR,71,1834,1840,1946,1946,0,0,227
1/3/2022 0:00,AA,3145,ORD,"Chicago, IL",IL,41,LIT,"Little Rock, AR",AR,71,1025,1021,1221,1210,0,0,552
1/3/2022 0:00,AA,3154,DFW,"Dallas/Fort Worth, TX",TX,74,LIT,"Little Rock, AR",AR,71,830,827,950,943,0,0,304
1/3/2022 0:00,AA,3238,DFW,"Dallas/Fort Worth, TX",TX,74,LIT,"Little Rock, AR",AR,71,1230,1509,1354,1620,0,0,304
1/3/2022 0:00,AA,3509,DFW,"Dallas/Fort Worth, TX",TX,74,XNA,"Fayetteville, AR",AR,71,1900,1857,2020,2020,0,0,280
1/3/2022 0:00,AA,3561,ORD,"Chicago, IL",IL,41,LIT,"Little Rock, AR",AR,71,1730,1730,1925,1909,0,0,552
1/3/2022 0:00,AA,3627,DCA,"Washington, DC",VA,38,LIT,"Little Rock, AR",AR,71,1815,,2008,,1,0,888
1/3/2022 0:00,AA,3642,DFW,"Dallas/Fort Worth, TX",TX,74,LIT,"Little Rock, AR",AR,71,1030,1030,1149,1132,0,0,304
1/3/2022 0:00,AA,3644,DFW,"Dallas/Fort Worth, TX",TX,74,LIT,"Little Rock, AR",AR,71,1850,1903,2008,2024,0,0,304
1/3/2022 0:00,AA,3759,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,1840,1837,1941,1933,0,0,181
1/3/2022 0:00,AA,3793,ORD,"Chicago, IL",IL,41,XNA,"Fayetteville, AR",AR,71,800,817,957,1040,0,0,522
1/3/2022 0:00,AA,3823,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,2129,2128,2227,2223,0,0,181
1/3/2022 0:00,AA,3875,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,855,850,1004,949,0,0,181
1/3/2022 0:00,AA,3927,CLT,"Charlotte, NC",NC,36,XNA,"Fayetteville, AR",AR,71,1135,1134,1318,1247,0,0,754
1/3/2022 0:00,AA,3992,DFW,"Dallas/Fort Worth, TX",TX,74,XNA,"Fayetteville, AR",AR,71,1030,1042,1148,1206,0,0,280
1/3/2022 0:00,AA,4008,DFW,"Dallas/Fort Worth, TX",TX,74,TXK,"Texarkana, AR",AR,71,1655,1657,1756,1745,0,0,181
1/3/2022 0:00,AA,4033,CLT,"Charlotte, NC",NC,36,XNA,"Fayetteville, AR",AR,71,1626,1720,1804,1827,0,0,754
1/3/2022 0:00,AA,4079,DFW,"Dallas/Fort Worth, TX",TX,74,LIT,"Little Rock, AR",AR,71,2035,2115,2151,2218,0,0,304
1/3/2022 0:00,AA,4087,CLT,"Charlotte, NC",NC,36,XNA,"Fayetteville, AR",AR,71,1815,1821,1951,1941,0,0,754
1/3/2022 0:00,AA,4105,ORD,"Chicago, IL",IL,41,XNA,"Fayetteville, AR",AR,71,1745,1746,1944,1928,0,0,522
1/3/2022 0:00,AA,4139,DFW,"Dallas/Fort Worth, TX",TX,74,FSM,"Fort Smith, AR",AR,71,1227,1225,1336,1318,0,0,227
1/3/2022 0:00,AA,4148,DFW,"Dallas/Fort Worth, TX",TX,74,XNA,"Fayetteville, AR",AR,71,1646,1645,1803,1752,0,0,280
1/3/2022 0:00,AA,4175,DFW,"Dallas/Fort Worth, TX",TX,74,LIT,"Little Rock, AR",AR,71,1437,1440,1553,1549,0,0,304
1/3/2022 0:00,AA,4202,DFW,"Dallas/Fort Worth, TX",TX,74,XNA,"Fayetteville, AR",AR,71,1801,1847,1914,1958,0,0,280
1/3/2022 0:00,AA,4215,DFW,"Dallas/Fort Worth, TX",TX,74,FSM,"Fort Smith, AR",AR,71,2230,2227,2337,2326,0,0,227
1/3/2022 0:00,AA,4228,DFW,"Dallas/Fort Worth, TX",TX,74,XNA,"Fayetteville, AR",AR,71,1452,1458,1604,1605,0,0,280
1/3/2022 0:00,AA,4340,DFW,"Dallas/Fort Worth, TX",TX,74,XNA,"Fayetteville, AR",AR,71,2229,2233,2343,2358,0,0,280
1/3/2022 0:00,AA,4369,DFW,"Dallas/Fort Worth, TX",TX,74,XNA,"Fayetteville, AR",AR,71,1220,1220,1336,1325,0,0,280
1/3/2022 0:00,AA,4372,DFW,"Dallas/Fort Worth, TX",TX,74,XNA,"Fayetteville, AR",AR,71,2038,2036,2153,2143,0,0,280
1/3/2022 0:00,AA,4416,DFW,"Dallas/Fort Worth, TX",TX,74,FSM,"Fort Smith, AR",AR,71,855,916,1011,1013,0,0,227
1/3/2022 0:00,AA,4458,DFW,"Dallas/Fort Worth, TX",TX,74,LIT,"Little Rock, AR",AR,71,1638,1635,1754,1737,0,0,304
1/3/2022 0:00,AA,4494,DCA,"Washington, DC",VA,38,XNA,"Fayetteville, AR",AR,71,1944,,2140,,1,0,963
