FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1023,MIA,"Miami, FL",FL,33,DTW,"Detroit, MI",MI,43,2114,2125,29,13,0,0,1145
1/1/2022 0:00,AA,1308,PHX,"Phoenix, AZ",AZ,81,DTW,"Detroit, MI",MI,43,1712,1705,2300,2227,0,0,1671
1/1/2022 0:00,AA,1339,DFW,"Dallas/Fort Worth, TX",TX,74,DTW,"Detroit, MI",MI,43,1517,1517,1850,1857,0,0,986
1/1/2022 0:00,AA,1351,MIA,"Miami, FL",FL,33,DTW,"Detroit, MI",MI,43,830,,1136,,1,0,1145
1/1/2022 0:00,AA,1889,PHX,"Phoenix, AZ",AZ,81,GRR,"Grand Rapids, MI",MI,43,1035,1101,1612,1659,0,0,1574
1/1/2022 0:00,AA,2038,CLT,"Charlotte, NC",NC,36,DTW,"Detroit, MI",MI,43,1658,1707,1853,1845,0,0,500
1/1/2022 0:00,AA,2508,DFW,"Dallas/Fort Worth, TX",TX,74,DTW,"Detroit, MI",MI,43,1839,1835,2215,2147,0,0,986
1/1/2022 0:00,AA,2966,DFW,"Dallas/Fort Worth, TX",TX,74,GRR,"Grand Rapids, MI",MI,43,2012,,2345,,1,0,931
1/1/2022 0:00,AA,3083,ORD,"Chicago, IL",IL,41,TVC,"Traverse City, MI",MI,43,1520,,1732,,1,0,224
1/1/2022 0:00,AA,3086,ORD,"Chicago, IL",IL,41,DTW,"Detroit, MI",MI,43,1735,1733,2004,2031,0,0,235
1/1/2022 0:00,AA,3093,ORD,"Chicago, IL",IL,41,DTW,"Detroit, MI",MI,43,1500,,1729,,1,0,235
1/1/2022 0:00,AA,3195,ORD,"Chicago, IL",IL,41,DTW,"Detroit, MI",MI,43,825,819,1055,1042,0,0,235
1/1/2022 0:00,AA,3575,DFW,"Dallas/Fort Worth, TX",TX,74,GRR,"Grand Rapids, MI",MI,43,1532,1529,1902,2011,0,0,931
1/1/2022 0:00,AA,3689,ORD,"Chicago, IL",IL,41,MQT,"Marquette, MI",MI,43,1250,1301,1521,1602,0,0,303
1/1/2022 0:00,AA,3735,ORD,"Chicago, IL",IL,41,AZO,"Kalamazoo, MI",MI,43,1745,,1939,,1,0,122
1/1/2022 0:00,AA,3743,MIA,"Miami, FL",FL,33,DTW,"Detroit, MI",MI,43,1435,1433,1744,1730,0,0,1145
1/1/2022 0:00,AA,3840,ORD,"Chicago, IL",IL,41,GRR,"Grand Rapids, MI",MI,43,1341,,1544,,1,0,137
1/1/2022 0:00,AA,3932,MIA,"Miami, FL",FL,33,GRR,"Grand Rapids, MI",MI,43,1935,2106,2254,26,0,0,1214
1/1/2022 0:00,AA,4005,ORD,"Chicago, IL",IL,41,AZO,"Kalamazoo, MI",MI,43,1330,1328,1523,1554,0,0,122
1/1/2022 0:00,AA,4025,ORD,"Chicago, IL",IL,41,MQT,"Marquette, MI",MI,43,1745,,2008,,1,0,303
1/1/2022 0:00,AA,4028,ORD,"Chicago, IL",IL,41,TVC,"Traverse City, MI",MI,43,1330,1326,1539,1553,0,0,224
1/1/2022 0:00,AA,4082,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,1341,1344,1541,1650,0,0,179
1/1/2022 0:00,AA,4304,ORD,"Chicago, IL",IL,41,GRR,"Grand Rapids, MI",MI,43,1735,,1941,,1,0,137
1/1/2022 0:00,AA,4342,ORD,"Chicago, IL",IL,41,FNT,"Flint, MI",MI,43,1541,,1749,,1,0,223
1/1/2022 0:00,AA,4406,ORD,"Chicago, IL",IL,41,LAN,"Lansing, MI",MI,43,1730,,1930,,1,0,179
1/1/2022 0:00,AA,441,CLT,"Charlotte, NC",NC,36,DTW,"Detroit, MI",MI,43,2245,2253,41,21,0,0,500
1/1/2022 0:00,AA,4715,LGA,"New York, NY",NY,22,DTW,"Detroit, MI",MI,43,1959,1956,2221,2157,0,0,502
1/1/2022 0:00,AA,4938,LGA,"New York, NY",NY,22,DTW,"Detroit, MI",MI,43,1310,1307,1518,1508,0,0,502
1/1/2022 0:00,AA,4944,LGA,"New York, NY",NY,22,DTW,"Detroit, MI",MI,43,1045,1037,1253,1240,0,0,502
1/1/2022 0:00,AA,4995,LGA,"New York, NY",NY,22,DTW,"Detroit, MI",MI,43,1600,,1809,,1,0,502
1/1/2022 0:00,AA,5015,DCA,"Washington, DC",VA,38,DTW,"Detroit, MI",MI,43,1459,1451,1700,1632,0,0,405
1/1/2022 0:00,AA,5039,DCA,"Washington, DC",VA,38,GRR,"Grand Rapids, MI",MI,43,1001,1031,1214,1230,0,0,524
1/1/2022 0:00,AA,5119,PHL,"Philadelphia, PA",PA,23,DTW,"Detroit, MI",MI,43,2022,2058,2231,2352,0,0,453
1/1/2022 0:00,AA,5127,CLT,"Charlotte, NC",NC,36,FNT,"Flint, MI",MI,43,1453,1452,1705,1704,0,0,555
1/1/2022 0:00,AA,5286,PHL,"Philadelphia, PA",PA,23,DTW,"Detroit, MI",MI,43,1530,1621,1726,1828,0,0,453
1/1/2022 0:00,AA,5307,CLT,"Charlotte, NC",NC,36,DTW,"Detroit, MI",MI,43,1108,1104,1309,1248,0,0,500
1/1/2022 0:00,AA,5421,DCA,"Washington, DC",VA,38,DTW,"Detroit, MI",MI,43,1005,1054,1154,1257,0,0,405
1/1/2022 0:00,AA,5503,CLT,"Charlotte, NC",NC,36,GRR,"Grand Rapids, MI",MI,43,1252,1247,1458,1508,0,0,583
1/1/2022 0:00,AA,5630,CLT,"Charlotte, NC",NC,36,FNT,"Flint, MI",MI,43,2020,2117,2224,2314,0,0,555
1/1/2022 0:00,AA,5640,DCA,"Washington, DC",VA,38,LAN,"Lansing, MI",MI,43,1319,1341,1510,1530,0,0,479
1/1/2022 0:00,AA,5712,DCA,"Washington, DC",VA,38,GRR,"Grand Rapids, MI",MI,43,1359,1358,1608,1601,0,0,524
1/1/2022 0:00,AA,6008,PHL,"Philadelphia, PA",PA,23,DTW,"Detroit, MI",MI,43,1005,1002,1229,1201,0,0,453
1/1/2022 0:00,AA,6101,ORD,"Chicago, IL",IL,41,GRR,"Grand Rapids, MI",MI,43,1014,,1224,,1,0,137
1/1/2022 0:00,AA,660,CLT,"Charlotte, NC",NC,36,DTW,"Detroit, MI",MI,43,2054,2054,2252,2235,0,0,500
1/1/2022 0:00,AA,676,CLT,"Charlotte, NC",NC,36,GRR,"Grand Rapids, MI",MI,43,2124,2125,2322,2339,0,0,583
1/1/2022 0:00,AS,792,SEA,"Seattle, WA",WA,93,DTW,"Detroit, MI",MI,43,1015,1025,1735,1735,0,0,1927
1/1/2022 0:00,B6,1237,BOS,"Boston, MA",MA,13,DTW,"Detroit, MI",MI,43,1635,1713,1855,1939,0,0,632
