FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1039,ORD,"Chicago, IL",IL,41,MSP,"Minneapolis, MN",MN,63,1800,,1936,,1,0,334
1/1/2022 0:00,AA,2041,CLT,"Charlotte, NC",NC,36,MSP,"Minneapolis, MN",MN,63,2054,2054,2249,2234,0,0,930
1/1/2022 0:00,AA,2104,DFW,"Dallas/Fort Worth, TX",TX,74,MSP,"Minneapolis, MN",MN,63,1455,1503,1715,1708,0,0,852
1/1/2022 0:00,AA,2418,DFW,"Dallas/Fort Worth, TX",TX,74,MSP,"Minneapolis, MN",MN,63,1145,1150,1403,1347,0,0,852
1/1/2022 0:00,AA,2802,CLT,"Charlotte, NC",NC,36,MSP,"Minneapolis, MN",MN,63,1506,1511,1700,1655,0,0,930
1/1/2022 0:00,AA,2806,DFW,"Dallas/Fort Worth, TX",TX,74,MSP,"Minneapolis, MN",MN,63,2103,2127,2327,2332,0,0,852
1/1/2022 0:00,AA,2979,ORD,"Chicago, IL",IL,41,MSP,"Minneapolis, MN",MN,63,1232,1229,1415,1415,0,0,334
1/1/2022 0:00,AA,4170,DCA,"Washington, DC",VA,38,MSP,"Minneapolis, MN",MN,63,957,1041,1154,1221,0,0,931
1/1/2022 0:00,AA,4335,ORD,"Chicago, IL",IL,41,RST,"Rochester, MN",MN,63,1725,,1844,,1,0,268
1/1/2022 0:00,AA,4513,LGA,"New York, NY",NY,22,MSP,"Minneapolis, MN",MN,63,835,904,1054,1136,0,0,1020
1/1/2022 0:00,AA,4788,LGA,"New York, NY",NY,22,MSP,"Minneapolis, MN",MN,63,1240,1227,1456,1459,0,0,1020
1/1/2022 0:00,AA,5358,PHL,"Philadelphia, PA",PA,23,MSP,"Minneapolis, MN",MN,63,1050,1229,1256,1429,0,0,980
1/1/2022 0:00,AA,998,MIA,"Miami, FL",FL,33,MSP,"Minneapolis, MN",MN,63,2200,2200,52,36,0,0,1501
1/1/2022 0:00,AS,1338,SEA,"Seattle, WA",WA,93,MSP,"Minneapolis, MN",MN,63,812,,1332,,1,0,1399
1/1/2022 0:00,B6,617,JFK,"New York, NY",NY,22,MSP,"Minneapolis, MN",MN,63,2030,2210,2247,34,0,0,1029
1/1/2022 0:00,B6,835,BOS,"Boston, MA",MA,13,MSP,"Minneapolis, MN",MN,63,857,,1131,,1,0,1124
1/1/2022 0:00,DL,1022,GEG,"Spokane, WA",WA,93,MSP,"Minneapolis, MN",MN,63,700,815,1159,1253,0,0,1175
1/1/2022 0:00,DL,1056,LAX,"Los Angeles, CA",CA,91,MSP,"Minneapolis, MN",MN,63,1312,1310,1844,1849,0,0,1535
1/1/2022 0:00,DL,1065,LAX,"Los Angeles, CA",CA,91,MSP,"Minneapolis, MN",MN,63,1110,1111,1644,1647,0,0,1535
1/1/2022 0:00,DL,1070,SLC,"Salt Lake City, UT",UT,87,MSP,"Minneapolis, MN",MN,63,1112,1135,1445,1448,0,0,991
1/1/2022 0:00,DL,1099,LAX,"Los Angeles, CA",CA,91,MSP,"Minneapolis, MN",MN,63,55,119,633,643,0,0,1535
1/1/2022 0:00,DL,1103,SFO,"San Francisco, CA",CA,91,MSP,"Minneapolis, MN",MN,63,1235,1231,1814,1829,0,0,1589
1/1/2022 0:00,DL,1115,SLC,"Salt Lake City, UT",UT,87,MSP,"Minneapolis, MN",MN,63,1535,1558,1906,1941,0,0,991
1/1/2022 0:00,DL,1132,SMF,"Sacramento, CA",CA,91,MSP,"Minneapolis, MN",MN,63,610,607,1139,1128,0,0,1517
1/1/2022 0:00,DL,1195,SAN,"San Diego, CA",CA,91,MSP,"Minneapolis, MN",MN,63,1153,1147,1727,1713,0,0,1532
1/1/2022 0:00,DL,1206,RSW,"Fort Myers, FL",FL,33,MSP,"Minneapolis, MN",MN,63,1540,1548,1816,1813,0,0,1416
1/1/2022 0:00,DL,1210,MKE,"Milwaukee, WI",WI,45,MSP,"Minneapolis, MN",MN,63,700,658,820,821,0,0,297
1/1/2022 0:00,DL,1231,MIA,"Miami, FL",FL,33,MSP,"Minneapolis, MN",MN,63,1435,1506,1729,1758,0,0,1501
1/1/2022 0:00,DL,1253,BZN,"Bozeman, MT",MT,84,MSP,"Minneapolis, MN",MN,63,829,824,1150,1148,0,0,874
1/1/2022 0:00,DL,1263,MCO,"Orlando, FL",FL,33,MSP,"Minneapolis, MN",MN,63,1125,,1358,,1,0,1310
1/1/2022 0:00,DL,1293,RSW,"Fort Myers, FL",FL,33,MSP,"Minneapolis, MN",MN,63,1335,1333,1613,1557,0,0,1416
1/1/2022 0:00,DL,1319,MCO,"Orlando, FL",FL,33,MSP,"Minneapolis, MN",MN,63,725,721,1002,942,0,0,1310
1/1/2022 0:00,DL,1320,FCA,"Kalispell, MT",MT,84,MSP,"Minneapolis, MN",MN,63,805,807,1148,1150,0,0,1026
1/1/2022 0:00,DL,1333,FAR,"Fargo, ND",ND,66,MSP,"Minneapolis, MN",MN,63,540,603,659,704,0,0,223
1/1/2022 0:00,DL,1393,PHX,"Phoenix, AZ",AZ,81,MSP,"Minneapolis, MN",MN,63,1311,1317,1717,1703,0,0,1276
1/1/2022 0:00,DL,1405,PHX,"Phoenix, AZ",AZ,81,MSP,"Minneapolis, MN",MN,63,725,724,1131,1114,0,0,1276
1/1/2022 0:00,DL,1422,BWI,"Baltimore, MD",MD,35,MSP,"Minneapolis, MN",MN,63,600,558,748,807,0,0,936
