FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1092,DFW,"Dallas/Fort Worth, TX",TX,74,TUL,"Tulsa, OK",OK,73,1235,1228,1344,1328,0,0,237
1/1/2022 0:00,AA,1458,DFW,"Dallas/Fort Worth, TX",TX,74,OKC,"Oklahoma City, OK",OK,73,2105,2108,2208,2213,0,0,175
1/1/2022 0:00,AA,2400,DFW,"Dallas/Fort Worth, TX",TX,74,TUL,"Tulsa, OK",OK,73,1851,1847,2002,2011,0,0,237
1/1/2022 0:00,AA,2434,DFW,"Dallas/Fort Worth, TX",TX,74,OKC,"Oklahoma City, OK",OK,73,1247,1242,1355,1333,0,0,175
1/1/2022 0:00,AA,2439,DFW,"Dallas/Fort Worth, TX",TX,74,OKC,"Oklahoma City, OK",OK,73,1040,1040,1147,1144,0,0,175
1/1/2022 0:00,AA,2662,CLT,"Charlotte, NC",NC,36,TUL,"Tulsa, OK",OK,73,1800,1802,1933,1941,0,0,842
1/1/2022 0:00,AA,2734,DFW,"Dallas/Fort Worth, TX",TX,74,OKC,"Oklahoma City, OK",OK,73,2245,104,2347,159,0,0,175
1/1/2022 0:00,AA,3001,ORD,"Chicago, IL",IL,41,OKC,"Oklahoma City, OK",OK,73,1715,1719,1941,2118,0,0,693
1/1/2022 0:00,AA,3091,PHX,"Phoenix, AZ",AZ,81,OKC,"Oklahoma City, OK",OK,73,1650,1650,2003,1946,0,0,833
1/1/2022 0:00,AA,3119,DFW,"Dallas/Fort Worth, TX",TX,74,TUL,"Tulsa, OK",OK,73,1758,,1909,,1,0,237
1/1/2022 0:00,AA,3160,AUS,"Austin, TX",TX,74,OKC,"Oklahoma City, OK",OK,73,1630,1733,1754,1848,0,0,358
1/1/2022 0:00,AA,3252,LAX,"Los Angeles, CA",CA,91,OKC,"Oklahoma City, OK",OK,73,700,750,1159,1227,0,0,1187
1/1/2022 0:00,AA,3272,DFW,"Dallas/Fort Worth, TX",TX,74,OKC,"Oklahoma City, OK",OK,73,1437,1437,1546,1530,0,0,175
