FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1072,CLT,"Charlotte, NC",NC,36,MKE,"Milwaukee, WI",WI,45,1721,1738,1832,1836,0,0,651
1/1/2022 0:00,AA,1234,DFW,"Dallas/Fort Worth, TX",TX,74,MKE,"Milwaukee, WI",WI,45,2130,2259,2346,55,0,0,853
1/1/2022 0:00,AA,2472,DFW,"Dallas/Fort Worth, TX",TX,74,MSN,"Madison, WI",WI,45,1425,1422,1637,1633,0,0,821
1/1/2022 0:00,AA,2581,DFW,"Dallas/Fort Worth, TX",TX,74,MKE,"Milwaukee, WI",WI,45,1120,1209,1337,1358,0,0,853
1/1/2022 0:00,AA,3030,ORD,"Chicago, IL",IL,41,GRB,"Green Bay, WI",WI,45,1530,,1637,,1,0,174
1/1/2022 0:00,AA,3066,ORD,"Chicago, IL",IL,41,MKE,"Milwaukee, WI",WI,45,1510,1542,1603,1757,0,0,67
1/1/2022 0:00,AA,3157,ORD,"Chicago, IL",IL,41,GRB,"Green Bay, WI",WI,45,1255,,1409,,1,0,174
1/1/2022 0:00,AA,3541,ORD,"Chicago, IL",IL,41,CWA,"Mosinee, WI",WI,45,1735,,1845,,1,0,213
1/1/2022 0:00,AA,3574,MIA,"Miami, FL",FL,33,MKE,"Milwaukee, WI",WI,45,2123,2132,2355,2334,0,0,1258
1/1/2022 0:00,AA,3585,MIA,"Miami, FL",FL,33,MSN,"Madison, WI",WI,45,2105,2102,2341,2315,0,0,1300
1/1/2022 0:00,AA,3623,ORD,"Chicago, IL",IL,41,LSE,"La Crosse, WI",WI,45,1720,,1834,,1,0,215
1/1/2022 0:00,AA,3624,ORD,"Chicago, IL",IL,41,LSE,"La Crosse, WI",WI,45,1245,1240,1408,1408,0,0,215
1/1/2022 0:00,AA,3677,ORD,"Chicago, IL",IL,41,MSN,"Madison, WI",WI,45,925,936,1024,1037,0,0,109
1/1/2022 0:00,AA,3929,ORD,"Chicago, IL",IL,41,MSN,"Madison, WI",WI,45,1240,,1339,,1,0,109
1/1/2022 0:00,AA,4356,ORD,"Chicago, IL",IL,41,ATW,"Appleton, WI",WI,45,1540,,1643,,1,0,161
1/1/2022 0:00,AA,4478,ORD,"Chicago, IL",IL,41,CWA,"Mosinee, WI",WI,45,1340,1329,1450,1541,0,0,213
1/1/2022 0:00,AA,4709,CLT,"Charlotte, NC",NC,36,ATW,"Appleton, WI",WI,45,2104,2056,2233,2211,0,0,742
1/1/2022 0:00,AA,5069,CLT,"Charlotte, NC",NC,36,MKE,"Milwaukee, WI",WI,45,1036,1029,1149,1129,0,0,651
1/1/2022 0:00,AA,5086,CLT,"Charlotte, NC",NC,36,MSN,"Madison, WI",WI,45,1150,1140,1317,1300,0,0,708
1/1/2022 0:00,AA,5122,PHL,"Philadelphia, PA",PA,23,MKE,"Milwaukee, WI",WI,45,828,822,952,946,0,0,690
1/1/2022 0:00,AA,5170,CLT,"Charlotte, NC",NC,36,MSN,"Madison, WI",WI,45,2040,25,2207,131,0,0,708
1/1/2022 0:00,AA,5416,PHL,"Philadelphia, PA",PA,23,MSN,"Madison, WI",WI,45,958,955,1151,1134,0,0,764
1/1/2022 0:00,AA,5442,CLT,"Charlotte, NC",NC,36,MSN,"Madison, WI",WI,45,1434,1441,1557,1610,0,0,708
1/1/2022 0:00,AA,6121,PHL,"Philadelphia, PA",PA,23,MKE,"Milwaukee, WI",WI,45,2015,,2200,,1,0,690
1/1/2022 0:00,AA,667,PHX,"Phoenix, AZ",AZ,81,MKE,"Milwaukee, WI",WI,45,1940,1934,2,2358,0,0,1460
1/1/2022 0:00,AA,853,DFW,"Dallas/Fort Worth, TX",TX,74,MSN,"Madison, WI",WI,45,2045,2205,2259,14,0,0,821
1/1/2022 0:00,AA,854,PHX,"Phoenix, AZ",AZ,81,MSN,"Madison, WI",WI,45,1942,1938,2359,2352,0,0,1396
1/1/2022 0:00,AA,869,DFW,"Dallas/Fort Worth, TX",TX,74,MKE,"Milwaukee, WI",WI,45,1548,1907,1804,2112,0,0,853
1/1/2022 0:00,AS,366,SEA,"Seattle, WA",WA,93,MKE,"Milwaukee, WI",WI,45,1135,1134,1720,1714,0,0,1694
1/1/2022 0:00,DL,1516,MSP,"Minneapolis, MN",MN,63,MKE,"Milwaukee, WI",WI,45,1953,2004,2109,2113,0,0,297
1/1/2022 0:00,DL,2185,ATL,"Atlanta, GA",GA,34,MKE,"Milwaukee, WI",WI,45,1859,2007,1957,2051,0,0,669
1/1/2022 0:00,DL,2266,DTW,"Detroit, MI",MI,43,MKE,"Milwaukee, WI",WI,45,2120,2116,2130,2142,0,0,237
1/1/2022 0:00,DL,2275,MSP,"Minneapolis, MN",MN,63,MKE,"Milwaukee, WI",WI,45,1000,958,1112,1106,0,0,297
1/1/2022 0:00,DL,2446,ATL,"Atlanta, GA",GA,34,MKE,"Milwaukee, WI",WI,45,835,830,933,917,0,0,669
1/1/2022 0:00,DL,2455,ATL,"Atlanta, GA",GA,34,MKE,"Milwaukee, WI",WI,45,1510,1536,1609,1632,0,0,669
1/1/2022 0:00,DL,2524,ATL,"Atlanta, GA",GA,34,GRB,"Green Bay, WI",WI,45,1430,1426,1543,1518,0,0,774
1/1/2022 0:00,DL,2688,DTW,"Detroit, MI",MI,43,MKE,"Milwaukee, WI",WI,45,830,,844,,1,0,237
1/1/2022 0:00,DL,2699,ATL,"Atlanta, GA",GA,34,ATW,"Appleton, WI",WI,45,1437,1436,1544,1531,0,0,765
1/1/2022 0:00,DL,2793,ATL,"Atlanta, GA",GA,34,MKE,"Milwaukee, WI",WI,45,1100,1104,1155,1201,0,0,669
1/1/2022 0:00,DL,2930,ATL,"Atlanta, GA",GA,34,MKE,"Milwaukee, WI",WI,45,2257,2304,2357,2358,0,0,669
1/1/2022 0:00,DL,3608,MSP,"Minneapolis, MN",MN,63,MSN,"Madison, WI",WI,45,2130,2128,2238,2249,0,0,228
1/1/2022 0:00,DL,3618,DTW,"Detroit, MI",MI,43,ATW,"Appleton, WI",WI,45,1259,1408,1327,1429,0,0,296
1/1/2022 0:00,DL,3853,SLC,"Salt Lake City, UT",UT,87,MKE,"Milwaukee, WI",WI,45,1734,1740,2139,2139,0,0,1247
1/1/2022 0:00,DL,4079,DTW,"Detroit, MI",MI,43,MKE,"Milwaukee, WI",WI,45,1559,1635,1616,1714,0,0,237
1/1/2022 0:00,DL,4122,MSP,"Minneapolis, MN",MN,63,ATW,"Appleton, WI",WI,45,2205,2213,2317,2307,0,0,236
1/1/2022 0:00,DL,4144,MSP,"Minneapolis, MN",MN,63,MSN,"Madison, WI",WI,45,850,1127,1008,1235,0,0,228
1/1/2022 0:00,DL,4267,MSP,"Minneapolis, MN",MN,63,RHI,"Rhinelander, WI",WI,45,1106,1142,1223,1225,0,0,190
1/1/2022 0:00,DL,4279,MSP,"Minneapolis, MN",MN,63,RHI,"Rhinelander, WI",WI,45,1940,1941,2059,2027,0,0,190
1/1/2022 0:00,DL,4295,DTW,"Detroit, MI",MI,43,LSE,"La Crosse, WI",WI,45,1236,1236,1318,1302,0,0,416
1/1/2022 0:00,DL,4301,MSP,"Minneapolis, MN",MN,63,LSE,"La Crosse, WI",WI,45,1105,,1210,,1,0,119
1/1/2022 0:00,DL,4334,MSP,"Minneapolis, MN",MN,63,LSE,"La Crosse, WI",WI,45,1805,1804,1911,1920,0,0,119
1/1/2022 0:00,DL,4511,MSP,"Minneapolis, MN",MN,63,MSN,"Madison, WI",WI,45,1300,1452,1408,1554,0,0,228
1/1/2022 0:00,DL,4525,MSP,"Minneapolis, MN",MN,63,MKE,"Milwaukee, WI",WI,45,1305,1323,1429,1431,0,0,297
1/1/2022 0:00,DL,4666,LGA,"New York, NY",NY,22,MKE,"Milwaukee, WI",WI,45,1459,1703,1636,1825,0,0,738
1/1/2022 0:00,DL,4771,LGA,"New York, NY",NY,22,MKE,"Milwaukee, WI",WI,45,920,946,1104,1115,0,0,738
1/1/2022 0:00,DL,4890,MSP,"Minneapolis, MN",MN,63,ATW,"Appleton, WI",WI,45,1115,1119,1231,1257,0,0,236
1/1/2022 0:00,DL,5011,DTW,"Detroit, MI",MI,43,MSN,"Madison, WI",WI,45,1215,1212,1240,1221,0,0,311
1/1/2022 0:00,DL,5025,ATL,"Atlanta, GA",GA,34,MSN,"Madison, WI",WI,45,927,923,1029,1013,0,0,707
1/1/2022 0:00,DL,5084,DTW,"Detroit, MI",MI,43,ATW,"Appleton, WI",WI,45,2115,2121,2142,2230,0,0,296
1/1/2022 0:00,DL,5115,DTW,"Detroit, MI",MI,43,GRB,"Green Bay, WI",WI,45,1631,1631,1657,1707,0,0,287
