FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,4317,ABE,"Allentown/Bethlehem/Easton, PA",PA,23,ORD,"Chicago, IL",IL,41,1437,,1615,,1,0,654
1/1/2022 0:00,AA,5052,ABE,"Allentown/Bethlehem/Easton, PA",PA,23,CLT,"Charlotte, NC",NC,36,1138,1135,1350,1327,0,0,481
1/1/2022 0:00,AA,5600,ABE,"Allentown/Bethlehem/Easton, PA",PA,23,CLT,"Charlotte, NC",NC,36,550,546,817,734,0,0,481
1/1/2022 0:00,DL,4644,ABE,"Allentown/Bethlehem/Easton, PA",PA,23,ATL,"Atlanta, GA",GA,34,636,631,905,840,0,0,692
1/1/2022 0:00,DL,4732,ABE,"Allentown/Bethlehem/Easton, PA",PA,23,DTW,"Detroit, MI",MI,43,1015,1014,1209,1154,0,0,425
1/1/2022 0:00,DL,5430,ABE,"Allentown/Bethlehem/Easton, PA",PA,23,DTW,"Detroit, MI",MI,43,1700,,1853,,1,0,425
1/1/2022 0:00,G4,311,ABE,"Allentown/Bethlehem/Easton, PA",PA,23,SFB,"Sanford, FL",FL,33,1715,1706,1942,1932,0,0,882
1/1/2022 0:00,G4,314,ABE,"Allentown/Bethlehem/Easton, PA",PA,23,PGD,"Punta Gorda, FL",FL,33,1130,,1414,,1,0,1018
1/1/2022 0:00,G4,337,ABE,"Allentown/Bethlehem/Easton, PA",PA,23,PIE,"St. Petersburg, FL",FL,33,1215,1200,1457,1435,0,0,970
1/1/2022 0:00,G4,349,ABE,"Allentown/Bethlehem/Easton, PA",PA,23,SFB,"Sanford, FL",FL,33,1055,,1322,,1,0,882
1/1/2022 0:00,UA,3720,ABE,"Allentown/Bethlehem/Easton, PA",PA,23,ORD,"Chicago, IL",IL,41,1830,,2017,,1,0,654
