FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AS,40,ADQ,"Kodiak, AK",AK,1,ANC,"Anchorage, AK",AK,1,1540,,1635,,1,0,253
1/1/2022 0:00,AS,48,ADQ,"Kodiak, AK",AK,1,ANC,"Anchorage, AK",AK,1,700,646,756,756,0,0,253
1/1/2022 0:00,AS,998,ADQ,"Kodiak, AK",AK,1,ANC,"Anchorage, AK",AK,1,1035,,1130,,1,0,253
1/2/2022 0:00,AS,40,ADQ,"Kodiak, AK",AK,1,ANC,"Anchorage, AK",AK,1,1540,1545,1635,1654,0,0,253
1/2/2022 0:00,AS,48,ADQ,"Kodiak, AK",AK,1,ANC,"Anchorage, AK",AK,1,700,,756,,1,0,253
1/2/2022 0:00,AS,998,ADQ,"Kodiak, AK",AK,1,ANC,"Anchorage, AK",AK,1,1035,1048,1130,1147,0,0,253
1/3/2022 0:00,AS,40,ADQ,"Kodiak, AK",AK,1,ANC,"Anchorage, AK",AK,1,1540,1542,1635,1632,0,0,253
1/3/2022 0:00,AS,48,ADQ,"Kodiak, AK",AK,1,ANC,"Anchorage, AK",AK,1,700,653,756,751,0,0,253
1/3/2022 0:00,AS,998,ADQ,"Kodiak, AK",AK,1,ANC,"Anchorage, AK",AK,1,1035,1028,1130,1127,0,0,253
1/4/2022 0:00,AS,10,ADQ,"Kodiak, AK",AK,1,ANC,"Anchorage, AK",AK,1,700,838,754,932,0,0,253
1/4/2022 0:00,AS,1249,ADQ,"Kodiak, AK",AK,1,ANC,"Anchorage, AK",AK,1,1200,1152,1255,1254,0,0,253
1/5/2022 0:00,AS,10,ADQ,"Kodiak, AK",AK,1,ANC,"Anchorage, AK",AK,1,700,,754,,1,0,253
1/5/2022 0:00,AS,1249,ADQ,"Kodiak, AK",AK,1,ANC,"Anchorage, AK",AK,1,1200,1331,1255,1436,0,0,253
1/6/2022 0:00,AS,10,ADQ,"Kodiak, AK",AK,1,ANC,"Anchorage, AK",AK,1,700,,754,,1,0,253
1/6/2022 0:00,AS,1249,ADQ,"Kodiak, AK",AK,1,ANC,"Anchorage, AK",AK,1,1200,1147,1255,1305,0,0,253
1/7/2022 0:00,AS,10,ADQ,"Kodiak, AK",AK,1,ANC,"Anchorage, AK",AK,1,700,1027,754,1123,0,0,253
1/7/2022 0:00,AS,1249,ADQ,"Kodiak, AK",AK,1,ANC,"Anchorage, AK",AK,1,1200,,1255,,1,0,253
1/8/2022 0:00,AS,10,ADQ,"Kodiak, AK",AK,1,ANC,"Anchorage, AK",AK,1,700,,754,,1,0,253
1/8/2022 0:00,AS,1249,ADQ,"Kodiak, AK",AK,1,ANC,"Anchorage, AK",AK,1,1200,1239,1255,1343,0,0,253
1/9/2022 0:00,AS,10,ADQ,"Kodiak, AK",AK,1,ANC,"Anchorage, AK",AK,1,700,,754,,1,0,253
1/9/2022 0:00,AS,1249,ADQ,"Kodiak, AK",AK,1,ANC,"Anchorage, AK",AK,1,1200,,1255,,1,0,253
1/10/2022 0:00,AS,10,ADQ,"Kodiak, AK",AK,1,ANC,"Anchorage, AK",AK,1,700,1015,754,1105,0,0,253
1/10/2022 0:00,AS,1249,ADQ,"Kodiak, AK",AK,1,ANC,"Anchorage, AK",AK,1,1200,1221,1255,1339,0,0,253
1/11/2022 0:00,AS,10,ADQ,"Kodiak, AK",AK,1,ANC,"Anchorage, AK",AK,1,700,708,754,800,0,0,253
1/11/2022 0:00,AS,1249,ADQ,"Kodiak, AK",AK,1,ANC,"Anchorage, AK",AK,1,1200,1337,1255,1443,0,0,253
1/12/2022 0:00,AS,10,ADQ,"Kodiak, AK",AK,1,ANC,"Anchorage, AK",AK,1,700,637,754,748,0,0,253
1/12/2022 0:00,AS,1249,ADQ,"Kodiak, AK",AK,1,ANC,"Anchorage, AK",AK,1,1200,1144,1255,1236,0,0,253
