FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3886,AEX,"Alexandria, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1818,1902,1944,2056,0,0,285
1/1/2022 0:00,AA,4210,AEX,"Alexandria, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1041,1034,1207,1215,0,0,285
1/1/2022 0:00,AA,5631,AEX,"Alexandria, LA",LA,72,CLT,"Charlotte, NC",NC,36,700,655,1023,956,0,0,722
1/1/2022 0:00,DL,4898,AEX,"Alexandria, LA",LA,72,ATL,"Atlanta, GA",GA,34,1409,1601,1655,1831,0,0,500
1/1/2022 0:00,DL,5144,AEX,"Alexandria, LA",LA,72,ATL,"Atlanta, GA",GA,34,740,733,1022,1020,0,0,500
1/1/2022 0:00,UA,4230,AEX,"Alexandria, LA",LA,72,IAH,"Houston, TX",TX,74,1600,,1706,,1,0,190
1/1/2022 0:00,UA,4250,AEX,"Alexandria, LA",LA,72,IAH,"Houston, TX",TX,74,700,657,812,806,0,0,190
1/2/2022 0:00,AA,3849,AEX,"Alexandria, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,600,558,727,727,0,0,285
1/2/2022 0:00,AA,3886,AEX,"Alexandria, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1818,1824,1944,1951,0,0,285
1/2/2022 0:00,AA,4210,AEX,"Alexandria, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1041,1049,1207,1202,0,0,285
1/2/2022 0:00,AA,5631,AEX,"Alexandria, LA",LA,72,CLT,"Charlotte, NC",NC,36,700,721,1023,1017,0,0,722
1/2/2022 0:00,DL,4898,AEX,"Alexandria, LA",LA,72,ATL,"Atlanta, GA",GA,34,1419,1616,1705,1912,0,0,500
1/2/2022 0:00,DL,5144,AEX,"Alexandria, LA",LA,72,ATL,"Atlanta, GA",GA,34,740,735,1023,1009,0,0,500
1/2/2022 0:00,UA,4230,AEX,"Alexandria, LA",LA,72,IAH,"Houston, TX",TX,74,1600,,1706,,1,0,190
1/2/2022 0:00,UA,4250,AEX,"Alexandria, LA",LA,72,IAH,"Houston, TX",TX,74,700,655,812,758,0,0,190
1/3/2022 0:00,AA,3849,AEX,"Alexandria, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,600,559,727,731,0,0,285
1/3/2022 0:00,AA,3886,AEX,"Alexandria, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1818,1822,1944,1942,0,0,285
1/3/2022 0:00,AA,4210,AEX,"Alexandria, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1041,1045,1207,1216,0,0,285
1/3/2022 0:00,AA,5631,AEX,"Alexandria, LA",LA,72,CLT,"Charlotte, NC",NC,36,700,657,1023,1019,0,0,722
1/3/2022 0:00,DL,4898,AEX,"Alexandria, LA",LA,72,ATL,"Atlanta, GA",GA,34,1419,1434,1705,1711,0,0,500
1/3/2022 0:00,DL,5144,AEX,"Alexandria, LA",LA,72,ATL,"Atlanta, GA",GA,34,740,,1023,,1,0,500
1/3/2022 0:00,UA,4230,AEX,"Alexandria, LA",LA,72,IAH,"Houston, TX",TX,74,1600,1611,1706,1704,0,0,190
1/3/2022 0:00,UA,4250,AEX,"Alexandria, LA",LA,72,IAH,"Houston, TX",TX,74,700,809,812,918,0,0,190
1/4/2022 0:00,AA,3849,AEX,"Alexandria, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,600,556,731,737,0,0,285
1/4/2022 0:00,AA,3886,AEX,"Alexandria, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1820,1824,1949,2000,0,0,285
1/4/2022 0:00,AA,4210,AEX,"Alexandria, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1020,1028,1149,1154,0,0,285
1/4/2022 0:00,AA,5631,AEX,"Alexandria, LA",LA,72,CLT,"Charlotte, NC",NC,36,1632,1627,1940,1931,0,0,722
1/4/2022 0:00,DL,4898,AEX,"Alexandria, LA",LA,72,ATL,"Atlanta, GA",GA,34,1419,1413,1705,1646,0,0,500
1/4/2022 0:00,DL,5144,AEX,"Alexandria, LA",LA,72,ATL,"Atlanta, GA",GA,34,740,734,1023,1022,0,0,500
1/4/2022 0:00,UA,4230,AEX,"Alexandria, LA",LA,72,IAH,"Houston, TX",TX,74,1604,,1725,,1,0,190
1/4/2022 0:00,UA,4250,AEX,"Alexandria, LA",LA,72,IAH,"Houston, TX",TX,74,700,659,812,816,0,0,190
1/5/2022 0:00,AA,3849,AEX,"Alexandria, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,600,551,731,706,0,0,285
1/5/2022 0:00,AA,3886,AEX,"Alexandria, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1820,1813,1949,1945,0,0,285
1/5/2022 0:00,AA,4210,AEX,"Alexandria, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1020,1014,1149,1130,0,0,285
1/5/2022 0:00,AA,5631,AEX,"Alexandria, LA",LA,72,CLT,"Charlotte, NC",NC,36,1632,1632,1940,1917,0,0,722
1/5/2022 0:00,DL,4943,AEX,"Alexandria, LA",LA,72,ATL,"Atlanta, GA",GA,34,1420,1408,1705,1644,0,0,500
1/5/2022 0:00,DL,5144,AEX,"Alexandria, LA",LA,72,ATL,"Atlanta, GA",GA,34,745,739,1021,1017,0,0,500
1/5/2022 0:00,UA,4230,AEX,"Alexandria, LA",LA,72,IAH,"Houston, TX",TX,74,1604,1609,1725,1716,0,0,190
1/5/2022 0:00,UA,4250,AEX,"Alexandria, LA",LA,72,IAH,"Houston, TX",TX,74,700,805,812,908,0,0,190
1/6/2022 0:00,AA,3849,AEX,"Alexandria, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,600,557,731,714,0,0,285
1/6/2022 0:00,AA,3886,AEX,"Alexandria, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1820,1826,1949,1950,0,0,285
1/6/2022 0:00,AA,4210,AEX,"Alexandria, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1020,1007,1149,1125,0,0,285
