FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AS,2047,ALW,"Walla Walla, WA",WA,93,SEA,"Seattle, WA",WA,93,1345,1348,1455,1507,0,0,213
1/1/2022 0:00,AS,2087,ALW,"Walla Walla, WA",WA,93,SEA,"Seattle, WA",WA,93,505,,610,,1,0,213
1/2/2022 0:00,AS,2047,ALW,"Walla Walla, WA",WA,93,SEA,"Seattle, WA",WA,93,1345,1426,1455,1540,0,0,213
1/2/2022 0:00,AS,2087,ALW,"Walla Walla, WA",WA,93,SEA,"Seattle, WA",WA,93,505,502,610,611,0,0,213
1/3/2022 0:00,AS,2047,ALW,"Walla Walla, WA",WA,93,SEA,"Seattle, WA",WA,93,1345,1443,1455,1553,0,0,213
1/3/2022 0:00,AS,2087,ALW,"Walla Walla, WA",WA,93,SEA,"Seattle, WA",WA,93,505,,610,,1,0,213
1/4/2022 0:00,AS,2087,ALW,"Walla Walla, WA",WA,93,SEA,"Seattle, WA",WA,93,600,608,707,717,0,0,213
1/4/2022 0:00,AS,2096,ALW,"Walla Walla, WA",WA,93,SEA,"Seattle, WA",WA,93,1550,1638,1657,1748,0,0,213
1/5/2022 0:00,AS,2087,ALW,"Walla Walla, WA",WA,93,SEA,"Seattle, WA",WA,93,600,657,707,813,0,0,213
1/5/2022 0:00,AS,2096,ALW,"Walla Walla, WA",WA,93,SEA,"Seattle, WA",WA,93,1550,1753,1657,1903,0,0,213
1/6/2022 0:00,AS,2087,ALW,"Walla Walla, WA",WA,93,SEA,"Seattle, WA",WA,93,600,1033,707,1135,0,0,213
1/6/2022 0:00,AS,2096,ALW,"Walla Walla, WA",WA,93,SEA,"Seattle, WA",WA,93,1550,1725,1657,1842,0,0,213
1/7/2022 0:00,AS,2087,ALW,"Walla Walla, WA",WA,93,SEA,"Seattle, WA",WA,93,600,552,707,656,0,0,213
1/7/2022 0:00,AS,2096,ALW,"Walla Walla, WA",WA,93,SEA,"Seattle, WA",WA,93,1550,1545,1657,1701,0,0,213
1/8/2022 0:00,AS,2087,ALW,"Walla Walla, WA",WA,93,SEA,"Seattle, WA",WA,93,600,556,707,659,0,0,213
1/8/2022 0:00,AS,2096,ALW,"Walla Walla, WA",WA,93,SEA,"Seattle, WA",WA,93,1550,1612,1657,1713,0,0,213
1/9/2022 0:00,AS,2087,ALW,"Walla Walla, WA",WA,93,SEA,"Seattle, WA",WA,93,600,600,707,701,0,0,213
1/9/2022 0:00,AS,2096,ALW,"Walla Walla, WA",WA,93,SEA,"Seattle, WA",WA,93,1550,1552,1657,1656,0,0,213
1/10/2022 0:00,AS,2087,ALW,"Walla Walla, WA",WA,93,SEA,"Seattle, WA",WA,93,600,558,707,704,0,0,213
1/10/2022 0:00,AS,2096,ALW,"Walla Walla, WA",WA,93,SEA,"Seattle, WA",WA,93,1550,1640,1657,1740,0,0,213
1/11/2022 0:00,AS,2087,ALW,"Walla Walla, WA",WA,93,SEA,"Seattle, WA",WA,93,600,612,707,726,0,0,213
1/11/2022 0:00,AS,2096,ALW,"Walla Walla, WA",WA,93,SEA,"Seattle, WA",WA,93,1550,1603,1657,1706,0,0,213
1/12/2022 0:00,AS,2087,ALW,"Walla Walla, WA",WA,93,SEA,"Seattle, WA",WA,93,600,557,707,702,0,0,213
1/12/2022 0:00,AS,2096,ALW,"Walla Walla, WA",WA,93,SEA,"Seattle, WA",WA,93,1550,1547,1657,1659,0,0,213
1/13/2022 0:00,AS,2087,ALW,"Walla Walla, WA",WA,93,SEA,"Seattle, WA",WA,93,600,603,707,710,0,0,213
