FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AS,104,ANC,"Anchorage, AK",AK,1,SEA,"Seattle, WA",WA,93,520,,950,,1,0,1448
1/1/2022 0:00,AS,110,ANC,"Anchorage, AK",AK,1,SEA,"Seattle, WA",WA,93,245,,709,,1,0,1448
1/1/2022 0:00,AS,114,ANC,"Anchorage, AK",AK,1,SEA,"Seattle, WA",WA,93,130,157,554,623,0,0,1448
1/1/2022 0:00,AS,116,ANC,"Anchorage, AK",AK,1,SEA,"Seattle, WA",WA,93,1845,1858,2311,2317,0,0,1448
1/1/2022 0:00,AS,1204,ANC,"Anchorage, AK",AK,1,SEA,"Seattle, WA",WA,93,1515,1533,1940,1946,0,0,1448
1/1/2022 0:00,AS,130,ANC,"Anchorage, AK",AK,1,PDX,"Portland, OR",OR,92,625,625,1058,1050,0,0,1542
1/1/2022 0:00,AS,131,ANC,"Anchorage, AK",AK,1,FAI,"Fairbanks, AK",AK,1,1645,1632,1746,1733,0,0,261
1/1/2022 0:00,AS,138,ANC,"Anchorage, AK",AK,1,ORD,"Chicago, IL",IL,41,2325,,829,,1,0,2846
1/1/2022 0:00,AS,140,ANC,"Anchorage, AK",AK,1,PDX,"Portland, OR",OR,92,1910,1907,2340,2342,0,0,1542
1/1/2022 0:00,AS,150,ANC,"Anchorage, AK",AK,1,LAX,"Los Angeles, CA",CA,91,2335,234,549,913,0,0,2345
1/1/2022 0:00,AS,165,ANC,"Anchorage, AK",AK,1,OTZ,"Kotzebue, AK",AK,1,1025,1055,1204,1227,0,0,548
1/1/2022 0:00,AS,172,ANC,"Anchorage, AK",AK,1,PHX,"Phoenix, AZ",AZ,81,2215,2216,539,539,0,0,2552
1/1/2022 0:00,AS,180,ANC,"Anchorage, AK",AK,1,FAI,"Fairbanks, AK",AK,1,1345,1342,1445,1441,0,0,261
1/1/2022 0:00,AS,184,ANC,"Anchorage, AK",AK,1,ADK,"Adak Island, AK",AK,1,1235,1234,1445,1446,0,0,1192
1/1/2022 0:00,AS,2022,ANC,"Anchorage, AK",AK,1,FAI,"Fairbanks, AK",AK,1,850,928,952,1025,0,0,261
1/1/2022 0:00,AS,2073,ANC,"Anchorage, AK",AK,1,FAI,"Fairbanks, AK",AK,1,515,537,617,648,0,0,261
1/1/2022 0:00,AS,2191,ANC,"Anchorage, AK",AK,1,FAI,"Fairbanks, AK",AK,1,1035,1251,1136,1351,0,0,261
1/1/2022 0:00,AS,2510,ANC,"Anchorage, AK",AK,1,FAI,"Fairbanks, AK",AK,1,1945,1942,2044,2040,0,0,261
1/1/2022 0:00,AS,2570,ANC,"Anchorage, AK",AK,1,SEA,"Seattle, WA",WA,93,1635,,2103,,1,0,1448
1/1/2022 0:00,AS,43,ANC,"Anchorage, AK",AK,1,BET,"Bethel, AK",AK,1,1040,1032,1202,1141,0,0,399
1/1/2022 0:00,AS,45,ANC,"Anchorage, AK",AK,1,BET,"Bethel, AK",AK,1,1747,1743,1909,1904,0,0,399
1/1/2022 0:00,AS,47,ANC,"Anchorage, AK",AK,1,ADQ,"Kodiak, AK",AK,1,1725,,1828,,1,0,253
1/1/2022 0:00,AS,49,ANC,"Anchorage, AK",AK,1,ADQ,"Kodiak, AK",AK,1,1345,,1448,,1,0,253
1/1/2022 0:00,AS,51,ANC,"Anchorage, AK",AK,1,BRW,"Barrow, AK",AK,1,1342,1343,1538,1546,0,0,725
1/1/2022 0:00,AS,62,ANC,"Anchorage, AK",AK,1,JNU,"Juneau, AK",AK,1,745,735,925,908,0,0,571
1/1/2022 0:00,AS,70,ANC,"Anchorage, AK",AK,1,JNU,"Juneau, AK",AK,1,1940,1934,2116,2110,0,0,571
