FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,4090,ATW,"Appleton, WI",WI,45,ORD,"Chicago, IL",IL,41,1300,,1412,,1,0,161
1/1/2022 0:00,AA,4710,ATW,"Appleton, WI",WI,45,CLT,"Charlotte, NC",NC,36,536,551,915,903,0,0,742
1/1/2022 0:00,DL,1376,ATW,"Appleton, WI",WI,45,ATL,"Atlanta, GA",GA,34,1640,1639,2005,1952,0,0,765
1/1/2022 0:00,DL,3635,ATW,"Appleton, WI",WI,45,DTW,"Detroit, MI",MI,43,1520,1519,1742,1732,0,0,296
1/1/2022 0:00,DL,3992,ATW,"Appleton, WI",WI,45,MSP,"Minneapolis, MN",MN,63,634,,759,,1,0,236
1/1/2022 0:00,DL,4890,ATW,"Appleton, WI",WI,45,MSP,"Minneapolis, MN",MN,63,1312,1330,1432,1432,0,0,236
1/1/2022 0:00,DL,4933,ATW,"Appleton, WI",WI,45,DTW,"Detroit, MI",MI,43,630,627,856,851,0,0,296
1/1/2022 0:00,G4,1180,ATW,"Appleton, WI",WI,45,AZA,"Phoenix, AZ",AZ,81,1400,1411,1640,1648,0,0,1452
1/1/2022 0:00,G4,576,ATW,"Appleton, WI",WI,45,BNA,"Nashville, TN",TN,54,1946,2038,2123,2226,0,0,570
1/1/2022 0:00,UA,3724,ATW,"Appleton, WI",WI,45,ORD,"Chicago, IL",IL,41,830,,951,,1,0,161
1/1/2022 0:00,UA,3730,ATW,"Appleton, WI",WI,45,ORD,"Chicago, IL",IL,41,1330,,1450,,1,0,161
1/1/2022 0:00,UA,3769,ATW,"Appleton, WI",WI,45,ORD,"Chicago, IL",IL,41,1030,,1151,,1,0,161
1/1/2022 0:00,UA,3822,ATW,"Appleton, WI",WI,45,ORD,"Chicago, IL",IL,41,1436,,1556,,1,0,161
1/1/2022 0:00,UA,3903,ATW,"Appleton, WI",WI,45,ORD,"Chicago, IL",IL,41,640,,801,,1,0,161
1/1/2022 0:00,UA,5283,ATW,"Appleton, WI",WI,45,DEN,"Denver, CO",CO,82,830,820,1032,1025,0,0,883
1/2/2022 0:00,AA,4090,ATW,"Appleton, WI",WI,45,ORD,"Chicago, IL",IL,41,1300,1254,1412,1446,0,0,161
1/2/2022 0:00,AA,4260,ATW,"Appleton, WI",WI,45,ORD,"Chicago, IL",IL,41,600,,728,,1,0,161
1/2/2022 0:00,AA,4710,ATW,"Appleton, WI",WI,45,CLT,"Charlotte, NC",NC,36,500,500,839,824,0,0,742
1/2/2022 0:00,DL,1376,ATW,"Appleton, WI",WI,45,ATL,"Atlanta, GA",GA,34,1640,1646,2006,1949,0,0,765
1/2/2022 0:00,DL,3638,ATW,"Appleton, WI",WI,45,MSP,"Minneapolis, MN",MN,63,1734,1825,1902,1946,0,0,236
1/2/2022 0:00,DL,4112,ATW,"Appleton, WI",WI,45,MSP,"Minneapolis, MN",MN,63,634,637,800,803,0,0,236
1/2/2022 0:00,DL,4745,ATW,"Appleton, WI",WI,45,DTW,"Detroit, MI",MI,43,1255,1329,1519,1547,0,0,296
