FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3601,AZO,"Kalamazoo, MI",MI,43,ORD,"Chicago, IL",IL,41,1128,1125,1138,1128,0,0,122
1/1/2022 0:00,AA,4361,AZO,"Kalamazoo, MI",MI,43,ORD,"Chicago, IL",IL,41,1620,,1626,,1,0,122
1/1/2022 0:00,DL,4782,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,640,641,747,730,0,0,113
1/1/2022 0:00,DL,5066,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,1415,1407,1512,1522,0,0,113
1/1/2022 0:00,UA,5886,AZO,"Kalamazoo, MI",MI,43,ORD,"Chicago, IL",IL,41,700,653,725,650,0,0,122
1/2/2022 0:00,AA,3601,AZO,"Kalamazoo, MI",MI,43,ORD,"Chicago, IL",IL,41,700,,720,,1,0,122
1/2/2022 0:00,AA,4361,AZO,"Kalamazoo, MI",MI,43,ORD,"Chicago, IL",IL,41,1620,1610,1626,1631,0,0,122
1/2/2022 0:00,DL,4782,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,527,1043,630,1157,0,0,113
1/2/2022 0:00,DL,5066,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,1146,1141,1248,1248,0,0,113
1/2/2022 0:00,DL,5300,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,1829,2045,1933,2131,0,0,113
1/2/2022 0:00,UA,5886,AZO,"Kalamazoo, MI",MI,43,ORD,"Chicago, IL",IL,41,600,,625,,1,0,122
1/3/2022 0:00,AA,3601,AZO,"Kalamazoo, MI",MI,43,ORD,"Chicago, IL",IL,41,700,652,720,659,0,0,122
1/3/2022 0:00,AA,4361,AZO,"Kalamazoo, MI",MI,43,ORD,"Chicago, IL",IL,41,1620,1619,1626,1623,0,0,122
1/3/2022 0:00,DL,4782,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,527,524,630,637,0,0,113
1/3/2022 0:00,DL,5066,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,1146,1137,1248,1238,0,0,113
1/3/2022 0:00,DL,5300,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,1829,1828,1933,1923,0,0,113
1/3/2022 0:00,UA,5886,AZO,"Kalamazoo, MI",MI,43,ORD,"Chicago, IL",IL,41,600,555,625,603,0,0,122
1/4/2022 0:00,AA,3601,AZO,"Kalamazoo, MI",MI,43,ORD,"Chicago, IL",IL,41,701,658,722,725,0,0,122
1/4/2022 0:00,AA,4361,AZO,"Kalamazoo, MI",MI,43,ORD,"Chicago, IL",IL,41,1630,1618,1637,1612,0,0,122
1/4/2022 0:00,DL,4782,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,527,532,630,635,0,0,113
1/4/2022 0:00,DL,5066,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,1146,1141,1248,1228,0,0,113
1/4/2022 0:00,DL,5300,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,1829,1928,1933,2008,0,0,113
1/5/2022 0:00,AA,3601,AZO,"Kalamazoo, MI",MI,43,ORD,"Chicago, IL",IL,41,900,856,921,924,0,0,122
1/5/2022 0:00,AA,4361,AZO,"Kalamazoo, MI",MI,43,ORD,"Chicago, IL",IL,41,1630,1625,1637,1656,0,0,122
1/5/2022 0:00,DL,4782,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,517,551,630,641,0,0,113
1/5/2022 0:00,DL,4811,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,1415,2156,1512,2305,0,0,113
1/5/2022 0:00,DL,5066,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,1015,1244,1117,1356,0,0,113
1/5/2022 0:00,DL,5300,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,1800,1825,1903,2003,0,0,113
1/6/2022 0:00,AA,3601,AZO,"Kalamazoo, MI",MI,43,ORD,"Chicago, IL",IL,41,701,649,722,715,0,0,122
1/6/2022 0:00,AA,4361,AZO,"Kalamazoo, MI",MI,43,ORD,"Chicago, IL",IL,41,1630,1628,1637,1644,0,0,122
1/6/2022 0:00,DL,4782,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,517,513,630,623,0,0,113
1/6/2022 0:00,DL,4811,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,1415,1407,1512,1511,0,0,113
1/6/2022 0:00,DL,5066,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,1015,1015,1117,1125,0,0,113
1/6/2022 0:00,DL,5300,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,1800,1757,1903,1912,0,0,113
1/7/2022 0:00,AA,3601,AZO,"Kalamazoo, MI",MI,43,ORD,"Chicago, IL",IL,41,701,,722,,1,0,122
1/7/2022 0:00,AA,4361,AZO,"Kalamazoo, MI",MI,43,ORD,"Chicago, IL",IL,41,1630,1646,1637,1708,0,0,122
1/7/2022 0:00,DL,4782,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,517,512,630,645,0,0,113
1/7/2022 0:00,DL,4811,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,1415,1411,1512,1528,0,0,113
1/7/2022 0:00,DL,5066,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,1015,1005,1117,1118,0,0,113
1/7/2022 0:00,DL,5300,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,1800,1758,1903,1910,0,0,113
1/8/2022 0:00,AA,3601,AZO,"Kalamazoo, MI",MI,43,ORD,"Chicago, IL",IL,41,701,657,722,724,0,0,122
1/8/2022 0:00,AA,4361,AZO,"Kalamazoo, MI",MI,43,ORD,"Chicago, IL",IL,41,1630,1627,1637,1652,0,0,122
1/8/2022 0:00,DL,4782,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,517,507,630,614,0,0,113
1/8/2022 0:00,DL,4811,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,1415,1410,1512,1505,0,0,113
1/8/2022 0:00,DL,5066,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,1015,1010,1117,1050,0,0,113
1/9/2022 0:00,AA,3601,AZO,"Kalamazoo, MI",MI,43,ORD,"Chicago, IL",IL,41,701,,722,,1,0,122
1/9/2022 0:00,AA,4361,AZO,"Kalamazoo, MI",MI,43,ORD,"Chicago, IL",IL,41,1630,1627,1637,1624,0,0,122
1/9/2022 0:00,DL,4782,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,517,513,630,605,0,0,113
1/9/2022 0:00,DL,4811,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,1415,1410,1512,1515,0,0,113
1/9/2022 0:00,DL,5066,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,1015,1011,1117,1117,0,0,113
1/9/2022 0:00,DL,5300,AZO,"Kalamazoo, MI",MI,43,DTW,"Detroit, MI",MI,43,1800,1751,1903,1915,0,0,113
