FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3131,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,938,935,1212,1217,0,0,425
1/1/2022 0:00,AA,5980,BFL,"Bakersfield, CA",CA,91,DFW,"Dallas/Fort Worth, TX",TX,74,615,605,1134,1103,0,0,1271
1/1/2022 0:00,AA,5986,BFL,"Bakersfield, CA",CA,91,DFW,"Dallas/Fort Worth, TX",TX,74,1243,1259,1757,1758,0,0,1271
1/1/2022 0:00,UA,4671,BFL,"Bakersfield, CA",CA,91,SFO,"San Francisco, CA",CA,91,1345,1514,1503,1617,0,0,238
1/1/2022 0:00,UA,5839,BFL,"Bakersfield, CA",CA,91,DEN,"Denver, CO",CO,82,515,509,853,847,0,0,845
1/1/2022 0:00,UA,5973,BFL,"Bakersfield, CA",CA,91,DEN,"Denver, CO",CO,82,1305,1303,1640,1624,0,0,845
1/2/2022 0:00,AA,3130,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,600,556,836,837,0,0,425
1/2/2022 0:00,AA,3131,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,938,928,1212,1159,0,0,425
1/2/2022 0:00,AA,5980,BFL,"Bakersfield, CA",CA,91,DFW,"Dallas/Fort Worth, TX",TX,74,615,611,1134,1135,0,0,1271
1/2/2022 0:00,AA,5986,BFL,"Bakersfield, CA",CA,91,DFW,"Dallas/Fort Worth, TX",TX,74,1243,1238,1757,1753,0,0,1271
1/2/2022 0:00,UA,4671,BFL,"Bakersfield, CA",CA,91,SFO,"San Francisco, CA",CA,91,1345,1336,1503,1431,0,0,238
1/2/2022 0:00,UA,5839,BFL,"Bakersfield, CA",CA,91,DEN,"Denver, CO",CO,82,515,512,853,950,0,0,845
1/2/2022 0:00,UA,5973,BFL,"Bakersfield, CA",CA,91,DEN,"Denver, CO",CO,82,1304,1255,1640,1621,0,0,845
1/3/2022 0:00,AA,3130,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,600,557,836,834,0,0,425
1/3/2022 0:00,AA,3131,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,938,1000,1212,1222,0,0,425
1/3/2022 0:00,AA,5867,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,1539,1727,1812,2002,0,0,425
1/3/2022 0:00,AA,5986,BFL,"Bakersfield, CA",CA,91,DFW,"Dallas/Fort Worth, TX",TX,74,1243,1241,1757,1727,0,0,1271
1/3/2022 0:00,UA,4671,BFL,"Bakersfield, CA",CA,91,SFO,"San Francisco, CA",CA,91,1345,1339,1503,1523,0,0,238
1/3/2022 0:00,UA,5839,BFL,"Bakersfield, CA",CA,91,DEN,"Denver, CO",CO,82,515,700,853,1047,0,0,845
1/3/2022 0:00,UA,5973,BFL,"Bakersfield, CA",CA,91,DEN,"Denver, CO",CO,82,1305,1302,1640,1621,0,0,845
1/4/2022 0:00,AA,3035,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,630,622,905,849,0,0,425
1/4/2022 0:00,AA,3239,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,1156,1148,1426,1413,0,0,425
1/4/2022 0:00,AA,5733,BFL,"Bakersfield, CA",CA,91,DFW,"Dallas/Fort Worth, TX",TX,74,1240,1247,1752,1735,0,0,1271
1/4/2022 0:00,AA,5761,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,934,,1205,,1,0,425
1/4/2022 0:00,AA,5933,BFL,"Bakersfield, CA",CA,91,DFW,"Dallas/Fort Worth, TX",TX,74,600,558,1113,1048,0,0,1271
1/4/2022 0:00,UA,4671,BFL,"Bakersfield, CA",CA,91,SFO,"San Francisco, CA",CA,91,1337,1336,1455,1440,0,0,238
1/4/2022 0:00,UA,5839,BFL,"Bakersfield, CA",CA,91,DEN,"Denver, CO",CO,82,515,507,853,816,0,0,845
1/4/2022 0:00,UA,5973,BFL,"Bakersfield, CA",CA,91,DEN,"Denver, CO",CO,82,1300,1251,1636,1603,0,0,845
1/5/2022 0:00,AA,3035,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,630,627,905,857,0,0,425
1/5/2022 0:00,AA,3239,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,1156,1148,1426,1420,0,0,425
1/5/2022 0:00,AA,5733,BFL,"Bakersfield, CA",CA,91,DFW,"Dallas/Fort Worth, TX",TX,74,1240,1255,1752,1754,0,0,1271
1/5/2022 0:00,AA,5761,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,934,933,1205,1157,0,0,425
1/5/2022 0:00,AA,5933,BFL,"Bakersfield, CA",CA,91,DFW,"Dallas/Fort Worth, TX",TX,74,600,,1113,,1,0,1271
1/5/2022 0:00,UA,4671,BFL,"Bakersfield, CA",CA,91,SFO,"San Francisco, CA",CA,91,1337,1328,1455,1444,0,0,238
1/5/2022 0:00,UA,5839,BFL,"Bakersfield, CA",CA,91,DEN,"Denver, CO",CO,82,515,509,853,847,0,0,845
1/5/2022 0:00,UA,5973,BFL,"Bakersfield, CA",CA,91,DEN,"Denver, CO",CO,82,1300,,1636,,1,0,845
1/6/2022 0:00,AA,3035,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,630,617,905,852,0,0,425
1/6/2022 0:00,AA,3239,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,1156,1146,1426,1413,0,0,425
1/6/2022 0:00,AA,5761,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,934,930,1205,1154,0,0,425
1/6/2022 0:00,UA,4671,BFL,"Bakersfield, CA",CA,91,SFO,"San Francisco, CA",CA,91,1337,1327,1455,1432,0,0,238
1/6/2022 0:00,UA,5839,BFL,"Bakersfield, CA",CA,91,DEN,"Denver, CO",CO,82,515,508,853,912,0,0,845
1/6/2022 0:00,UA,5973,BFL,"Bakersfield, CA",CA,91,DEN,"Denver, CO",CO,82,1300,,1636,,1,0,845
1/7/2022 0:00,AA,3035,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,630,753,905,1011,0,0,425
1/7/2022 0:00,AA,3239,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,1156,1155,1426,1417,0,0,425
1/7/2022 0:00,AA,5733,BFL,"Bakersfield, CA",CA,91,DFW,"Dallas/Fort Worth, TX",TX,74,1240,1244,1752,1740,0,0,1271
1/7/2022 0:00,AA,5867,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,1858,2146,2128,7,0,0,425
1/7/2022 0:00,UA,4671,BFL,"Bakersfield, CA",CA,91,SFO,"San Francisco, CA",CA,91,1337,1457,1455,1608,0,0,238
1/7/2022 0:00,UA,5839,BFL,"Bakersfield, CA",CA,91,DEN,"Denver, CO",CO,82,515,1039,853,1357,0,0,845
1/7/2022 0:00,UA,5973,BFL,"Bakersfield, CA",CA,91,DEN,"Denver, CO",CO,82,1300,,1636,,1,0,845
1/8/2022 0:00,AA,3035,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,630,625,905,845,0,0,425
1/8/2022 0:00,AA,3239,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,1156,1146,1426,1406,0,0,425
1/8/2022 0:00,AA,5933,BFL,"Bakersfield, CA",CA,91,DFW,"Dallas/Fort Worth, TX",TX,74,600,558,1113,1118,0,0,1271
1/8/2022 0:00,UA,4671,BFL,"Bakersfield, CA",CA,91,SFO,"San Francisco, CA",CA,91,1337,1332,1455,1436,0,0,238
1/8/2022 0:00,UA,5839,BFL,"Bakersfield, CA",CA,91,DEN,"Denver, CO",CO,82,515,507,853,904,0,0,845
1/8/2022 0:00,UA,5973,BFL,"Bakersfield, CA",CA,91,DEN,"Denver, CO",CO,82,1300,,1636,,1,0,845
1/9/2022 0:00,AA,3035,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,630,621,905,856,0,0,425
1/9/2022 0:00,AA,3239,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,1156,,1426,,1,0,425
1/9/2022 0:00,AA,5733,BFL,"Bakersfield, CA",CA,91,DFW,"Dallas/Fort Worth, TX",TX,74,1240,1236,1752,1740,0,0,1271
1/9/2022 0:00,AA,5761,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,934,1027,1205,1248,0,0,425
1/9/2022 0:00,AA,5867,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,1858,1849,2128,2116,0,0,425
1/9/2022 0:00,AA,5933,BFL,"Bakersfield, CA",CA,91,DFW,"Dallas/Fort Worth, TX",TX,74,600,1103,1113,1605,0,0,1271
1/9/2022 0:00,UA,4671,BFL,"Bakersfield, CA",CA,91,SFO,"San Francisco, CA",CA,91,1337,1336,1455,1433,0,0,238
1/9/2022 0:00,UA,5839,BFL,"Bakersfield, CA",CA,91,DEN,"Denver, CO",CO,82,515,510,853,841,0,0,845
1/9/2022 0:00,UA,5973,BFL,"Bakersfield, CA",CA,91,DEN,"Denver, CO",CO,82,1300,,1636,,1,0,845
1/10/2022 0:00,AA,3035,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,630,625,905,848,0,0,425
1/10/2022 0:00,AA,3239,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,1156,1229,1426,1453,0,0,425
1/10/2022 0:00,AA,5733,BFL,"Bakersfield, CA",CA,91,DFW,"Dallas/Fort Worth, TX",TX,74,1240,1317,1752,1812,0,0,1271
1/10/2022 0:00,AA,5761,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,934,1255,1205,1525,0,0,425
1/10/2022 0:00,AA,5933,BFL,"Bakersfield, CA",CA,91,DFW,"Dallas/Fort Worth, TX",TX,74,600,555,1113,1132,0,0,1271
1/10/2022 0:00,UA,4671,BFL,"Bakersfield, CA",CA,91,SFO,"San Francisco, CA",CA,91,1337,1330,1455,1431,0,0,238
1/10/2022 0:00,UA,5839,BFL,"Bakersfield, CA",CA,91,DEN,"Denver, CO",CO,82,515,,853,,1,0,845
1/10/2022 0:00,UA,5973,BFL,"Bakersfield, CA",CA,91,DEN,"Denver, CO",CO,82,1300,,1636,,1,0,845
1/11/2022 0:00,AA,3035,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,630,627,905,903,0,0,425
1/11/2022 0:00,UA,4671,BFL,"Bakersfield, CA",CA,91,SFO,"San Francisco, CA",CA,91,1337,1329,1455,1429,0,0,238
1/11/2022 0:00,UA,5839,BFL,"Bakersfield, CA",CA,91,DEN,"Denver, CO",CO,82,515,734,853,1109,0,0,845
1/11/2022 0:00,UA,5973,BFL,"Bakersfield, CA",CA,91,DEN,"Denver, CO",CO,82,1300,,1636,,1,0,845
1/12/2022 0:00,AA,3035,BFL,"Bakersfield, CA",CA,91,PHX,"Phoenix, AZ",AZ,81,630,627,905,902,0,0,425
1/12/2022 0:00,AA,5733,BFL,"Bakersfield, CA",CA,91,DFW,"Dallas/Fort Worth, TX",TX,74,1240,1240,1752,1745,0,0,1271
1/12/2022 0:00,AA,5933,BFL,"Bakersfield, CA",CA,91,DFW,"Dallas/Fort Worth, TX",TX,74,600,555,1113,1058,0,0,1271
