FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AS,2326,BLI,"Bellingham, WA",WA,93,SEA,"Seattle, WA",WA,93,1119,1109,1211,1159,0,0,93
1/1/2022 0:00,AS,2363,BLI,"Bellingham, WA",WA,93,SEA,"Seattle, WA",WA,93,800,752,854,839,0,0,93
1/1/2022 0:00,AS,2527,BLI,"Bellingham, WA",WA,93,SEA,"Seattle, WA",WA,93,520,516,604,555,0,0,93
1/1/2022 0:00,AS,2529,BLI,"Bellingham, WA",WA,93,SEA,"Seattle, WA",WA,93,1705,1657,1754,1739,0,0,93
1/1/2022 0:00,G4,511,BLI,"Bellingham, WA",WA,93,LAS,"Las Vegas, NV",NV,85,1200,1153,1428,1415,0,0,954
1/1/2022 0:00,WN,1758,BLI,"Bellingham, WA",WA,93,OAK,"Oakland, CA",CA,91,1515,1551,1730,1748,0,0,764
1/1/2022 0:00,WN,2464,BLI,"Bellingham, WA",WA,93,OAK,"Oakland, CA",CA,91,535,530,750,727,0,0,764
1/1/2022 0:00,WN,586,BLI,"Bellingham, WA",WA,93,LAS,"Las Vegas, NV",NV,85,1330,1323,1605,1544,0,0,954
1/2/2022 0:00,AS,2326,BLI,"Bellingham, WA",WA,93,SEA,"Seattle, WA",WA,93,1119,1124,1211,1229,0,0,93
1/2/2022 0:00,AS,2363,BLI,"Bellingham, WA",WA,93,SEA,"Seattle, WA",WA,93,800,757,854,847,0,0,93
1/2/2022 0:00,AS,2527,BLI,"Bellingham, WA",WA,93,SEA,"Seattle, WA",WA,93,520,517,604,600,0,0,93
1/2/2022 0:00,AS,2529,BLI,"Bellingham, WA",WA,93,SEA,"Seattle, WA",WA,93,1705,1742,1754,1830,0,0,93
1/2/2022 0:00,G4,511,BLI,"Bellingham, WA",WA,93,LAS,"Las Vegas, NV",NV,85,830,,1058,,1,0,954
1/2/2022 0:00,G4,513,BLI,"Bellingham, WA",WA,93,LAS,"Las Vegas, NV",NV,85,1339,1339,1605,1612,0,0,954
1/2/2022 0:00,G4,523,BLI,"Bellingham, WA",WA,93,OAK,"Oakland, CA",CA,91,800,752,1005,1006,0,0,764
1/2/2022 0:00,G4,538,BLI,"Bellingham, WA",WA,93,PSP,"Palm Springs, CA",CA,91,1513,,1755,,1,0,1078
1/2/2022 0:00,G4,87,BLI,"Bellingham, WA",WA,93,AZA,"Phoenix, AZ",AZ,81,1825,1851,2220,2250,0,0,1208
1/2/2022 0:00,WN,1758,BLI,"Bellingham, WA",WA,93,OAK,"Oakland, CA",CA,91,1515,1531,1730,1740,0,0,764
1/2/2022 0:00,WN,264,BLI,"Bellingham, WA",WA,93,OAK,"Oakland, CA",CA,91,550,610,805,819,0,0,764
1/2/2022 0:00,WN,266,BLI,"Bellingham, WA",WA,93,LAS,"Las Vegas, NV",NV,85,1320,1407,1555,1631,0,0,954
1/3/2022 0:00,AS,2326,BLI,"Bellingham, WA",WA,93,SEA,"Seattle, WA",WA,93,1119,1116,1211,1208,0,0,93
1/3/2022 0:00,AS,2363,BLI,"Bellingham, WA",WA,93,SEA,"Seattle, WA",WA,93,800,756,854,841,0,0,93
1/3/2022 0:00,AS,2527,BLI,"Bellingham, WA",WA,93,SEA,"Seattle, WA",WA,93,520,510,604,555,0,0,93
1/3/2022 0:00,AS,2529,BLI,"Bellingham, WA",WA,93,SEA,"Seattle, WA",WA,93,1705,1912,1754,2002,0,0,93
1/3/2022 0:00,G4,12,BLI,"Bellingham, WA",WA,93,LAS,"Las Vegas, NV",NV,85,1000,,1228,,1,0,954
