FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1100,BNA,"Nashville, TN",TN,54,DFW,"Dallas/Fort Worth, TX",TX,74,1539,1546,1805,1819,0,0,631
1/1/2022 0:00,AA,1103,BNA,"Nashville, TN",TN,54,DFW,"Dallas/Fort Worth, TX",TX,74,922,919,1140,1130,0,0,631
1/1/2022 0:00,AA,1118,BNA,"Nashville, TN",TN,54,DFW,"Dallas/Fort Worth, TX",TX,74,1107,1100,1325,1307,0,0,631
1/1/2022 0:00,AA,1129,BNA,"Nashville, TN",TN,54,DFW,"Dallas/Fort Worth, TX",TX,74,1301,1331,1520,1556,0,0,631
1/1/2022 0:00,AA,1139,BNA,"Nashville, TN",TN,54,MIA,"Miami, FL",FL,33,732,743,1059,1055,0,0,806
1/1/2022 0:00,AA,1242,BNA,"Nashville, TN",TN,54,CLT,"Charlotte, NC",NC,36,1734,1726,1958,1944,0,0,328
1/1/2022 0:00,AA,1291,BNA,"Nashville, TN",TN,54,LGA,"New York, NY",NY,22,1724,1722,2035,2029,0,0,764
1/1/2022 0:00,AA,1393,BNA,"Nashville, TN",TN,54,LAX,"Los Angeles, CA",CA,91,700,659,947,943,0,0,1797
1/1/2022 0:00,AA,1681,BNA,"Nashville, TN",TN,54,ORD,"Chicago, IL",IL,41,1454,,1639,,1,0,409
1/1/2022 0:00,AA,1819,BNA,"Nashville, TN",TN,54,CLT,"Charlotte, NC",NC,36,1430,1457,1655,1715,0,0,328
1/1/2022 0:00,AA,2236,BNA,"Nashville, TN",TN,54,LAX,"Los Angeles, CA",CA,91,1921,2015,2209,2301,0,0,1797
1/1/2022 0:00,AA,2238,BNA,"Nashville, TN",TN,54,DFW,"Dallas/Fort Worth, TX",TX,74,1916,1039,2134,1238,0,0,631
1/1/2022 0:00,AA,2244,BNA,"Nashville, TN",TN,54,DFW,"Dallas/Fort Worth, TX",TX,74,1715,1739,1939,2017,0,0,631
1/1/2022 0:00,AA,2407,BNA,"Nashville, TN",TN,54,LGA,"New York, NY",NY,22,619,610,929,920,0,0,764
1/1/2022 0:00,AA,2583,BNA,"Nashville, TN",TN,54,DFW,"Dallas/Fort Worth, TX",TX,74,652,750,913,959,0,0,631
