FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,DL,4272,BTM,"Butte, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,715,710,842,846,0,0,358
1/2/2022 0:00,DL,4272,BTM,"Butte, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,715,706,842,836,0,0,358
1/2/2022 0:00,DL,4273,BTM,"Butte, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,1145,1137,1307,1250,0,0,358
1/3/2022 0:00,DL,4272,BTM,"Butte, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,715,,842,,1,0,358
1/3/2022 0:00,DL,4273,BTM,"Butte, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,1145,1155,1307,1309,0,0,358
1/4/2022 0:00,DL,4272,BTM,"Butte, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,715,718,842,855,0,0,358
1/4/2022 0:00,DL,4273,BTM,"Butte, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,1145,1143,1307,1306,0,0,358
1/5/2022 0:00,DL,4272,BTM,"Butte, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,710,713,838,913,0,0,358
1/5/2022 0:00,UA,5139,BTM,"Butte, MT",MT,84,DEN,"Denver, CO",CO,82,1435,1506,1633,1709,0,0,578
1/6/2022 0:00,DL,4272,BTM,"Butte, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,710,704,838,924,0,0,358
1/6/2022 0:00,UA,5139,BTM,"Butte, MT",MT,84,DEN,"Denver, CO",CO,82,1435,1512,1633,1714,0,0,578
1/7/2022 0:00,DL,4272,BTM,"Butte, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,710,815,838,939,0,0,358
1/7/2022 0:00,UA,5139,BTM,"Butte, MT",MT,84,DEN,"Denver, CO",CO,82,1435,1434,1633,1646,0,0,578
1/8/2022 0:00,DL,4272,BTM,"Butte, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,710,700,838,814,0,0,358
1/8/2022 0:00,UA,5139,BTM,"Butte, MT",MT,84,DEN,"Denver, CO",CO,82,1435,1430,1633,1610,0,0,578
