FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3125,BTR,"Baton Rouge, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,800,751,937,941,0,0,383
1/1/2022 0:00,AA,3185,BTR,"Baton Rouge, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1954,1945,2132,2145,0,0,383
1/1/2022 0:00,AA,3536,BTR,"Baton Rouge, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1216,1217,1350,1353,0,0,383
1/1/2022 0:00,AA,5131,BTR,"Baton Rouge, LA",LA,72,CLT,"Charlotte, NC",NC,36,1056,1101,1400,1349,0,0,675
1/1/2022 0:00,AA,5612,BTR,"Baton Rouge, LA",LA,72,CLT,"Charlotte, NC",NC,36,622,615,930,907,0,0,675
1/1/2022 0:00,DL,4645,BTR,"Baton Rouge, LA",LA,72,ATL,"Atlanta, GA",GA,34,1100,1055,1339,1315,0,0,448
1/1/2022 0:00,DL,4776,BTR,"Baton Rouge, LA",LA,72,ATL,"Atlanta, GA",GA,34,1600,1555,1845,1821,0,0,448
1/1/2022 0:00,DL,5336,BTR,"Baton Rouge, LA",LA,72,ATL,"Atlanta, GA",GA,34,615,610,854,829,0,0,448
1/1/2022 0:00,UA,4240,BTR,"Baton Rouge, LA",LA,72,IAH,"Houston, TX",TX,74,1700,1659,1829,1806,0,0,253
1/1/2022 0:00,UA,4986,BTR,"Baton Rouge, LA",LA,72,IAH,"Houston, TX",TX,74,700,,831,,1,0,253
1/1/2022 0:00,UA,5269,BTR,"Baton Rouge, LA",LA,72,IAH,"Houston, TX",TX,74,1404,1355,1533,1507,0,0,253
1/2/2022 0:00,AA,3125,BTR,"Baton Rouge, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,600,554,732,739,0,0,383
1/2/2022 0:00,AA,3185,BTR,"Baton Rouge, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1954,2006,2132,2138,0,0,383
1/2/2022 0:00,AA,3536,BTR,"Baton Rouge, LA",LA,72,DFW,"Dallas/Fort Worth, TX",TX,74,1216,1210,1350,1341,0,0,383
1/2/2022 0:00,AA,5131,BTR,"Baton Rouge, LA",LA,72,CLT,"Charlotte, NC",NC,36,1056,1103,1400,1352,0,0,675
1/2/2022 0:00,AA,5132,BTR,"Baton Rouge, LA",LA,72,CLT,"Charlotte, NC",NC,36,1823,1939,2127,2222,0,0,675
1/2/2022 0:00,AA,5612,BTR,"Baton Rouge, LA",LA,72,CLT,"Charlotte, NC",NC,36,635,624,943,917,0,0,675
1/2/2022 0:00,DL,4873,BTR,"Baton Rouge, LA",LA,72,ATL,"Atlanta, GA",GA,34,1307,,1550,,1,0,448
1/2/2022 0:00,DL,4903,BTR,"Baton Rouge, LA",LA,72,ATL,"Atlanta, GA",GA,34,1720,1736,2004,2018,0,0,448
1/2/2022 0:00,DL,5336,BTR,"Baton Rouge, LA",LA,72,ATL,"Atlanta, GA",GA,34,619,615,859,847,0,0,448
1/2/2022 0:00,DL,5418,BTR,"Baton Rouge, LA",LA,72,ATL,"Atlanta, GA",GA,34,938,935,1206,1159,0,0,448
1/2/2022 0:00,UA,4240,BTR,"Baton Rouge, LA",LA,72,IAH,"Houston, TX",TX,74,1700,1658,1829,1825,0,0,253
1/2/2022 0:00,UA,4947,BTR,"Baton Rouge, LA",LA,72,IAH,"Houston, TX",TX,74,930,,1059,,1,0,253
