FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,4553,CHO,"Charlottesville, VA",VA,38,LGA,"New York, NY",NY,22,1008,1005,1125,1120,0,0,305
1/1/2022 0:00,AA,5426,CHO,"Charlottesville, VA",VA,38,CLT,"Charlotte, NC",NC,36,648,641,817,822,0,0,245
1/1/2022 0:00,AA,6078,CHO,"Charlottesville, VA",VA,38,CLT,"Charlotte, NC",NC,36,1632,1632,1800,1757,0,0,245
1/1/2022 0:00,AA,6082,CHO,"Charlottesville, VA",VA,38,CLT,"Charlotte, NC",NC,36,1039,1245,1209,1416,0,0,245
1/1/2022 0:00,AA,6148,CHO,"Charlottesville, VA",VA,38,CLT,"Charlotte, NC",NC,36,1243,1235,1408,1400,0,0,245
1/1/2022 0:00,AA,6228,CHO,"Charlottesville, VA",VA,38,CLT,"Charlotte, NC",NC,36,840,837,1020,957,0,0,245
1/1/2022 0:00,DL,4731,CHO,"Charlottesville, VA",VA,38,ATL,"Atlanta, GA",GA,34,700,657,848,842,0,0,457
1/1/2022 0:00,DL,5354,CHO,"Charlottesville, VA",VA,38,ATL,"Atlanta, GA",GA,34,1300,1256,1448,1435,0,0,457
1/1/2022 0:00,UA,3775,CHO,"Charlottesville, VA",VA,38,ORD,"Chicago, IL",IL,41,640,,757,,1,0,566
1/1/2022 0:00,UA,3830,CHO,"Charlottesville, VA",VA,38,IAD,"Washington, DC",VA,38,845,836,933,939,0,0,77
1/1/2022 0:00,UA,3887,CHO,"Charlottesville, VA",VA,38,IAD,"Washington, DC",VA,38,1955,1946,2043,2026,0,0,77
1/1/2022 0:00,UA,3962,CHO,"Charlottesville, VA",VA,38,ORD,"Chicago, IL",IL,41,1740,,1855,,1,0,566
1/2/2022 0:00,AA,4553,CHO,"Charlottesville, VA",VA,38,LGA,"New York, NY",NY,22,901,854,1024,1001,0,0,305
