FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3009,CID,"Cedar Rapids/Iowa City, IA",IA,61,ORD,"Chicago, IL",IL,41,1248,,1406,,1,0,196
1/1/2022 0:00,AA,5177,CID,"Cedar Rapids/Iowa City, IA",IA,61,CLT,"Charlotte, NC",NC,36,1352,,1704,,1,0,742
1/1/2022 0:00,AA,5303,CID,"Cedar Rapids/Iowa City, IA",IA,61,CLT,"Charlotte, NC",NC,36,651,,1022,,1,0,742
1/1/2022 0:00,AA,5764,CID,"Cedar Rapids/Iowa City, IA",IA,61,DFW,"Dallas/Fort Worth, TX",TX,74,1330,1521,1554,1822,0,0,685
1/1/2022 0:00,AA,5773,CID,"Cedar Rapids/Iowa City, IA",IA,61,DFW,"Dallas/Fort Worth, TX",TX,74,700,656,939,946,0,0,685
1/1/2022 0:00,AA,5863,CID,"Cedar Rapids/Iowa City, IA",IA,61,PHX,"Phoenix, AZ",AZ,81,1659,1937,1933,2158,0,0,1252
1/1/2022 0:00,AA,5997,CID,"Cedar Rapids/Iowa City, IA",IA,61,DFW,"Dallas/Fort Worth, TX",TX,74,1621,1212,1852,1503,0,0,685
1/1/2022 0:00,DL,4711,CID,"Cedar Rapids/Iowa City, IA",IA,61,ATL,"Atlanta, GA",GA,34,548,548,904,909,0,0,694
1/1/2022 0:00,DL,4911,CID,"Cedar Rapids/Iowa City, IA",IA,61,DTW,"Detroit, MI",MI,43,845,847,1123,1112,0,0,430
1/1/2022 0:00,DL,4924,CID,"Cedar Rapids/Iowa City, IA",IA,61,MSP,"Minneapolis, MN",MN,63,850,844,1009,1018,0,0,220
1/1/2022 0:00,DL,5132,CID,"Cedar Rapids/Iowa City, IA",IA,61,MSP,"Minneapolis, MN",MN,63,1325,,1443,,1,0,220
1/1/2022 0:00,G4,1312,CID,"Cedar Rapids/Iowa City, IA",IA,61,AZA,"Phoenix, AZ",AZ,81,1327,,1538,,1,0,1240
1/1/2022 0:00,G4,1625,CID,"Cedar Rapids/Iowa City, IA",IA,61,PGD,"Punta Gorda, FL",FL,33,1552,1656,1936,2155,0,0,1170
1/1/2022 0:00,G4,2017,CID,"Cedar Rapids/Iowa City, IA",IA,61,PIE,"St. Petersburg, FL",FL,33,1652,,2027,,1,0,1090
1/1/2022 0:00,G4,616,CID,"Cedar Rapids/Iowa City, IA",IA,61,BNA,"Nashville, TN",TN,54,1452,1533,1619,1738,0,0,481
1/1/2022 0:00,UA,3501,CID,"Cedar Rapids/Iowa City, IA",IA,61,ORD,"Chicago, IL",IL,41,836,,958,,1,0,196
1/1/2022 0:00,UA,3727,CID,"Cedar Rapids/Iowa City, IA",IA,61,ORD,"Chicago, IL",IL,41,1130,,1259,,1,0,196
1/1/2022 0:00,UA,3756,CID,"Cedar Rapids/Iowa City, IA",IA,61,ORD,"Chicago, IL",IL,41,1445,,1614,,1,0,196
1/1/2022 0:00,UA,4664,CID,"Cedar Rapids/Iowa City, IA",IA,61,ORD,"Chicago, IL",IL,41,1845,,2014,,1,0,196
1/1/2022 0:00,UA,4744,CID,"Cedar Rapids/Iowa City, IA",IA,61,DEN,"Denver, CO",CO,82,1330,1525,1459,1736,0,0,692
1/1/2022 0:00,UA,5587,CID,"Cedar Rapids/Iowa City, IA",IA,61,DEN,"Denver, CO",CO,82,1620,1625,1749,1843,0,0,692
1/2/2022 0:00,AA,2950,CID,"Cedar Rapids/Iowa City, IA",IA,61,ORD,"Chicago, IL",IL,41,600,,730,,1,0,196
1/2/2022 0:00,AA,3009,CID,"Cedar Rapids/Iowa City, IA",IA,61,ORD,"Chicago, IL",IL,41,1248,1328,1406,1446,0,0,196
1/2/2022 0:00,AA,3661,CID,"Cedar Rapids/Iowa City, IA",IA,61,ORD,"Chicago, IL",IL,41,1030,,1148,,1,0,196
1/2/2022 0:00,AA,5177,CID,"Cedar Rapids/Iowa City, IA",IA,61,CLT,"Charlotte, NC",NC,36,1352,1422,1704,1733,0,0,742
1/2/2022 0:00,AA,5303,CID,"Cedar Rapids/Iowa City, IA",IA,61,CLT,"Charlotte, NC",NC,36,651,722,1022,1101,0,0,742
1/2/2022 0:00,AA,5773,CID,"Cedar Rapids/Iowa City, IA",IA,61,DFW,"Dallas/Fort Worth, TX",TX,74,700,850,939,1105,0,0,685
1/2/2022 0:00,AA,5863,CID,"Cedar Rapids/Iowa City, IA",IA,61,PHX,"Phoenix, AZ",AZ,81,1659,1711,1933,1916,0,0,1252
1/2/2022 0:00,AA,5997,CID,"Cedar Rapids/Iowa City, IA",IA,61,DFW,"Dallas/Fort Worth, TX",TX,74,1621,1625,1852,1829,0,0,685
1/2/2022 0:00,DL,4711,CID,"Cedar Rapids/Iowa City, IA",IA,61,ATL,"Atlanta, GA",GA,34,548,625,905,943,0,0,694
1/2/2022 0:00,DL,4754,CID,"Cedar Rapids/Iowa City, IA",IA,61,ATL,"Atlanta, GA",GA,34,1707,1708,2010,1959,0,0,694
1/2/2022 0:00,DL,4911,CID,"Cedar Rapids/Iowa City, IA",IA,61,DTW,"Detroit, MI",MI,43,640,711,927,1002,0,0,430
1/2/2022 0:00,DL,4924,CID,"Cedar Rapids/Iowa City, IA",IA,61,MSP,"Minneapolis, MN",MN,63,530,737,652,912,0,0,220
1/2/2022 0:00,DL,5132,CID,"Cedar Rapids/Iowa City, IA",IA,61,MSP,"Minneapolis, MN",MN,63,1341,1442,1501,1559,0,0,220
1/2/2022 0:00,DL,5220,CID,"Cedar Rapids/Iowa City, IA",IA,61,DTW,"Detroit, MI",MI,43,1240,1235,1515,1504,0,0,430
1/2/2022 0:00,DL,5231,CID,"Cedar Rapids/Iowa City, IA",IA,61,MSP,"Minneapolis, MN",MN,63,1747,1807,1905,1925,0,0,220
1/2/2022 0:00,F9,1322,CID,"Cedar Rapids/Iowa City, IA",IA,61,MCO,"Orlando, FL",FL,33,1948,2133,2353,128,0,0,1097
1/2/2022 0:00,G4,1230,CID,"Cedar Rapids/Iowa City, IA",IA,61,AZA,"Phoenix, AZ",AZ,81,1207,,1418,,1,0,1240
1/2/2022 0:00,G4,1970,CID,"Cedar Rapids/Iowa City, IA",IA,61,PIE,"St. Petersburg, FL",FL,33,915,941,1250,1335,0,0,1090
1/2/2022 0:00,G4,2405,CID,"Cedar Rapids/Iowa City, IA",IA,61,SFB,"Sanford, FL",FL,33,2010,2028,2343,7,0,0,1078
1/2/2022 0:00,UA,1606,CID,"Cedar Rapids/Iowa City, IA",IA,61,DEN,"Denver, CO",CO,82,900,859,1016,1024,0,0,692
1/2/2022 0:00,UA,3501,CID,"Cedar Rapids/Iowa City, IA",IA,61,ORD,"Chicago, IL",IL,41,836,,958,,1,0,196
1/2/2022 0:00,UA,3727,CID,"Cedar Rapids/Iowa City, IA",IA,61,ORD,"Chicago, IL",IL,41,1130,1130,1259,1237,0,0,196
1/2/2022 0:00,UA,3756,CID,"Cedar Rapids/Iowa City, IA",IA,61,ORD,"Chicago, IL",IL,41,1445,1452,1614,1621,0,0,196
1/2/2022 0:00,UA,4664,CID,"Cedar Rapids/Iowa City, IA",IA,61,ORD,"Chicago, IL",IL,41,1845,1924,2014,2048,0,0,196
1/2/2022 0:00,UA,4744,CID,"Cedar Rapids/Iowa City, IA",IA,61,DEN,"Denver, CO",CO,82,1330,1344,1459,1455,0,0,692
1/2/2022 0:00,UA,5587,CID,"Cedar Rapids/Iowa City, IA",IA,61,DEN,"Denver, CO",CO,82,1620,1637,1749,1748,0,0,692
1/3/2022 0:00,AA,2950,CID,"Cedar Rapids/Iowa City, IA",IA,61,ORD,"Chicago, IL",IL,41,600,,730,,1,0,196
1/3/2022 0:00,AA,3009,CID,"Cedar Rapids/Iowa City, IA",IA,61,ORD,"Chicago, IL",IL,41,1248,1333,1406,1452,0,0,196
1/3/2022 0:00,AA,3661,CID,"Cedar Rapids/Iowa City, IA",IA,61,ORD,"Chicago, IL",IL,41,1030,1021,1148,1133,0,0,196
1/3/2022 0:00,AA,5177,CID,"Cedar Rapids/Iowa City, IA",IA,61,CLT,"Charlotte, NC",NC,36,1352,1535,1704,1841,0,0,742
1/3/2022 0:00,AA,5303,CID,"Cedar Rapids/Iowa City, IA",IA,61,CLT,"Charlotte, NC",NC,36,651,721,1022,1040,0,0,742
1/3/2022 0:00,AA,5773,CID,"Cedar Rapids/Iowa City, IA",IA,61,DFW,"Dallas/Fort Worth, TX",TX,74,700,714,939,937,0,0,685
1/3/2022 0:00,AA,5863,CID,"Cedar Rapids/Iowa City, IA",IA,61,PHX,"Phoenix, AZ",AZ,81,1659,,1933,,1,0,1252
1/3/2022 0:00,AA,5997,CID,"Cedar Rapids/Iowa City, IA",IA,61,DFW,"Dallas/Fort Worth, TX",TX,74,1621,1742,1852,2004,0,0,685
1/3/2022 0:00,DL,4711,CID,"Cedar Rapids/Iowa City, IA",IA,61,ATL,"Atlanta, GA",GA,34,548,555,905,902,0,0,694
1/3/2022 0:00,DL,4754,CID,"Cedar Rapids/Iowa City, IA",IA,61,ATL,"Atlanta, GA",GA,34,1707,1735,2010,2033,0,0,694
1/3/2022 0:00,DL,4911,CID,"Cedar Rapids/Iowa City, IA",IA,61,DTW,"Detroit, MI",MI,43,640,,927,,1,0,430
1/3/2022 0:00,DL,4924,CID,"Cedar Rapids/Iowa City, IA",IA,61,MSP,"Minneapolis, MN",MN,63,530,,652,,1,0,220
1/3/2022 0:00,DL,5132,CID,"Cedar Rapids/Iowa City, IA",IA,61,MSP,"Minneapolis, MN",MN,63,1341,1345,1501,1451,0,0,220
1/3/2022 0:00,DL,5220,CID,"Cedar Rapids/Iowa City, IA",IA,61,DTW,"Detroit, MI",MI,43,1240,1238,1515,1501,0,0,430
1/3/2022 0:00,DL,5231,CID,"Cedar Rapids/Iowa City, IA",IA,61,MSP,"Minneapolis, MN",MN,63,1747,1751,1905,1905,0,0,220
1/3/2022 0:00,F9,691,CID,"Cedar Rapids/Iowa City, IA",IA,61,DEN,"Denver, CO",CO,82,1946,1939,2100,2044,0,0,692
1/3/2022 0:00,G4,113,CID,"Cedar Rapids/Iowa City, IA",IA,61,LAS,"Las Vegas, NV",NV,85,1236,1308,1400,1428,0,0,1319
1/3/2022 0:00,G4,1405,CID,"Cedar Rapids/Iowa City, IA",IA,61,AZA,"Phoenix, AZ",AZ,81,2131,2155,2342,7,0,0,1240
