FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1260,CLE,"Cleveland, OH",OH,44,DFW,"Dallas/Fort Worth, TX",TX,74,1555,1718,1809,1941,0,0,1021
1/1/2022 0:00,AA,1464,CLE,"Cleveland, OH",OH,44,PHX,"Phoenix, AZ",AZ,81,1659,1656,1953,1921,0,0,1737
1/1/2022 0:00,AA,1590,CLE,"Cleveland, OH",OH,44,DFW,"Dallas/Fort Worth, TX",TX,74,700,704,923,926,0,0,1021
1/1/2022 0:00,AA,2021,CLE,"Cleveland, OH",OH,44,CLT,"Charlotte, NC",NC,36,1020,1014,1205,1143,0,0,430
1/1/2022 0:00,AA,2887,CLE,"Cleveland, OH",OH,44,MIA,"Miami, FL",FL,33,600,554,915,904,0,0,1080
1/1/2022 0:00,AA,2977,CLE,"Cleveland, OH",OH,44,ORD,"Chicago, IL",IL,41,630,623,718,651,0,0,315
1/1/2022 0:00,AA,3174,CLE,"Cleveland, OH",OH,44,ORD,"Chicago, IL",IL,41,1528,,1605,,1,0,315
1/1/2022 0:00,AA,346,CLE,"Cleveland, OH",OH,44,DFW,"Dallas/Fort Worth, TX",TX,74,1325,1320,1540,1557,0,0,1021
1/1/2022 0:00,AA,3538,CLE,"Cleveland, OH",OH,44,MIA,"Miami, FL",FL,33,1818,1826,2133,2149,0,0,1080
1/1/2022 0:00,AA,4523,CLE,"Cleveland, OH",OH,44,JFK,"New York, NY",NY,22,1230,1230,1415,1419,0,0,425
1/1/2022 0:00,AA,4571,CLE,"Cleveland, OH",OH,44,LGA,"New York, NY",NY,22,802,750,946,910,0,0,419
1/1/2022 0:00,AA,4629,CLE,"Cleveland, OH",OH,44,DCA,"Washington, DC",VA,38,628,622,800,730,0,0,310
1/1/2022 0:00,AA,4704,CLE,"Cleveland, OH",OH,44,LGA,"New York, NY",NY,22,1751,1809,1929,1933,0,0,419
1/1/2022 0:00,AA,4713,CLE,"Cleveland, OH",OH,44,DCA,"Washington, DC",VA,38,1431,1546,1559,1711,0,0,310
1/1/2022 0:00,AA,4835,CLE,"Cleveland, OH",OH,44,LGA,"New York, NY",NY,22,1701,1733,1839,1914,0,0,419
