FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1279,CMH,"Columbus, OH",OH,44,DFW,"Dallas/Fort Worth, TX",TX,74,1156,1157,1354,1411,0,0,926
1/1/2022 0:00,AA,1958,CMH,"Columbus, OH",OH,44,PHX,"Phoenix, AZ",AZ,81,705,701,1001,932,0,0,1670
1/1/2022 0:00,AA,2194,CMH,"Columbus, OH",OH,44,MIA,"Miami, FL",FL,33,615,610,920,848,0,0,990
1/1/2022 0:00,AA,2337,CMH,"Columbus, OH",OH,44,DFW,"Dallas/Fort Worth, TX",TX,74,1947,1941,2144,2210,0,0,926
1/1/2022 0:00,AA,3833,CMH,"Columbus, OH",OH,44,CLT,"Charlotte, NC",NC,36,819,813,1003,947,0,0,347
1/1/2022 0:00,AA,4035,CMH,"Columbus, OH",OH,44,DCA,"Washington, DC",VA,38,801,759,924,911,0,0,323
1/1/2022 0:00,AA,4197,CMH,"Columbus, OH",OH,44,ORD,"Chicago, IL",IL,41,1600,,1631,,1,0,296
1/1/2022 0:00,AA,437,CMH,"Columbus, OH",OH,44,DFW,"Dallas/Fort Worth, TX",TX,74,1550,1550,1753,1800,0,0,926
1/1/2022 0:00,AA,4438,CMH,"Columbus, OH",OH,44,ORD,"Chicago, IL",IL,41,1114,1119,1200,1140,0,0,296
1/1/2022 0:00,AA,4440,CMH,"Columbus, OH",OH,44,MIA,"Miami, FL",FL,33,835,833,1141,1116,0,0,990
1/1/2022 0:00,AA,4476,CMH,"Columbus, OH",OH,44,ORD,"Chicago, IL",IL,41,736,732,821,758,0,0,296
1/1/2022 0:00,AA,4556,CMH,"Columbus, OH",OH,44,LGA,"New York, NY",NY,22,917,1011,1112,1150,0,0,479
1/1/2022 0:00,AA,4559,CMH,"Columbus, OH",OH,44,LGA,"New York, NY",NY,22,1633,1633,1819,1813,0,0,479
