FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1324,1323,1500,1508,0,0,391
1/1/2022 0:00,UA,5475,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,710,,846,,1,0,391
1/2/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1324,1328,1500,1454,0,0,391
1/2/2022 0:00,UA,5475,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,710,,846,,1,0,391
1/3/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1324,1359,1500,1522,0,0,391
1/3/2022 0:00,UA,4951,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,710,,846,,1,0,391
1/4/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1325,1355,1500,1511,0,0,391
1/4/2022 0:00,UA,5475,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,710,,846,,1,0,391
1/5/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1325,,1500,,1,0,391
1/5/2022 0:00,UA,5475,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,710,,846,,1,0,391
1/6/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1325,1644,1500,1830,0,0,391
1/6/2022 0:00,UA,5475,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,710,752,846,937,0,0,391
1/7/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1325,1315,1500,1503,0,0,391
1/7/2022 0:00,UA,5475,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,710,824,846,1006,0,0,391
1/8/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1325,1323,1500,1446,0,0,391
1/8/2022 0:00,UA,5475,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,710,823,846,953,0,0,391
1/9/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1325,1348,1500,1510,0,0,391
1/9/2022 0:00,UA,5475,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,710,735,846,945,0,0,391
1/10/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1325,1328,1500,1453,0,0,391
1/10/2022 0:00,UA,5475,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,710,709,846,854,0,0,391
1/11/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1325,1341,1500,1501,0,0,391
1/11/2022 0:00,UA,5475,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,710,713,846,844,0,0,391
1/12/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1325,1316,1500,1441,0,0,391
1/12/2022 0:00,UA,5475,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,710,710,846,822,0,0,391
1/13/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1325,1315,1500,1436,0,0,391
1/13/2022 0:00,UA,5475,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,710,700,846,823,0,0,391
1/14/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1325,1622,1500,1746,0,0,391
1/14/2022 0:00,UA,5475,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,710,706,846,910,0,0,391
1/15/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1325,1423,1500,1541,0,0,391
1/15/2022 0:00,UA,5475,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,710,710,846,837,0,0,391
1/16/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1325,1316,1500,1443,0,0,391
1/16/2022 0:00,UA,5475,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,710,708,846,830,0,0,391
1/17/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1325,1315,1500,1431,0,0,391
1/17/2022 0:00,UA,5475,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,710,654,846,816,0,0,391
1/18/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1325,1316,1500,1442,0,0,391
1/18/2022 0:00,UA,5475,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,710,717,846,842,0,0,391
1/19/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1325,1421,1500,1547,0,0,391
1/19/2022 0:00,UA,5475,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,710,702,846,942,0,0,391
1/20/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1325,1316,1500,1439,0,0,391
1/20/2022 0:00,UA,5475,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,710,1039,846,1227,0,0,391
1/21/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1325,1315,1500,1454,0,0,391
1/21/2022 0:00,UA,5475,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,710,700,846,841,0,0,391
1/22/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1325,1315,1500,1436,0,0,391
1/22/2022 0:00,UA,5475,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,710,716,846,839,0,0,391
1/23/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1325,1317,1500,1450,0,0,391
1/23/2022 0:00,UA,5475,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,710,705,846,847,0,0,391
1/24/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1325,1321,1500,1454,0,0,391
1/24/2022 0:00,UA,5475,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,710,704,846,852,0,0,391
1/25/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1325,1408,1500,1541,0,0,391
1/25/2022 0:00,UA,5475,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,710,,846,,1,0,391
1/26/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1325,1420,1500,1546,0,0,391
1/26/2022 0:00,UA,5475,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,710,704,846,832,0,0,391
1/27/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1325,1517,1500,1641,0,0,391
1/27/2022 0:00,UA,5475,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,710,,846,,1,0,391
1/28/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1325,1318,1500,1454,0,0,391
1/28/2022 0:00,UA,5475,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,710,659,846,834,0,0,391
1/29/2022 0:00,UA,4706,COD,"Cody, WY",WY,88,DEN,"Denver, CO",CO,82,1325,1311,1500,1436,0,0,391
