FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,4477,CWA,"Mosinee, WI",WI,45,ORD,"Chicago, IL",IL,41,1020,1050,1139,1203,0,0,213
1/1/2022 0:00,AA,4478,CWA,"Mosinee, WI",WI,45,ORD,"Chicago, IL",IL,41,1515,,1640,,1,0,213
1/1/2022 0:00,DL,5054,CWA,"Mosinee, WI",WI,45,MSP,"Minneapolis, MN",MN,63,910,906,1025,1011,0,0,175
1/1/2022 0:00,DL,5116,CWA,"Mosinee, WI",WI,45,DTW,"Detroit, MI",MI,43,820,815,1052,1023,0,0,363
1/1/2022 0:00,UA,3829,CWA,"Mosinee, WI",WI,45,ORD,"Chicago, IL",IL,41,625,,759,,1,0,213
1/1/2022 0:00,UA,3850,CWA,"Mosinee, WI",WI,45,ORD,"Chicago, IL",IL,41,1544,,1710,,1,0,213
1/2/2022 0:00,AA,3788,CWA,"Mosinee, WI",WI,45,ORD,"Chicago, IL",IL,41,540,730,720,852,0,0,213
1/2/2022 0:00,AA,4478,CWA,"Mosinee, WI",WI,45,ORD,"Chicago, IL",IL,41,1515,1543,1640,1657,0,0,213
1/2/2022 0:00,DL,5054,CWA,"Mosinee, WI",WI,45,MSP,"Minneapolis, MN",MN,63,859,859,1015,1002,0,0,175
1/2/2022 0:00,DL,5116,CWA,"Mosinee, WI",WI,45,DTW,"Detroit, MI",MI,43,658,,930,,1,0,363
1/2/2022 0:00,DL,5242,CWA,"Mosinee, WI",WI,45,MSP,"Minneapolis, MN",MN,63,1540,1535,1700,1626,0,0,175
1/2/2022 0:00,UA,3829,CWA,"Mosinee, WI",WI,45,ORD,"Chicago, IL",IL,41,625,,759,,1,0,213
1/2/2022 0:00,UA,3850,CWA,"Mosinee, WI",WI,45,ORD,"Chicago, IL",IL,41,1544,1657,1710,1823,0,0,213
1/3/2022 0:00,AA,3788,CWA,"Mosinee, WI",WI,45,ORD,"Chicago, IL",IL,41,540,541,720,730,0,0,213
1/3/2022 0:00,AA,4478,CWA,"Mosinee, WI",WI,45,ORD,"Chicago, IL",IL,41,1515,1516,1640,1633,0,0,213
1/3/2022 0:00,DL,5054,CWA,"Mosinee, WI",WI,45,MSP,"Minneapolis, MN",MN,63,839,838,955,950,0,0,175
1/3/2022 0:00,DL,5116,CWA,"Mosinee, WI",WI,45,DTW,"Detroit, MI",MI,43,658,937,930,1202,0,0,363
1/3/2022 0:00,DL,5242,CWA,"Mosinee, WI",WI,45,MSP,"Minneapolis, MN",MN,63,1540,1705,1700,1814,0,0,175
1/3/2022 0:00,UA,3829,CWA,"Mosinee, WI",WI,45,ORD,"Chicago, IL",IL,41,625,653,759,816,0,0,213
1/3/2022 0:00,UA,3850,CWA,"Mosinee, WI",WI,45,ORD,"Chicago, IL",IL,41,1544,1651,1710,1809,0,0,213
1/4/2022 0:00,AA,3788,CWA,"Mosinee, WI",WI,45,ORD,"Chicago, IL",IL,41,1030,1029,1150,1159,0,0,213
1/4/2022 0:00,AA,4143,CWA,"Mosinee, WI",WI,45,ORD,"Chicago, IL",IL,41,1455,1447,1623,1559,0,0,213
1/4/2022 0:00,DL,5054,CWA,"Mosinee, WI",WI,45,MSP,"Minneapolis, MN",MN,63,839,837,955,933,0,0,175
1/4/2022 0:00,DL,5116,CWA,"Mosinee, WI",WI,45,DTW,"Detroit, MI",MI,43,658,654,930,920,0,0,363
1/4/2022 0:00,DL,5242,CWA,"Mosinee, WI",WI,45,MSP,"Minneapolis, MN",MN,63,1540,1600,1700,1659,0,0,175
1/5/2022 0:00,AA,3788,CWA,"Mosinee, WI",WI,45,ORD,"Chicago, IL",IL,41,1030,1025,1150,1226,0,0,213
1/5/2022 0:00,AA,4143,CWA,"Mosinee, WI",WI,45,ORD,"Chicago, IL",IL,41,1455,1444,1623,1624,0,0,213
1/5/2022 0:00,DL,5054,CWA,"Mosinee, WI",WI,45,MSP,"Minneapolis, MN",MN,63,800,911,914,1032,0,0,175
