FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,UA,5046,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,1130,1143,1231,1258,0,0,90
1/1/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,745,,846,,1,0,90
1/2/2022 0:00,UA,5046,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,1130,1124,1231,1212,0,0,90
1/2/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,607,710,647,0,0,90
1/3/2022 0:00,UA,5046,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,1130,1223,1231,1255,0,0,90
1/3/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,614,710,651,0,0,90
1/4/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,,710,,1,0,90
1/5/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,558,710,642,0,0,90
1/6/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,,710,,1,0,90
1/7/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,603,710,639,0,0,90
1/8/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,608,710,639,0,0,90
1/9/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,604,710,657,0,0,90
1/10/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,602,710,634,0,0,90
1/11/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,606,710,636,0,0,90
1/12/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,601,710,632,0,0,90
1/13/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,558,710,628,0,0,90
1/14/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,600,710,645,0,0,90
1/15/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,602,710,644,0,0,90
1/16/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,606,710,635,0,0,90
1/17/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,606,710,633,0,0,90
1/18/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,601,710,632,0,0,90
1/19/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,559,710,652,0,0,90
1/20/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,601,710,655,0,0,90
1/21/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,601,710,639,0,0,90
1/22/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,559,710,645,0,0,90
1/23/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,609,710,654,0,0,90
1/24/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,600,710,629,0,0,90
1/25/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,601,710,720,0,0,90
1/26/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,558,710,641,0,0,90
1/27/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,600,710,653,0,0,90
1/28/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,604,710,640,0,0,90
1/29/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,608,710,637,0,0,90
1/30/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,557,710,632,0,0,90
1/31/2022 0:00,UA,5173,CYS,"Cheyenne, WY",WY,88,DEN,"Denver, CO",CO,82,609,726,710,805,0,0,90
