FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,5136,DAB,"Daytona Beach, FL",FL,33,PHL,"Philadelphia, PA",PA,23,1638,1831,1856,2050,0,0,808
1/1/2022 0:00,AA,5178,DAB,"Daytona Beach, FL",FL,33,CLT,"Charlotte, NC",NC,36,622,618,810,807,0,0,416
1/1/2022 0:00,AA,5221,DAB,"Daytona Beach, FL",FL,33,CLT,"Charlotte, NC",NC,36,1217,1207,1359,1349,0,0,416
1/1/2022 0:00,AA,5543,DAB,"Daytona Beach, FL",FL,33,CLT,"Charlotte, NC",NC,36,1717,1706,1857,1839,0,0,416
1/1/2022 0:00,AA,5791,DAB,"Daytona Beach, FL",FL,33,DFW,"Dallas/Fort Worth, TX",TX,74,1732,1751,1949,2002,0,0,981
1/1/2022 0:00,DL,2545,DAB,"Daytona Beach, FL",FL,33,ATL,"Atlanta, GA",GA,34,1535,1522,1705,1639,0,0,366
1/1/2022 0:00,DL,2643,DAB,"Daytona Beach, FL",FL,33,ATL,"Atlanta, GA",GA,34,600,557,726,715,0,0,366
1/1/2022 0:00,DL,2939,DAB,"Daytona Beach, FL",FL,33,ATL,"Atlanta, GA",GA,34,1210,1205,1338,1323,0,0,366
1/2/2022 0:00,AA,5136,DAB,"Daytona Beach, FL",FL,33,PHL,"Philadelphia, PA",PA,23,1638,2052,1856,2255,0,0,808
1/2/2022 0:00,AA,5178,DAB,"Daytona Beach, FL",FL,33,CLT,"Charlotte, NC",NC,36,622,617,810,755,0,0,416
1/2/2022 0:00,AA,5221,DAB,"Daytona Beach, FL",FL,33,CLT,"Charlotte, NC",NC,36,1217,1245,1359,1428,0,0,416
1/2/2022 0:00,AA,5543,DAB,"Daytona Beach, FL",FL,33,CLT,"Charlotte, NC",NC,36,1717,1729,1857,1903,0,0,416
1/2/2022 0:00,AA,5639,DAB,"Daytona Beach, FL",FL,33,CLT,"Charlotte, NC",NC,36,2004,2029,2147,2227,0,0,416
1/2/2022 0:00,AA,5791,DAB,"Daytona Beach, FL",FL,33,DFW,"Dallas/Fort Worth, TX",TX,74,1732,1744,1949,1950,0,0,981
1/2/2022 0:00,DL,2545,DAB,"Daytona Beach, FL",FL,33,ATL,"Atlanta, GA",GA,34,1528,1528,1658,1701,0,0,366
1/2/2022 0:00,DL,2643,DAB,"Daytona Beach, FL",FL,33,ATL,"Atlanta, GA",GA,34,600,609,727,723,0,0,366
1/2/2022 0:00,DL,2939,DAB,"Daytona Beach, FL",FL,33,ATL,"Atlanta, GA",GA,34,1231,1225,1359,1350,0,0,366
1/2/2022 0:00,DL,2955,DAB,"Daytona Beach, FL",FL,33,ATL,"Atlanta, GA",GA,34,1907,2039,2038,2214,0,0,366
1/3/2022 0:00,AA,5136,DAB,"Daytona Beach, FL",FL,33,PHL,"Philadelphia, PA",PA,23,1638,1918,1856,2140,0,0,808
1/3/2022 0:00,AA,5178,DAB,"Daytona Beach, FL",FL,33,CLT,"Charlotte, NC",NC,36,622,708,810,846,0,0,416
1/3/2022 0:00,AA,5221,DAB,"Daytona Beach, FL",FL,33,CLT,"Charlotte, NC",NC,36,1217,1213,1359,1426,0,0,416
1/3/2022 0:00,AA,5543,DAB,"Daytona Beach, FL",FL,33,CLT,"Charlotte, NC",NC,36,1717,1731,1857,1902,0,0,416
1/3/2022 0:00,AA,5639,DAB,"Daytona Beach, FL",FL,33,CLT,"Charlotte, NC",NC,36,2004,2119,2147,2308,0,0,416
1/3/2022 0:00,AA,5791,DAB,"Daytona Beach, FL",FL,33,DFW,"Dallas/Fort Worth, TX",TX,74,1732,1726,1949,1934,0,0,981
1/3/2022 0:00,DL,2545,DAB,"Daytona Beach, FL",FL,33,ATL,"Atlanta, GA",GA,34,1528,1528,1658,1645,0,0,366
1/3/2022 0:00,DL,2643,DAB,"Daytona Beach, FL",FL,33,ATL,"Atlanta, GA",GA,34,600,612,727,734,0,0,366
1/3/2022 0:00,DL,2939,DAB,"Daytona Beach, FL",FL,33,ATL,"Atlanta, GA",GA,34,1231,,1359,,1,0,366
1/3/2022 0:00,DL,2955,DAB,"Daytona Beach, FL",FL,33,ATL,"Atlanta, GA",GA,34,1907,1922,2038,2048,0,0,366
1/4/2022 0:00,AA,5178,DAB,"Daytona Beach, FL",FL,33,CLT,"Charlotte, NC",NC,36,630,624,819,746,0,0,416
1/4/2022 0:00,AA,5221,DAB,"Daytona Beach, FL",FL,33,CLT,"Charlotte, NC",NC,36,1154,1445,1336,1618,0,0,416
1/4/2022 0:00,AA,5479,DAB,"Daytona Beach, FL",FL,33,CLT,"Charlotte, NC",NC,36,1657,1657,1841,1857,0,0,416
1/4/2022 0:00,AA,5543,DAB,"Daytona Beach, FL",FL,33,CLT,"Charlotte, NC",NC,36,1330,1622,1513,1800,0,0,416
1/4/2022 0:00,DL,2545,DAB,"Daytona Beach, FL",FL,33,ATL,"Atlanta, GA",GA,34,1528,2044,1658,2231,0,0,366
1/4/2022 0:00,DL,2643,DAB,"Daytona Beach, FL",FL,33,ATL,"Atlanta, GA",GA,34,600,557,727,715,0,0,366
1/4/2022 0:00,DL,2939,DAB,"Daytona Beach, FL",FL,33,ATL,"Atlanta, GA",GA,34,1231,1225,1359,1345,0,0,366
1/4/2022 0:00,DL,2955,DAB,"Daytona Beach, FL",FL,33,ATL,"Atlanta, GA",GA,34,1907,2103,2038,2227,0,0,366
1/5/2022 0:00,AA,5178,DAB,"Daytona Beach, FL",FL,33,CLT,"Charlotte, NC",NC,36,630,625,819,807,0,0,416
1/5/2022 0:00,AA,5221,DAB,"Daytona Beach, FL",FL,33,CLT,"Charlotte, NC",NC,36,1154,1145,1336,1320,0,0,416
1/5/2022 0:00,AA,5479,DAB,"Daytona Beach, FL",FL,33,CLT,"Charlotte, NC",NC,36,1657,1706,1841,1835,0,0,416
1/5/2022 0:00,AA,5543,DAB,"Daytona Beach, FL",FL,33,CLT,"Charlotte, NC",NC,36,1330,1439,1513,1608,0,0,416
1/5/2022 0:00,AA,5639,DAB,"Daytona Beach, FL",FL,33,CLT,"Charlotte, NC",NC,36,1851,1841,2036,2018,0,0,416
1/5/2022 0:00,DL,2118,DAB,"Daytona Beach, FL",FL,33,ATL,"Atlanta, GA",GA,34,1726,1832,1859,2000,0,0,366
1/5/2022 0:00,DL,2643,DAB,"Daytona Beach, FL",FL,33,ATL,"Atlanta, GA",GA,34,600,600,724,720,0,0,366
1/5/2022 0:00,DL,2939,DAB,"Daytona Beach, FL",FL,33,ATL,"Atlanta, GA",GA,34,1230,1229,1358,1340,0,0,366
1/6/2022 0:00,AA,5178,DAB,"Daytona Beach, FL",FL,33,CLT,"Charlotte, NC",NC,36,630,624,819,747,0,0,416
1/6/2022 0:00,AA,5221,DAB,"Daytona Beach, FL",FL,33,CLT,"Charlotte, NC",NC,36,1154,1150,1336,1330,0,0,416
1/6/2022 0:00,AA,5479,DAB,"Daytona Beach, FL",FL,33,CLT,"Charlotte, NC",NC,36,1657,1759,1841,1944,0,0,416
1/6/2022 0:00,AA,5543,DAB,"Daytona Beach, FL",FL,33,CLT,"Charlotte, NC",NC,36,1330,1329,1513,1502,0,0,416
1/6/2022 0:00,AA,5639,DAB,"Daytona Beach, FL",FL,33,CLT,"Charlotte, NC",NC,36,1851,1838,2036,2026,0,0,416
1/6/2022 0:00,DL,2118,DAB,"Daytona Beach, FL",FL,33,ATL,"Atlanta, GA",GA,34,1726,1719,1859,1853,0,0,366
