FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3657,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,1505,,1616,,1,0,147
1/1/2022 0:00,AA,4491,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,1040,1035,1151,1158,0,0,147
1/2/2022 0:00,AA,3657,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,1505,1456,1616,1611,0,0,147
1/2/2022 0:00,AA,4107,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,600,,717,,1,0,147
1/3/2022 0:00,AA,3657,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,1505,1452,1616,1554,0,0,147
1/3/2022 0:00,AA,4107,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,600,623,717,736,0,0,147
1/4/2022 0:00,AA,4107,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,815,838,935,939,0,0,147
1/5/2022 0:00,AA,4107,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,815,1029,935,1157,0,0,147
1/6/2022 0:00,AA,3657,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,1730,1723,1846,1822,0,0,147
1/6/2022 0:00,AA,4107,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,605,637,724,751,0,0,147
1/7/2022 0:00,AA,3657,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,1730,1725,1846,1821,0,0,147
1/7/2022 0:00,AA,4107,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,605,558,724,707,0,0,147
1/8/2022 0:00,AA,4107,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,605,657,724,812,0,0,147
1/9/2022 0:00,AA,3657,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,1730,1718,1846,1831,0,0,147
1/9/2022 0:00,AA,4107,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,605,601,724,722,0,0,147
1/10/2022 0:00,AA,4107,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,815,808,935,918,0,0,147
1/11/2022 0:00,AA,4107,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,815,811,935,911,0,0,147
1/12/2022 0:00,AA,4107,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,815,803,935,909,0,0,147
1/13/2022 0:00,AA,3657,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,1730,1720,1846,1822,0,0,147
1/13/2022 0:00,AA,4107,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,605,554,724,704,0,0,147
1/14/2022 0:00,AA,3657,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,1730,1721,1846,1842,0,0,147
1/14/2022 0:00,AA,4107,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,605,557,724,646,0,0,147
1/15/2022 0:00,AA,4107,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,605,607,724,718,0,0,147
1/16/2022 0:00,AA,3657,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,1730,1722,1846,1814,0,0,147
1/16/2022 0:00,AA,4107,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,825,816,945,929,0,0,147
1/17/2022 0:00,AA,4107,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,815,812,935,923,0,0,147
1/18/2022 0:00,AA,4107,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,815,802,935,925,0,0,147
1/19/2022 0:00,AA,4107,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,815,803,935,906,0,0,147
1/20/2022 0:00,AA,3657,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,1730,1722,1846,1819,0,0,147
1/20/2022 0:00,AA,4107,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,605,557,724,704,0,0,147
1/21/2022 0:00,AA,3657,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,1730,1719,1846,1826,0,0,147
1/21/2022 0:00,AA,4107,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,605,557,724,713,0,0,147
1/22/2022 0:00,AA,4107,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,605,559,724,712,0,0,147
1/23/2022 0:00,AA,3657,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,1730,1725,1846,1857,0,0,147
1/23/2022 0:00,AA,4107,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,605,554,724,705,0,0,147
1/24/2022 0:00,AA,4107,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,815,1044,935,1139,0,0,147
1/25/2022 0:00,AA,4107,DBQ,"Dubuque, IA",IA,61,ORD,"Chicago, IL",IL,41,815,814,935,946,0,0,147
