FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,UA,4917,DIK,"Dickinson, ND",ND,66,DEN,"Denver, CO",CO,82,700,,903,,1,0,488
1/2/2022 0:00,UA,4370,DIK,"Dickinson, ND",ND,66,DEN,"Denver, CO",CO,82,1603,,1753,,1,0,488
1/2/2022 0:00,UA,4917,DIK,"Dickinson, ND",ND,66,DEN,"Denver, CO",CO,82,700,712,903,854,0,0,488
1/3/2022 0:00,UA,4370,DIK,"Dickinson, ND",ND,66,DEN,"Denver, CO",CO,82,1605,1601,1755,1758,0,0,488
1/3/2022 0:00,UA,4917,DIK,"Dickinson, ND",ND,66,DEN,"Denver, CO",CO,82,700,905,903,1109,0,0,488
1/4/2022 0:00,UA,4917,DIK,"Dickinson, ND",ND,66,DEN,"Denver, CO",CO,82,700,650,903,844,0,0,488
1/5/2022 0:00,UA,4370,DIK,"Dickinson, ND",ND,66,DEN,"Denver, CO",CO,82,1430,,1620,,1,0,488
1/5/2022 0:00,UA,4917,DIK,"Dickinson, ND",ND,66,DEN,"Denver, CO",CO,82,700,,903,,1,0,488
1/6/2022 0:00,UA,4370,DIK,"Dickinson, ND",ND,66,DEN,"Denver, CO",CO,82,1430,1426,1620,1613,0,0,488
1/6/2022 0:00,UA,4917,DIK,"Dickinson, ND",ND,66,DEN,"Denver, CO",CO,82,700,,903,,1,0,488
1/7/2022 0:00,UA,4370,DIK,"Dickinson, ND",ND,66,DEN,"Denver, CO",CO,82,1430,1421,1620,1615,0,0,488
1/7/2022 0:00,UA,4917,DIK,"Dickinson, ND",ND,66,DEN,"Denver, CO",CO,82,700,653,903,845,0,0,488
1/8/2022 0:00,UA,4917,DIK,"Dickinson, ND",ND,66,DEN,"Denver, CO",CO,82,700,649,903,854,0,0,488
1/9/2022 0:00,UA,4370,DIK,"Dickinson, ND",ND,66,DEN,"Denver, CO",CO,82,1430,1423,1620,1553,0,0,488
1/9/2022 0:00,UA,4917,DIK,"Dickinson, ND",ND,66,DEN,"Denver, CO",CO,82,700,656,903,929,0,0,488
1/10/2022 0:00,UA,4370,DIK,"Dickinson, ND",ND,66,DEN,"Denver, CO",CO,82,1430,1420,1620,1555,0,0,488
1/10/2022 0:00,UA,4917,DIK,"Dickinson, ND",ND,66,DEN,"Denver, CO",CO,82,700,657,903,848,0,0,488
1/11/2022 0:00,UA,4917,DIK,"Dickinson, ND",ND,66,DEN,"Denver, CO",CO,82,700,648,903,823,0,0,488
1/12/2022 0:00,UA,4370,DIK,"Dickinson, ND",ND,66,DEN,"Denver, CO",CO,82,1430,1657,1620,1827,0,0,488
1/12/2022 0:00,UA,4917,DIK,"Dickinson, ND",ND,66,DEN,"Denver, CO",CO,82,700,650,903,825,0,0,488
1/13/2022 0:00,UA,4370,DIK,"Dickinson, ND",ND,66,DEN,"Denver, CO",CO,82,1430,1419,1620,1552,0,0,488
1/13/2022 0:00,UA,4917,DIK,"Dickinson, ND",ND,66,DEN,"Denver, CO",CO,82,700,656,903,905,0,0,488
