FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,DL,4492,DLH,"Duluth, MN",MN,63,MSP,"Minneapolis, MN",MN,63,545,549,657,658,0,0,144
1/1/2022 0:00,DL,4499,DLH,"Duluth, MN",MN,63,MSP,"Minneapolis, MN",MN,63,1730,1724,1847,1820,0,0,144
1/1/2022 0:00,DL,4956,DLH,"Duluth, MN",MN,63,MSP,"Minneapolis, MN",MN,63,1052,1055,1201,1153,0,0,144
1/1/2022 0:00,UA,3542,DLH,"Duluth, MN",MN,63,ORD,"Chicago, IL",IL,41,1508,,1709,,1,0,397
1/1/2022 0:00,UA,3565,DLH,"Duluth, MN",MN,63,ORD,"Chicago, IL",IL,41,745,,946,,1,0,397
1/2/2022 0:00,DL,4492,DLH,"Duluth, MN",MN,63,MSP,"Minneapolis, MN",MN,63,543,543,657,653,0,0,144
1/2/2022 0:00,DL,4499,DLH,"Duluth, MN",MN,63,MSP,"Minneapolis, MN",MN,63,1731,1751,1849,1836,0,0,144
1/2/2022 0:00,DL,4721,DLH,"Duluth, MN",MN,63,MSP,"Minneapolis, MN",MN,63,1432,1427,1546,1542,0,0,144
1/2/2022 0:00,DL,4956,DLH,"Duluth, MN",MN,63,MSP,"Minneapolis, MN",MN,63,1050,1051,1200,1144,0,0,144
1/2/2022 0:00,UA,3542,DLH,"Duluth, MN",MN,63,ORD,"Chicago, IL",IL,41,1508,1502,1709,1640,0,0,397
1/2/2022 0:00,UA,3565,DLH,"Duluth, MN",MN,63,ORD,"Chicago, IL",IL,41,745,,946,,1,0,397
1/3/2022 0:00,DL,4044,DLH,"Duluth, MN",MN,63,MSP,"Minneapolis, MN",MN,63,704,659,820,810,0,0,144
1/3/2022 0:00,DL,4492,DLH,"Duluth, MN",MN,63,MSP,"Minneapolis, MN",MN,63,543,541,657,639,0,0,144
1/3/2022 0:00,DL,4499,DLH,"Duluth, MN",MN,63,MSP,"Minneapolis, MN",MN,63,1731,1900,1849,1958,0,0,144
1/3/2022 0:00,DL,4721,DLH,"Duluth, MN",MN,63,MSP,"Minneapolis, MN",MN,63,1432,1427,1546,1514,0,0,144
1/3/2022 0:00,DL,4956,DLH,"Duluth, MN",MN,63,MSP,"Minneapolis, MN",MN,63,1050,1112,1200,1158,0,0,144
1/3/2022 0:00,UA,3565,DLH,"Duluth, MN",MN,63,ORD,"Chicago, IL",IL,41,745,1207,946,1425,0,0,397
1/3/2022 0:00,UA,5250,DLH,"Duluth, MN",MN,63,ORD,"Chicago, IL",IL,41,1507,1612,1708,1744,0,0,397
1/4/2022 0:00,DL,4044,DLH,"Duluth, MN",MN,63,MSP,"Minneapolis, MN",MN,63,704,728,820,827,0,0,144
1/4/2022 0:00,DL,4492,DLH,"Duluth, MN",MN,63,MSP,"Minneapolis, MN",MN,63,543,,657,,1,0,144
1/4/2022 0:00,DL,4499,DLH,"Duluth, MN",MN,63,MSP,"Minneapolis, MN",MN,63,1731,1725,1849,1833,0,0,144
1/4/2022 0:00,DL,4721,DLH,"Duluth, MN",MN,63,MSP,"Minneapolis, MN",MN,63,1432,1421,1546,1537,0,0,144
1/4/2022 0:00,DL,4956,DLH,"Duluth, MN",MN,63,MSP,"Minneapolis, MN",MN,63,1050,1209,1200,1323,0,0,144
1/4/2022 0:00,UA,3900,DLH,"Duluth, MN",MN,63,ORD,"Chicago, IL",IL,41,1154,1138,1355,1338,0,0,397
1/4/2022 0:00,UA,4649,DLH,"Duluth, MN",MN,63,ORD,"Chicago, IL",IL,41,745,745,946,943,0,0,397
1/5/2022 0:00,DL,3746,DLH,"Duluth, MN",MN,63,MSP,"Minneapolis, MN",MN,63,800,,915,,1,0,144
1/5/2022 0:00,DL,3884,DLH,"Duluth, MN",MN,63,MSP,"Minneapolis, MN",MN,63,1615,1639,1727,1802,0,0,144
1/5/2022 0:00,DL,3903,DLH,"Duluth, MN",MN,63,MSP,"Minneapolis, MN",MN,63,546,540,659,714,0,0,144
1/5/2022 0:00,DL,3946,DLH,"Duluth, MN",MN,63,MSP,"Minneapolis, MN",MN,63,1050,1201,1200,1310,0,0,144
1/5/2022 0:00,UA,3890,DLH,"Duluth, MN",MN,63,ORD,"Chicago, IL",IL,41,745,820,946,1049,0,0,397
1/5/2022 0:00,UA,3900,DLH,"Duluth, MN",MN,63,ORD,"Chicago, IL",IL,41,1154,1239,1355,1442,0,0,397
1/6/2022 0:00,DL,3884,DLH,"Duluth, MN",MN,63,MSP,"Minneapolis, MN",MN,63,1445,1920,1550,2047,0,0,144
1/6/2022 0:00,DL,3903,DLH,"Duluth, MN",MN,63,MSP,"Minneapolis, MN",MN,63,546,542,659,653,0,0,144
