FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3162,DRO,"Durango, CO",CO,82,DFW,"Dallas/Fort Worth, TX",TX,74,1634,1624,1937,1944,0,0,674
1/1/2022 0:00,AA,3170,DRO,"Durango, CO",CO,82,DFW,"Dallas/Fort Worth, TX",TX,74,1458,1508,1759,1816,0,0,674
1/1/2022 0:00,AA,3286,DRO,"Durango, CO",CO,82,PHX,"Phoenix, AZ",AZ,81,1135,1128,1306,1317,0,0,351
1/1/2022 0:00,AA,5769,DRO,"Durango, CO",CO,82,DFW,"Dallas/Fort Worth, TX",TX,74,1021,,1321,,1,0,674
1/1/2022 0:00,UA,4246,DRO,"Durango, CO",CO,82,DEN,"Denver, CO",CO,82,1515,1713,1639,1845,0,0,251
1/1/2022 0:00,UA,5400,DRO,"Durango, CO",CO,82,DEN,"Denver, CO",CO,82,1805,1837,1929,2013,0,0,251
1/1/2022 0:00,UA,5660,DRO,"Durango, CO",CO,82,DEN,"Denver, CO",CO,82,1335,,1459,,1,0,251
1/1/2022 0:00,UA,5918,DRO,"Durango, CO",CO,82,DEN,"Denver, CO",CO,82,735,734,904,918,0,0,251
1/1/2022 0:00,UA,5931,DRO,"Durango, CO",CO,82,DEN,"Denver, CO",CO,82,1124,1138,1243,1308,0,0,251
1/2/2022 0:00,AA,3162,DRO,"Durango, CO",CO,82,DFW,"Dallas/Fort Worth, TX",TX,74,1634,1640,1937,1956,0,0,674
1/2/2022 0:00,AA,3170,DRO,"Durango, CO",CO,82,DFW,"Dallas/Fort Worth, TX",TX,74,1458,1502,1759,1753,0,0,674
1/2/2022 0:00,AA,3259,DRO,"Durango, CO",CO,82,PHX,"Phoenix, AZ",AZ,81,600,550,744,800,0,0,351
1/2/2022 0:00,AA,3286,DRO,"Durango, CO",CO,82,PHX,"Phoenix, AZ",AZ,81,1135,,1306,,1,0,351
1/2/2022 0:00,AA,5769,DRO,"Durango, CO",CO,82,DFW,"Dallas/Fort Worth, TX",TX,74,1021,,1321,,1,0,674
1/2/2022 0:00,AA,5955,DRO,"Durango, CO",CO,82,DFW,"Dallas/Fort Worth, TX",TX,74,600,,924,,1,0,674
1/2/2022 0:00,UA,4246,DRO,"Durango, CO",CO,82,DEN,"Denver, CO",CO,82,1515,1712,1639,1823,0,0,251
1/2/2022 0:00,UA,4304,DRO,"Durango, CO",CO,82,DEN,"Denver, CO",CO,82,1135,,1259,,1,0,251
1/2/2022 0:00,UA,5400,DRO,"Durango, CO",CO,82,DEN,"Denver, CO",CO,82,1805,1755,1929,1931,0,0,251
1/2/2022 0:00,UA,5534,DRO,"Durango, CO",CO,82,DEN,"Denver, CO",CO,82,530,1457,659,1610,0,0,251
1/2/2022 0:00,UA,5660,DRO,"Durango, CO",CO,82,DEN,"Denver, CO",CO,82,1335,1341,1459,1505,0,0,251
1/2/2022 0:00,UA,5918,DRO,"Durango, CO",CO,82,DEN,"Denver, CO",CO,82,735,,904,,1,0,251
1/3/2022 0:00,AA,3162,DRO,"Durango, CO",CO,82,DFW,"Dallas/Fort Worth, TX",TX,74,1634,1804,1937,2104,0,0,674
1/3/2022 0:00,AA,3170,DRO,"Durango, CO",CO,82,DFW,"Dallas/Fort Worth, TX",TX,74,1458,,1759,,1,0,674
1/3/2022 0:00,AA,3259,DRO,"Durango, CO",CO,82,PHX,"Phoenix, AZ",AZ,81,600,601,744,734,0,0,351
1/3/2022 0:00,AA,3286,DRO,"Durango, CO",CO,82,PHX,"Phoenix, AZ",AZ,81,1135,1135,1306,1249,0,0,351
1/3/2022 0:00,AA,5769,DRO,"Durango, CO",CO,82,DFW,"Dallas/Fort Worth, TX",TX,74,1021,,1321,,1,0,674
1/3/2022 0:00,AA,5955,DRO,"Durango, CO",CO,82,DFW,"Dallas/Fort Worth, TX",TX,74,600,,924,,1,0,674
1/3/2022 0:00,F9,454,DRO,"Durango, CO",CO,82,DEN,"Denver, CO",CO,82,1553,1545,1717,1713,0,0,251
1/3/2022 0:00,F9,455,DRO,"Durango, CO",CO,82,LAS,"Las Vegas, NV",NV,85,1105,1058,1125,1130,0,0,418
1/3/2022 0:00,UA,4246,DRO,"Durango, CO",CO,82,DEN,"Denver, CO",CO,82,1515,1505,1639,1613,0,0,251
1/3/2022 0:00,UA,4304,DRO,"Durango, CO",CO,82,DEN,"Denver, CO",CO,82,1134,,1258,,1,0,251
1/3/2022 0:00,UA,5400,DRO,"Durango, CO",CO,82,DEN,"Denver, CO",CO,82,1805,1808,1929,1934,0,0,251
1/3/2022 0:00,UA,5534,DRO,"Durango, CO",CO,82,DEN,"Denver, CO",CO,82,530,1012,659,1149,0,0,251
1/3/2022 0:00,UA,5660,DRO,"Durango, CO",CO,82,DEN,"Denver, CO",CO,82,1336,1329,1500,1434,0,0,251
