FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1020,DTW,"Detroit, MI",MI,43,MIA,"Miami, FL",FL,33,606,606,930,922,0,0,1145
1/1/2022 0:00,AA,1171,DTW,"Detroit, MI",MI,43,CLT,"Charlotte, NC",NC,36,600,557,806,800,0,0,500
1/1/2022 0:00,AA,1297,DTW,"Detroit, MI",MI,43,PHX,"Phoenix, AZ",AZ,81,728,726,1025,1007,0,0,1671
1/1/2022 0:00,AA,1339,DTW,"Detroit, MI",MI,43,DFW,"Dallas/Fort Worth, TX",TX,74,1930,1950,2145,2255,0,0,986
1/1/2022 0:00,AA,1351,DTW,"Detroit, MI",MI,43,MIA,"Miami, FL",FL,33,1226,,1540,,1,0,1145
1/1/2022 0:00,AA,2038,DTW,"Detroit, MI",MI,43,CLT,"Charlotte, NC",NC,36,1943,1939,2136,2151,0,0,500
1/1/2022 0:00,AA,2491,DTW,"Detroit, MI",MI,43,DFW,"Dallas/Fort Worth, TX",TX,74,852,851,1116,1123,0,0,986
1/1/2022 0:00,AA,2982,DTW,"Detroit, MI",MI,43,ORD,"Chicago, IL",IL,41,845,834,930,856,0,0,235
1/1/2022 0:00,AA,3087,DTW,"Detroit, MI",MI,43,ORD,"Chicago, IL",IL,41,1345,,1415,,1,0,235
1/1/2022 0:00,AA,3195,DTW,"Detroit, MI",MI,43,ORD,"Chicago, IL",IL,41,1125,1143,1157,1209,0,0,235
1/1/2022 0:00,AA,3743,DTW,"Detroit, MI",MI,43,MIA,"Miami, FL",FL,33,1831,1824,2150,2212,0,0,1145
1/1/2022 0:00,AA,4735,DTW,"Detroit, MI",MI,43,LGA,"New York, NY",NY,22,832,827,1022,1009,0,0,502
1/1/2022 0:00,AA,4821,DTW,"Detroit, MI",MI,43,DCA,"Washington, DC",VA,38,605,559,747,723,0,0,405
1/1/2022 0:00,AA,4938,DTW,"Detroit, MI",MI,43,LGA,"New York, NY",NY,22,1601,1553,1745,1729,0,0,502
1/1/2022 0:00,AA,4995,DTW,"Detroit, MI",MI,43,LGA,"New York, NY",NY,22,1843,,2032,,1,0,502
1/1/2022 0:00,AA,5013,DTW,"Detroit, MI",MI,43,LGA,"New York, NY",NY,22,1323,1315,1504,1455,0,0,502
1/1/2022 0:00,AA,5286,DTW,"Detroit, MI",MI,43,PHL,"Philadelphia, PA",PA,23,1758,1907,1944,2130,0,0,453
1/1/2022 0:00,AA,5307,DTW,"Detroit, MI",MI,43,CLT,"Charlotte, NC",NC,36,1339,1333,1541,1523,0,0,500
1/1/2022 0:00,AA,5338,DTW,"Detroit, MI",MI,43,PHL,"Philadelphia, PA",PA,23,635,624,825,750,0,0,453
1/1/2022 0:00,AA,5421,DTW,"Detroit, MI",MI,43,DCA,"Washington, DC",VA,38,1225,1325,1358,1447,0,0,405
1/1/2022 0:00,AA,6139,DTW,"Detroit, MI",MI,43,PHL,"Philadelphia, PA",PA,23,1613,1612,1803,1809,0,0,453
1/1/2022 0:00,AA,647,DTW,"Detroit, MI",MI,43,CLT,"Charlotte, NC",NC,36,803,757,1015,952,0,0,500
1/1/2022 0:00,AS,735,DTW,"Detroit, MI",MI,43,SEA,"Seattle, WA",WA,93,1835,1836,2045,2104,0,0,1927
1/1/2022 0:00,B6,1120,DTW,"Detroit, MI",MI,43,JFK,"New York, NY",NY,22,700,,843,,1,0,509
1/1/2022 0:00,B6,1336,DTW,"Detroit, MI",MI,43,BOS,"Boston, MA",MA,13,800,,952,,1,0,632
1/1/2022 0:00,DL,1007,DTW,"Detroit, MI",MI,43,DEN,"Denver, CO",CO,82,825,919,949,1047,0,0,1123
1/1/2022 0:00,DL,1025,DTW,"Detroit, MI",MI,43,LGA,"New York, NY",NY,22,1559,1555,1743,1725,0,0,502
1/1/2022 0:00,DL,1038,DTW,"Detroit, MI",MI,43,LGA,"New York, NY",NY,22,830,,1023,,1,0,502
1/1/2022 0:00,DL,1080,DTW,"Detroit, MI",MI,43,LGA,"New York, NY",NY,22,1000,,1148,,1,0,502
1/1/2022 0:00,DL,1135,DTW,"Detroit, MI",MI,43,BOS,"Boston, MA",MA,13,830,828,1033,1008,0,0,632
1/1/2022 0:00,DL,1244,DTW,"Detroit, MI",MI,43,SRQ,"Sarasota/Bradenton, FL",FL,33,1230,,1524,,1,0,1022
1/1/2022 0:00,DL,1251,DTW,"Detroit, MI",MI,43,SEA,"Seattle, WA",WA,93,830,828,1045,1015,0,0,1927
1/1/2022 0:00,DL,1255,DTW,"Detroit, MI",MI,43,LAX,"Los Angeles, CA",CA,91,1226,1242,1430,1433,0,0,1979
1/1/2022 0:00,DL,1299,DTW,"Detroit, MI",MI,43,CLT,"Charlotte, NC",NC,36,1230,1225,1420,1401,0,0,500
1/1/2022 0:00,DL,1301,DTW,"Detroit, MI",MI,43,PHL,"Philadelphia, PA",PA,23,2110,2111,2252,2302,0,0,453
1/1/2022 0:00,DL,1304,DTW,"Detroit, MI",MI,43,SFO,"San Francisco, CA",CA,91,1245,1304,1504,1457,0,0,2079
1/1/2022 0:00,DL,1316,DTW,"Detroit, MI",MI,43,CLT,"Charlotte, NC",NC,36,2105,2120,2259,2315,0,0,500
1/1/2022 0:00,DL,1321,DTW,"Detroit, MI",MI,43,MIA,"Miami, FL",FL,33,825,828,1136,1124,0,0,1145
1/1/2022 0:00,DL,1349,DTW,"Detroit, MI",MI,43,AUS,"Austin, TX",TX,74,950,951,1222,1225,0,0,1149
1/1/2022 0:00,DL,1446,DTW,"Detroit, MI",MI,43,SFO,"San Francisco, CA",CA,91,900,904,1127,1108,0,0,2079
1/1/2022 0:00,DL,1499,DTW,"Detroit, MI",MI,43,ORD,"Chicago, IL",IL,41,1630,,1651,,1,0,235
1/1/2022 0:00,DL,1509,DTW,"Detroit, MI",MI,43,MSP,"Minneapolis, MN",MN,63,1625,1637,1720,1732,0,0,528
1/1/2022 0:00,DL,1524,DTW,"Detroit, MI",MI,43,MSP,"Minneapolis, MN",MN,63,1245,2239,1343,2343,0,0,528
1/1/2022 0:00,DL,1577,DTW,"Detroit, MI",MI,43,MIA,"Miami, FL",FL,33,1330,,1634,,1,0,1145
