FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,5068,ERI,"Erie, PA",PA,23,CLT,"Charlotte, NC",NC,36,600,549,811,739,0,0,476
1/1/2022 0:00,AA,5650,ERI,"Erie, PA",PA,23,CLT,"Charlotte, NC",NC,36,1532,1523,1730,1706,0,0,476
1/1/2022 0:00,UA,3773,ERI,"Erie, PA",PA,23,ORD,"Chicago, IL",IL,41,700,,805,,1,0,398
1/1/2022 0:00,UA,3799,ERI,"Erie, PA",PA,23,IAD,"Washington, DC",VA,38,818,810,944,915,0,0,259
1/1/2022 0:00,UA,3953,ERI,"Erie, PA",PA,23,ORD,"Chicago, IL",IL,41,1704,,1809,,1,0,398
1/2/2022 0:00,AA,5068,ERI,"Erie, PA",PA,23,CLT,"Charlotte, NC",NC,36,600,600,811,804,0,0,476
1/2/2022 0:00,AA,5650,ERI,"Erie, PA",PA,23,CLT,"Charlotte, NC",NC,36,1532,1554,1730,1822,0,0,476
1/2/2022 0:00,UA,3773,ERI,"Erie, PA",PA,23,ORD,"Chicago, IL",IL,41,700,,805,,1,0,398
1/2/2022 0:00,UA,3799,ERI,"Erie, PA",PA,23,IAD,"Washington, DC",VA,38,818,809,944,929,0,0,259
1/2/2022 0:00,UA,3953,ERI,"Erie, PA",PA,23,ORD,"Chicago, IL",IL,41,1704,1719,1809,1818,0,0,398
1/3/2022 0:00,AA,5068,ERI,"Erie, PA",PA,23,CLT,"Charlotte, NC",NC,36,600,602,811,821,0,0,476
1/3/2022 0:00,AA,5650,ERI,"Erie, PA",PA,23,CLT,"Charlotte, NC",NC,36,1532,1643,1730,1829,0,0,476
1/3/2022 0:00,UA,3773,ERI,"Erie, PA",PA,23,ORD,"Chicago, IL",IL,41,700,750,805,843,0,0,398
1/3/2022 0:00,UA,3799,ERI,"Erie, PA",PA,23,IAD,"Washington, DC",VA,38,818,,944,,1,0,259
1/3/2022 0:00,UA,3953,ERI,"Erie, PA",PA,23,ORD,"Chicago, IL",IL,41,1704,1700,1809,1734,0,0,398
1/4/2022 0:00,AA,5068,ERI,"Erie, PA",PA,23,CLT,"Charlotte, NC",NC,36,550,,802,,1,0,476
1/4/2022 0:00,AA,5715,ERI,"Erie, PA",PA,23,CLT,"Charlotte, NC",NC,36,1521,1534,1720,1710,0,0,476
1/4/2022 0:00,UA,3953,ERI,"Erie, PA",PA,23,ORD,"Chicago, IL",IL,41,1705,1705,1810,1738,0,0,398
1/5/2022 0:00,AA,5068,ERI,"Erie, PA",PA,23,CLT,"Charlotte, NC",NC,36,550,547,802,740,0,0,476
1/5/2022 0:00,AA,5715,ERI,"Erie, PA",PA,23,CLT,"Charlotte, NC",NC,36,1521,1526,1720,1711,0,0,476
