FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1238,EUG,"Eugene, OR",OR,92,DFW,"Dallas/Fort Worth, TX",TX,74,1352,1349,1939,1954,0,0,1606
1/1/2022 0:00,AA,434,EUG,"Eugene, OR",OR,92,DFW,"Dallas/Fort Worth, TX",TX,74,800,806,1356,1358,0,0,1606
1/1/2022 0:00,AA,5757,EUG,"Eugene, OR",OR,92,PHX,"Phoenix, AZ",AZ,81,1131,1121,1458,1440,0,0,952
1/1/2022 0:00,AS,2094,EUG,"Eugene, OR",OR,92,SEA,"Seattle, WA",WA,93,600,556,715,711,0,0,234
1/1/2022 0:00,AS,2498,EUG,"Eugene, OR",OR,92,SEA,"Seattle, WA",WA,93,745,740,902,902,0,0,234
1/1/2022 0:00,AS,2588,EUG,"Eugene, OR",OR,92,SEA,"Seattle, WA",WA,93,1433,1427,1545,1619,0,0,234
1/1/2022 0:00,AS,3496,EUG,"Eugene, OR",OR,92,LAX,"Los Angeles, CA",CA,91,1700,1700,1912,1904,0,0,748
1/1/2022 0:00,DL,3576,EUG,"Eugene, OR",OR,92,SLC,"Salt Lake City, UT",UT,87,1347,1428,1640,1716,0,0,618
1/1/2022 0:00,DL,3912,EUG,"Eugene, OR",OR,92,SEA,"Seattle, WA",WA,93,1258,1327,1410,1432,0,0,234
1/1/2022 0:00,DL,3915,EUG,"Eugene, OR",OR,92,SLC,"Salt Lake City, UT",UT,87,545,545,852,832,0,0,618
1/1/2022 0:00,DL,3978,EUG,"Eugene, OR",OR,92,SEA,"Seattle, WA",WA,93,700,700,824,902,0,0,234
1/1/2022 0:00,UA,4641,EUG,"Eugene, OR",OR,92,SFO,"San Francisco, CA",CA,91,530,,714,,1,0,451
1/1/2022 0:00,UA,4759,EUG,"Eugene, OR",OR,92,LAX,"Los Angeles, CA",CA,91,1908,1916,2122,2123,0,0,748
1/1/2022 0:00,UA,4768,EUG,"Eugene, OR",OR,92,SFO,"San Francisco, CA",CA,91,1835,1828,2011,1959,0,0,451
1/1/2022 0:00,UA,5753,EUG,"Eugene, OR",OR,92,SFO,"San Francisco, CA",CA,91,1530,1557,1711,1726,0,0,451
1/1/2022 0:00,UA,5863,EUG,"Eugene, OR",OR,92,DEN,"Denver, CO",CO,82,1250,,1637,,1,0,996
1/1/2022 0:00,UA,663,EUG,"Eugene, OR",OR,92,DEN,"Denver, CO",CO,82,513,,848,,1,0,996
1/1/2022 0:00,WN,2626,EUG,"Eugene, OR",OR,92,OAK,"Oakland, CA",CA,91,1600,1613,1725,1731,0,0,445
1/1/2022 0:00,WN,2839,EUG,"Eugene, OR",OR,92,LAS,"Las Vegas, NV",NV,85,1505,1457,1705,1646,0,0,700
1/1/2022 0:00,WN,2966,EUG,"Eugene, OR",OR,92,OAK,"Oakland, CA",CA,91,615,616,745,734,0,0,445
1/2/2022 0:00,AA,1238,EUG,"Eugene, OR",OR,92,DFW,"Dallas/Fort Worth, TX",TX,74,1352,1407,1939,1948,0,0,1606
1/2/2022 0:00,AA,5795,EUG,"Eugene, OR",OR,92,PHX,"Phoenix, AZ",AZ,81,1538,1602,1904,1920,0,0,952
1/2/2022 0:00,AA,5801,EUG,"Eugene, OR",OR,92,PHX,"Phoenix, AZ",AZ,81,524,,905,,1,0,952
1/2/2022 0:00,AS,2094,EUG,"Eugene, OR",OR,92,SEA,"Seattle, WA",WA,93,600,556,715,721,0,0,234
1/2/2022 0:00,AS,2296,EUG,"Eugene, OR",OR,92,SEA,"Seattle, WA",WA,93,1145,1145,1259,1258,0,0,234
1/2/2022 0:00,AS,2498,EUG,"Eugene, OR",OR,92,SEA,"Seattle, WA",WA,93,745,736,902,854,0,0,234
1/2/2022 0:00,AS,2543,EUG,"Eugene, OR",OR,92,LAX,"Los Angeles, CA",CA,91,1700,1703,1912,1915,0,0,748
1/2/2022 0:00,AS,2588,EUG,"Eugene, OR",OR,92,SEA,"Seattle, WA",WA,93,1433,1431,1545,1625,0,0,234
