FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AS,134,FAI,"Fairbanks, AK",AK,1,ANC,"Anchorage, AK",AK,1,1840,1831,1944,1928,0,0,261
1/1/2022 0:00,AS,144,FAI,"Fairbanks, AK",AK,1,SEA,"Seattle, WA",WA,93,1720,1821,2156,2244,0,0,1533
1/1/2022 0:00,AS,156,FAI,"Fairbanks, AK",AK,1,SEA,"Seattle, WA",WA,93,127,202,600,642,0,0,1533
1/1/2022 0:00,AS,183,FAI,"Fairbanks, AK",AK,1,ANC,"Anchorage, AK",AK,1,1540,1535,1645,1640,0,0,261
1/1/2022 0:00,AS,2011,FAI,"Fairbanks, AK",AK,1,ANC,"Anchorage, AK",AK,1,700,729,806,851,0,0,261
1/1/2022 0:00,AS,2027,FAI,"Fairbanks, AK",AK,1,ANC,"Anchorage, AK",AK,1,1035,1104,1140,1209,0,0,261
1/1/2022 0:00,AS,2148,FAI,"Fairbanks, AK",AK,1,ANC,"Anchorage, AK",AK,1,1220,1433,1325,1544,0,0,261
1/1/2022 0:00,AS,234,FAI,"Fairbanks, AK",AK,1,SEA,"Seattle, WA",WA,93,252,322,725,752,0,0,1533
1/1/2022 0:00,AS,2554,FAI,"Fairbanks, AK",AK,1,ANC,"Anchorage, AK",AK,1,2125,2120,2229,2220,0,0,261
1/1/2022 0:00,DL,2305,FAI,"Fairbanks, AK",AK,1,SEA,"Seattle, WA",WA,93,125,145,606,608,0,0,1533
1/2/2022 0:00,AS,124,FAI,"Fairbanks, AK",AK,1,SEA,"Seattle, WA",WA,93,1350,1359,1830,1837,0,0,1533
1/2/2022 0:00,AS,134,FAI,"Fairbanks, AK",AK,1,ANC,"Anchorage, AK",AK,1,1840,1913,1944,2023,0,0,261
1/2/2022 0:00,AS,144,FAI,"Fairbanks, AK",AK,1,SEA,"Seattle, WA",WA,93,1720,1724,2156,2223,0,0,1533
1/2/2022 0:00,AS,156,FAI,"Fairbanks, AK",AK,1,SEA,"Seattle, WA",WA,93,127,238,600,715,0,0,1533
1/2/2022 0:00,AS,183,FAI,"Fairbanks, AK",AK,1,ANC,"Anchorage, AK",AK,1,1540,1604,1645,1701,0,0,261
1/2/2022 0:00,AS,2011,FAI,"Fairbanks, AK",AK,1,ANC,"Anchorage, AK",AK,1,700,654,806,816,0,0,261
1/2/2022 0:00,AS,2027,FAI,"Fairbanks, AK",AK,1,ANC,"Anchorage, AK",AK,1,1035,1027,1140,1135,0,0,261
1/2/2022 0:00,AS,2148,FAI,"Fairbanks, AK",AK,1,ANC,"Anchorage, AK",AK,1,1220,1233,1325,1347,0,0,261
1/2/2022 0:00,AS,234,FAI,"Fairbanks, AK",AK,1,SEA,"Seattle, WA",WA,93,252,344,725,811,0,0,1533
1/2/2022 0:00,AS,2554,FAI,"Fairbanks, AK",AK,1,ANC,"Anchorage, AK",AK,1,2125,,2229,,1,0,261
1/2/2022 0:00,DL,2305,FAI,"Fairbanks, AK",AK,1,SEA,"Seattle, WA",WA,93,125,207,607,644,0,0,1533
1/3/2022 0:00,AS,124,FAI,"Fairbanks, AK",AK,1,SEA,"Seattle, WA",WA,93,1350,1402,1830,1831,0,0,1533
1/3/2022 0:00,AS,134,FAI,"Fairbanks, AK",AK,1,ANC,"Anchorage, AK",AK,1,1840,1843,1944,1946,0,0,261
1/3/2022 0:00,AS,144,FAI,"Fairbanks, AK",AK,1,SEA,"Seattle, WA",WA,93,1720,1753,2156,2229,0,0,1533
1/3/2022 0:00,AS,156,FAI,"Fairbanks, AK",AK,1,SEA,"Seattle, WA",WA,93,127,132,600,613,0,0,1533
1/3/2022 0:00,AS,183,FAI,"Fairbanks, AK",AK,1,ANC,"Anchorage, AK",AK,1,1540,1852,1645,1953,0,0,261
1/3/2022 0:00,AS,2011,FAI,"Fairbanks, AK",AK,1,ANC,"Anchorage, AK",AK,1,700,744,806,859,0,0,261
1/3/2022 0:00,AS,2027,FAI,"Fairbanks, AK",AK,1,ANC,"Anchorage, AK",AK,1,1035,1130,1140,1243,0,0,261
1/3/2022 0:00,AS,2148,FAI,"Fairbanks, AK",AK,1,ANC,"Anchorage, AK",AK,1,1220,1214,1325,1318,0,0,261
1/3/2022 0:00,AS,234,FAI,"Fairbanks, AK",AK,1,SEA,"Seattle, WA",WA,93,252,,725,,1,0,1533
1/3/2022 0:00,AS,2554,FAI,"Fairbanks, AK",AK,1,ANC,"Anchorage, AK",AK,1,2125,,2229,,1,0,261
1/3/2022 0:00,DL,2305,FAI,"Fairbanks, AK",AK,1,SEA,"Seattle, WA",WA,93,125,522,607,1012,0,0,1533
1/4/2022 0:00,AS,124,FAI,"Fairbanks, AK",AK,1,SEA,"Seattle, WA",WA,93,1515,1603,1950,2026,0,0,1533
1/4/2022 0:00,AS,2032,FAI,"Fairbanks, AK",AK,1,ANC,"Anchorage, AK",AK,1,1100,1051,1209,1147,0,0,261
1/4/2022 0:00,AS,2174,FAI,"Fairbanks, AK",AK,1,ANC,"Anchorage, AK",AK,1,2050,,2156,,1,0,261
1/4/2022 0:00,AS,2201,FAI,"Fairbanks, AK",AK,1,ANC,"Anchorage, AK",AK,1,1625,1826,1730,1926,0,0,261
1/4/2022 0:00,AS,234,FAI,"Fairbanks, AK",AK,1,SEA,"Seattle, WA",WA,93,240,302,713,727,0,0,1533
1/4/2022 0:00,AS,2362,FAI,"Fairbanks, AK",AK,1,ANC,"Anchorage, AK",AK,1,700,653,806,751,0,0,261
1/4/2022 0:00,AS,594,FAI,"Fairbanks, AK",AK,1,SEA,"Seattle, WA",WA,93,905,917,1341,1338,0,0,1533
1/4/2022 0:00,AS,622,FAI,"Fairbanks, AK",AK,1,ANC,"Anchorage, AK",AK,1,1400,1538,1505,1631,0,0,261
1/4/2022 0:00,AS,72,FAI,"Fairbanks, AK",AK,1,ANC,"Anchorage, AK",AK,1,1940,2245,2047,2348,0,0,261
1/4/2022 0:00,DL,2305,FAI,"Fairbanks, AK",AK,1,SEA,"Seattle, WA",WA,93,125,125,607,556,0,0,1533
1/5/2022 0:00,AS,124,FAI,"Fairbanks, AK",AK,1,SEA,"Seattle, WA",WA,93,1515,1602,1950,2038,0,0,1533
