FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3190,FAR,"Fargo, ND",ND,66,ORD,"Chicago, IL",IL,41,1228,,1428,,1,0,557
1/1/2022 0:00,AA,5743,FAR,"Fargo, ND",ND,66,DFW,"Dallas/Fort Worth, TX",TX,74,1407,,1655,,1,0,968
1/1/2022 0:00,AA,5888,FAR,"Fargo, ND",ND,66,PHX,"Phoenix, AZ",AZ,81,737,,1025,,1,0,1225
1/1/2022 0:00,AA,5942,FAR,"Fargo, ND",ND,66,DFW,"Dallas/Fort Worth, TX",TX,74,530,,835,,1,0,968
1/1/2022 0:00,DL,1333,FAR,"Fargo, ND",ND,66,MSP,"Minneapolis, MN",MN,63,540,603,659,704,0,0,223
1/1/2022 0:00,DL,3812,FAR,"Fargo, ND",ND,66,MSP,"Minneapolis, MN",MN,63,1245,1238,1355,1331,0,0,223
1/1/2022 0:00,DL,4459,FAR,"Fargo, ND",ND,66,MSP,"Minneapolis, MN",MN,63,1735,1728,1854,1839,0,0,223
1/1/2022 0:00,G4,1314,FAR,"Fargo, ND",ND,66,AZA,"Phoenix, AZ",AZ,81,2109,155,2314,335,0,0,1220
1/1/2022 0:00,G4,2023,FAR,"Fargo, ND",ND,66,PIE,"St. Petersburg, FL",FL,33,1517,1506,1941,1934,0,0,1519
1/1/2022 0:00,UA,4634,FAR,"Fargo, ND",ND,66,ORD,"Chicago, IL",IL,41,1430,,1637,,1,0,557
1/1/2022 0:00,UA,4737,FAR,"Fargo, ND",ND,66,DEN,"Denver, CO",CO,82,1130,1212,1244,1328,0,0,627
1/1/2022 0:00,UA,4741,FAR,"Fargo, ND",ND,66,DEN,"Denver, CO",CO,82,1652,,1806,,1,0,627
1/1/2022 0:00,UA,5348,FAR,"Fargo, ND",ND,66,ORD,"Chicago, IL",IL,41,600,,808,,1,0,557
1/1/2022 0:00,UA,5414,FAR,"Fargo, ND",ND,66,DEN,"Denver, CO",CO,82,856,,1021,,1,0,627
1/2/2022 0:00,AA,3039,FAR,"Fargo, ND",ND,66,ORD,"Chicago, IL",IL,41,635,,845,,1,0,557
1/2/2022 0:00,AA,3514,FAR,"Fargo, ND",ND,66,ORD,"Chicago, IL",IL,41,1048,,1250,,1,0,557
1/2/2022 0:00,AA,5743,FAR,"Fargo, ND",ND,66,DFW,"Dallas/Fort Worth, TX",TX,74,1407,1412,1655,1633,0,0,968
1/2/2022 0:00,AA,5888,FAR,"Fargo, ND",ND,66,PHX,"Phoenix, AZ",AZ,81,737,,1025,,1,0,1225
1/2/2022 0:00,AA,5942,FAR,"Fargo, ND",ND,66,DFW,"Dallas/Fort Worth, TX",TX,74,530,,835,,1,0,968
1/2/2022 0:00,DL,1333,FAR,"Fargo, ND",ND,66,MSP,"Minneapolis, MN",MN,63,539,539,700,713,0,0,223
1/2/2022 0:00,DL,3623,FAR,"Fargo, ND",ND,66,MSP,"Minneapolis, MN",MN,63,1050,1132,1158,1226,0,0,223
1/2/2022 0:00,DL,4459,FAR,"Fargo, ND",ND,66,MSP,"Minneapolis, MN",MN,63,1735,,1855,,1,0,223
1/2/2022 0:00,DL,5478,FAR,"Fargo, ND",ND,66,MSP,"Minneapolis, MN",MN,63,1310,1305,1419,1356,0,0,223
1/2/2022 0:00,F9,1314,FAR,"Fargo, ND",ND,66,MCO,"Orlando, FL",FL,33,1055,1152,1547,1700,0,0,1526
1/2/2022 0:00,G4,107,FAR,"Fargo, ND",ND,66,LAS,"Las Vegas, NV",NV,85,2237,2259,2344,3,0,0,1205
1/2/2022 0:00,G4,1403,FAR,"Fargo, ND",ND,66,AZA,"Phoenix, AZ",AZ,81,1201,1248,1406,1441,0,0,1220
1/2/2022 0:00,G4,588,FAR,"Fargo, ND",ND,66,BNA,"Nashville, TN",TN,54,1920,2111,2137,2324,0,0,910
1/2/2022 0:00,UA,4634,FAR,"Fargo, ND",ND,66,ORD,"Chicago, IL",IL,41,1430,1425,1637,1613,0,0,557
1/2/2022 0:00,UA,4737,FAR,"Fargo, ND",ND,66,DEN,"Denver, CO",CO,82,1130,,1244,,1,0,627
1/2/2022 0:00,UA,4741,FAR,"Fargo, ND",ND,66,DEN,"Denver, CO",CO,82,1655,1816,1809,1924,0,0,627
1/2/2022 0:00,UA,5348,FAR,"Fargo, ND",ND,66,ORD,"Chicago, IL",IL,41,600,,808,,1,0,557
1/2/2022 0:00,UA,5414,FAR,"Fargo, ND",ND,66,DEN,"Denver, CO",CO,82,855,852,1020,1003,0,0,627
1/3/2022 0:00,AA,3039,FAR,"Fargo, ND",ND,66,ORD,"Chicago, IL",IL,41,635,624,845,825,0,0,557
1/3/2022 0:00,AA,3514,FAR,"Fargo, ND",ND,66,ORD,"Chicago, IL",IL,41,1048,1049,1250,1236,0,0,557
1/3/2022 0:00,AA,5743,FAR,"Fargo, ND",ND,66,DFW,"Dallas/Fort Worth, TX",TX,74,1407,,1655,,1,0,968
1/3/2022 0:00,AA,5888,FAR,"Fargo, ND",ND,66,PHX,"Phoenix, AZ",AZ,81,737,,1025,,1,0,1225
1/3/2022 0:00,AA,5942,FAR,"Fargo, ND",ND,66,DFW,"Dallas/Fort Worth, TX",TX,74,530,528,835,808,0,0,968
1/3/2022 0:00,DL,1333,FAR,"Fargo, ND",ND,66,MSP,"Minneapolis, MN",MN,63,539,601,700,701,0,0,223
1/3/2022 0:00,DL,3623,FAR,"Fargo, ND",ND,66,MSP,"Minneapolis, MN",MN,63,1050,1105,1158,1202,0,0,223
1/3/2022 0:00,DL,4113,FAR,"Fargo, ND",ND,66,MSP,"Minneapolis, MN",MN,63,810,808,930,939,0,0,223
1/3/2022 0:00,DL,4459,FAR,"Fargo, ND",ND,66,MSP,"Minneapolis, MN",MN,63,1735,1733,1855,1826,0,0,223
1/3/2022 0:00,DL,5478,FAR,"Fargo, ND",ND,66,MSP,"Minneapolis, MN",MN,63,1310,1309,1419,1414,0,0,223
1/3/2022 0:00,F9,491,FAR,"Fargo, ND",ND,66,DEN,"Denver, CO",CO,82,1258,1356,1406,1457,0,0,627
1/3/2022 0:00,G4,107,FAR,"Fargo, ND",ND,66,LAS,"Las Vegas, NV",NV,85,2150,2125,2257,2239,0,0,1205
1/3/2022 0:00,G4,1182,FAR,"Fargo, ND",ND,66,AZA,"Phoenix, AZ",AZ,81,1356,1439,1601,1652,0,0,1220
1/3/2022 0:00,G4,2250,FAR,"Fargo, ND",ND,66,SFB,"Sanford, FL",FL,33,1041,1036,1506,1443,0,0,1508
1/3/2022 0:00,UA,4634,FAR,"Fargo, ND",ND,66,ORD,"Chicago, IL",IL,41,1430,1419,1637,1615,0,0,557
1/3/2022 0:00,UA,4737,FAR,"Fargo, ND",ND,66,DEN,"Denver, CO",CO,82,1130,,1244,,1,0,627
1/3/2022 0:00,UA,4741,FAR,"Fargo, ND",ND,66,DEN,"Denver, CO",CO,82,1652,1652,1806,1813,0,0,627
1/3/2022 0:00,UA,5348,FAR,"Fargo, ND",ND,66,ORD,"Chicago, IL",IL,41,600,554,808,758,0,0,557
1/3/2022 0:00,UA,5414,FAR,"Fargo, ND",ND,66,DEN,"Denver, CO",CO,82,856,849,1021,1018,0,0,627
1/4/2022 0:00,AA,3072,FAR,"Fargo, ND",ND,66,ORD,"Chicago, IL",IL,41,555,,811,,1,0,557
1/4/2022 0:00,AA,5743,FAR,"Fargo, ND",ND,66,DFW,"Dallas/Fort Worth, TX",TX,74,1514,,1809,,1,0,968
1/4/2022 0:00,AA,5888,FAR,"Fargo, ND",ND,66,PHX,"Phoenix, AZ",AZ,81,728,721,1010,1009,0,0,1225
1/4/2022 0:00,DL,1333,FAR,"Fargo, ND",ND,66,MSP,"Minneapolis, MN",MN,63,539,541,700,642,0,0,223
1/4/2022 0:00,DL,3623,FAR,"Fargo, ND",ND,66,MSP,"Minneapolis, MN",MN,63,1050,,1158,,1,0,223
1/4/2022 0:00,DL,4113,FAR,"Fargo, ND",ND,66,MSP,"Minneapolis, MN",MN,63,810,936,930,1039,0,0,223
1/4/2022 0:00,DL,4459,FAR,"Fargo, ND",ND,66,MSP,"Minneapolis, MN",MN,63,1735,1933,1855,2053,0,0,223
1/4/2022 0:00,DL,5478,FAR,"Fargo, ND",ND,66,MSP,"Minneapolis, MN",MN,63,1310,1723,1419,1850,0,0,223
1/4/2022 0:00,UA,4634,FAR,"Fargo, ND",ND,66,ORD,"Chicago, IL",IL,41,1430,1928,1637,2153,0,0,557
1/4/2022 0:00,UA,4737,FAR,"Fargo, ND",ND,66,DEN,"Denver, CO",CO,82,1130,1258,1244,1425,0,0,627
1/4/2022 0:00,UA,4741,FAR,"Fargo, ND",ND,66,DEN,"Denver, CO",CO,82,1655,1642,1809,1813,0,0,627
1/4/2022 0:00,UA,5348,FAR,"Fargo, ND",ND,66,ORD,"Chicago, IL",IL,41,602,559,810,802,0,0,557
1/4/2022 0:00,UA,5414,FAR,"Fargo, ND",ND,66,DEN,"Denver, CO",CO,82,845,,1010,,1,0,627
1/5/2022 0:00,AA,3072,FAR,"Fargo, ND",ND,66,ORD,"Chicago, IL",IL,41,555,1516,811,1755,0,0,557
1/5/2022 0:00,AA,5743,FAR,"Fargo, ND",ND,66,DFW,"Dallas/Fort Worth, TX",TX,74,1514,1637,1809,1948,0,0,968
1/5/2022 0:00,AA,5888,FAR,"Fargo, ND",ND,66,PHX,"Phoenix, AZ",AZ,81,728,,1010,,1,0,1225
1/5/2022 0:00,AA,5942,FAR,"Fargo, ND",ND,66,DFW,"Dallas/Fort Worth, TX",TX,74,530,,837,,1,0,968
1/5/2022 0:00,DL,1333,FAR,"Fargo, ND",ND,66,MSP,"Minneapolis, MN",MN,63,541,,700,,1,0,223
1/5/2022 0:00,DL,3623,FAR,"Fargo, ND",ND,66,MSP,"Minneapolis, MN",MN,63,1059,1154,1215,1331,0,0,223
1/5/2022 0:00,DL,3812,FAR,"Fargo, ND",ND,66,MSP,"Minneapolis, MN",MN,63,1321,1348,1433,1516,0,0,223
1/5/2022 0:00,DL,4113,FAR,"Fargo, ND",ND,66,MSP,"Minneapolis, MN",MN,63,700,1838,820,2025,0,0,223
1/5/2022 0:00,DL,4459,FAR,"Fargo, ND",ND,66,MSP,"Minneapolis, MN",MN,63,1740,1942,1853,2140,0,0,223
1/5/2022 0:00,UA,4634,FAR,"Fargo, ND",ND,66,ORD,"Chicago, IL",IL,41,1430,1543,1637,1854,0,0,557
1/5/2022 0:00,UA,4737,FAR,"Fargo, ND",ND,66,DEN,"Denver, CO",CO,82,1130,1201,1244,1328,0,0,627
1/5/2022 0:00,UA,4741,FAR,"Fargo, ND",ND,66,DEN,"Denver, CO",CO,82,1655,,1809,,1,0,627
1/5/2022 0:00,UA,5348,FAR,"Fargo, ND",ND,66,ORD,"Chicago, IL",IL,41,602,,810,,1,0,557
1/5/2022 0:00,UA,5414,FAR,"Fargo, ND",ND,66,DEN,"Denver, CO",CO,82,845,,1010,,1,0,627
1/6/2022 0:00,AA,3072,FAR,"Fargo, ND",ND,66,ORD,"Chicago, IL",IL,41,558,804,1014,1044,0,0,557
1/6/2022 0:00,AA,3147,FAR,"Fargo, ND",ND,66,ORD,"Chicago, IL",IL,41,1726,1717,1930,1904,0,0,557
1/6/2022 0:00,AA,5743,FAR,"Fargo, ND",ND,66,DFW,"Dallas/Fort Worth, TX",TX,74,1514,1543,1809,1834,0,0,968
1/6/2022 0:00,AA,5888,FAR,"Fargo, ND",ND,66,PHX,"Phoenix, AZ",AZ,81,728,741,1010,958,0,0,1225
1/6/2022 0:00,AA,5942,FAR,"Fargo, ND",ND,66,DFW,"Dallas/Fort Worth, TX",TX,74,530,532,837,838,0,0,968
1/6/2022 0:00,DL,1333,FAR,"Fargo, ND",ND,66,MSP,"Minneapolis, MN",MN,63,541,638,700,807,0,0,223
1/6/2022 0:00,DL,3623,FAR,"Fargo, ND",ND,66,MSP,"Minneapolis, MN",MN,63,1059,1153,1215,1322,0,0,223
1/6/2022 0:00,DL,3812,FAR,"Fargo, ND",ND,66,MSP,"Minneapolis, MN",MN,63,1321,1556,1433,1656,0,0,223
1/6/2022 0:00,DL,4113,FAR,"Fargo, ND",ND,66,MSP,"Minneapolis, MN",MN,63,700,850,820,1011,0,0,223
1/6/2022 0:00,DL,4459,FAR,"Fargo, ND",ND,66,MSP,"Minneapolis, MN",MN,63,1740,,1853,,1,0,223
1/6/2022 0:00,F9,1314,FAR,"Fargo, ND",ND,66,MCO,"Orlando, FL",FL,33,1055,1108,1546,1541,0,0,1526
1/6/2022 0:00,G4,1233,FAR,"Fargo, ND",ND,66,AZA,"Phoenix, AZ",AZ,81,1300,1258,1509,1454,0,0,1220
1/6/2022 0:00,G4,18,FAR,"Fargo, ND",ND,66,LAS,"Las Vegas, NV",NV,85,2209,2219,2313,2327,0,0,1205
1/6/2022 0:00,G4,1986,FAR,"Fargo, ND",ND,66,PIE,"St. Petersburg, FL",FL,33,1757,1819,2221,2226,0,0,1519
1/6/2022 0:00,G4,576,FAR,"Fargo, ND",ND,66,BNA,"Nashville, TN",TN,54,923,923,1144,1203,0,0,910
1/6/2022 0:00,UA,4634,FAR,"Fargo, ND",ND,66,ORD,"Chicago, IL",IL,41,1430,1420,1637,1607,0,0,557
1/6/2022 0:00,UA,4737,FAR,"Fargo, ND",ND,66,DEN,"Denver, CO",CO,82,1130,,1244,,1,0,627
