FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,2962,GJT,"Grand Junction, CO",CO,82,DFW,"Dallas/Fort Worth, TX",TX,74,1025,1030,1334,1352,0,0,773
1/1/2022 0:00,AA,2996,GJT,"Grand Junction, CO",CO,82,PHX,"Phoenix, AZ",AZ,81,1807,1813,1955,1951,0,0,438
1/1/2022 0:00,DL,4253,GJT,"Grand Junction, CO",CO,82,SLC,"Salt Lake City, UT",UT,87,910,914,1019,1030,0,0,216
1/1/2022 0:00,DL,4285,GJT,"Grand Junction, CO",CO,82,SLC,"Salt Lake City, UT",UT,87,1146,1314,1254,1420,0,0,216
1/1/2022 0:00,DL,4317,GJT,"Grand Junction, CO",CO,82,SLC,"Salt Lake City, UT",UT,87,1725,1720,1833,1831,0,0,216
1/1/2022 0:00,UA,4247,GJT,"Grand Junction, CO",CO,82,DEN,"Denver, CO",CO,82,1130,1419,1245,1537,0,0,212
1/1/2022 0:00,UA,4271,GJT,"Grand Junction, CO",CO,82,DEN,"Denver, CO",CO,82,1330,,1447,,1,0,212
1/1/2022 0:00,UA,5667,GJT,"Grand Junction, CO",CO,82,DEN,"Denver, CO",CO,82,1515,,1632,,1,0,212
1/1/2022 0:00,UA,5852,GJT,"Grand Junction, CO",CO,82,DEN,"Denver, CO",CO,82,735,,901,,1,0,212
1/2/2022 0:00,AA,2962,GJT,"Grand Junction, CO",CO,82,DFW,"Dallas/Fort Worth, TX",TX,74,1230,1249,1545,1550,0,0,773
1/2/2022 0:00,AA,2996,GJT,"Grand Junction, CO",CO,82,PHX,"Phoenix, AZ",AZ,81,1807,1827,1955,2015,0,0,438
1/2/2022 0:00,AA,3071,GJT,"Grand Junction, CO",CO,82,PHX,"Phoenix, AZ",AZ,81,600,844,753,1028,0,0,438
1/2/2022 0:00,AA,3129,GJT,"Grand Junction, CO",CO,82,DFW,"Dallas/Fort Worth, TX",TX,74,1033,1027,1342,1331,0,0,773
1/2/2022 0:00,AA,4153,GJT,"Grand Junction, CO",CO,82,DFW,"Dallas/Fort Worth, TX",TX,74,610,625,935,940,0,0,773
