FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3079,GNV,"Gainesville, FL",FL,33,DFW,"Dallas/Fort Worth, TX",TX,74,1946,1937,2138,2201,0,0,900
1/1/2022 0:00,AA,3545,GNV,"Gainesville, FL",FL,33,MIA,"Miami, FL",FL,33,1534,1530,1649,1633,0,0,294
1/1/2022 0:00,AA,3573,GNV,"Gainesville, FL",FL,33,MIA,"Miami, FL",FL,33,600,,716,,1,0,294
1/1/2022 0:00,AA,5194,GNV,"Gainesville, FL",FL,33,CLT,"Charlotte, NC",NC,36,1101,1144,1232,1258,0,0,388
1/1/2022 0:00,AA,5372,GNV,"Gainesville, FL",FL,33,CLT,"Charlotte, NC",NC,36,637,630,811,814,0,0,388
1/1/2022 0:00,AA,5628,GNV,"Gainesville, FL",FL,33,CLT,"Charlotte, NC",NC,36,1502,1458,1631,1634,0,0,388
1/1/2022 0:00,DL,5087,GNV,"Gainesville, FL",FL,33,ATL,"Atlanta, GA",GA,34,630,629,758,740,0,0,300
1/1/2022 0:00,DL,5324,GNV,"Gainesville, FL",FL,33,ATL,"Atlanta, GA",GA,34,1630,1654,1757,1849,0,0,300
1/1/2022 0:00,DL,5454,GNV,"Gainesville, FL",FL,33,ATL,"Atlanta, GA",GA,34,1030,1021,1152,1130,0,0,300
1/2/2022 0:00,AA,3006,GNV,"Gainesville, FL",FL,33,DFW,"Dallas/Fort Worth, TX",TX,74,722,721,913,923,0,0,900
1/2/2022 0:00,AA,3079,GNV,"Gainesville, FL",FL,33,DFW,"Dallas/Fort Worth, TX",TX,74,1622,1758,1810,2026,0,0,900
1/2/2022 0:00,AA,3545,GNV,"Gainesville, FL",FL,33,MIA,"Miami, FL",FL,33,1534,1545,1649,1655,0,0,294
1/2/2022 0:00,AA,3573,GNV,"Gainesville, FL",FL,33,MIA,"Miami, FL",FL,33,600,555,716,702,0,0,294
1/2/2022 0:00,AA,5194,GNV,"Gainesville, FL",FL,33,CLT,"Charlotte, NC",NC,36,1101,1122,1232,1245,0,0,388
1/2/2022 0:00,AA,5271,GNV,"Gainesville, FL",FL,33,CLT,"Charlotte, NC",NC,36,2010,2,2140,123,0,0,388
1/2/2022 0:00,AA,5372,GNV,"Gainesville, FL",FL,33,CLT,"Charlotte, NC",NC,36,637,635,811,807,0,0,388
1/2/2022 0:00,AA,5628,GNV,"Gainesville, FL",FL,33,CLT,"Charlotte, NC",NC,36,1502,1504,1631,1625,0,0,388
1/2/2022 0:00,DL,4880,GNV,"Gainesville, FL",FL,33,ATL,"Atlanta, GA",GA,34,1428,1427,1556,1542,0,0,300
1/2/2022 0:00,DL,5087,GNV,"Gainesville, FL",FL,33,ATL,"Atlanta, GA",GA,34,630,,804,,1,0,300
1/2/2022 0:00,DL,5189,GNV,"Gainesville, FL",FL,33,ATL,"Atlanta, GA",GA,34,1843,1859,2012,2041,0,0,300
1/2/2022 0:00,DL,5324,GNV,"Gainesville, FL",FL,33,ATL,"Atlanta, GA",GA,34,1641,1708,1809,1843,0,0,300
1/2/2022 0:00,DL,5454,GNV,"Gainesville, FL",FL,33,ATL,"Atlanta, GA",GA,34,1018,1017,1140,1123,0,0,300
1/3/2022 0:00,AA,3006,GNV,"Gainesville, FL",FL,33,DFW,"Dallas/Fort Worth, TX",TX,74,722,716,913,904,0,0,900
1/3/2022 0:00,AA,3079,GNV,"Gainesville, FL",FL,33,DFW,"Dallas/Fort Worth, TX",TX,74,1622,1900,1810,2050,0,0,900
1/3/2022 0:00,AA,3545,GNV,"Gainesville, FL",FL,33,MIA,"Miami, FL",FL,33,1534,1540,1649,1650,0,0,294
1/3/2022 0:00,AA,3573,GNV,"Gainesville, FL",FL,33,MIA,"Miami, FL",FL,33,600,,716,,1,0,294
1/3/2022 0:00,AA,5194,GNV,"Gainesville, FL",FL,33,CLT,"Charlotte, NC",NC,36,1101,1208,1232,1344,0,0,388
1/3/2022 0:00,AA,5271,GNV,"Gainesville, FL",FL,33,CLT,"Charlotte, NC",NC,36,2010,2016,2140,2152,0,0,388
1/3/2022 0:00,AA,5372,GNV,"Gainesville, FL",FL,33,CLT,"Charlotte, NC",NC,36,637,635,811,759,0,0,388
1/3/2022 0:00,AA,5628,GNV,"Gainesville, FL",FL,33,CLT,"Charlotte, NC",NC,36,1502,1651,1631,1818,0,0,388
1/3/2022 0:00,DL,4880,GNV,"Gainesville, FL",FL,33,ATL,"Atlanta, GA",GA,34,1428,1427,1556,1539,0,0,300
1/3/2022 0:00,DL,5087,GNV,"Gainesville, FL",FL,33,ATL,"Atlanta, GA",GA,34,630,,804,,1,0,300
1/3/2022 0:00,DL,5189,GNV,"Gainesville, FL",FL,33,ATL,"Atlanta, GA",GA,34,1843,1905,2012,2013,0,0,300
1/3/2022 0:00,DL,5324,GNV,"Gainesville, FL",FL,33,ATL,"Atlanta, GA",GA,34,1641,1636,1809,1749,0,0,300
1/3/2022 0:00,DL,5454,GNV,"Gainesville, FL",FL,33,ATL,"Atlanta, GA",GA,34,1018,1054,1140,1222,0,0,300
1/4/2022 0:00,AA,3207,GNV,"Gainesville, FL",FL,33,DFW,"Dallas/Fort Worth, TX",TX,74,722,722,918,917,0,0,900
1/4/2022 0:00,AA,3545,GNV,"Gainesville, FL",FL,33,MIA,"Miami, FL",FL,33,1740,1752,1850,1906,0,0,294
1/4/2022 0:00,AA,3890,GNV,"Gainesville, FL",FL,33,DFW,"Dallas/Fort Worth, TX",TX,74,600,555,750,747,0,0,900
1/4/2022 0:00,AA,5194,GNV,"Gainesville, FL",FL,33,CLT,"Charlotte, NC",NC,36,1106,1101,1240,1231,0,0,388
1/4/2022 0:00,AA,5372,GNV,"Gainesville, FL",FL,33,CLT,"Charlotte, NC",NC,36,635,629,812,751,0,0,388
1/4/2022 0:00,AA,5628,GNV,"Gainesville, FL",FL,33,CLT,"Charlotte, NC",NC,36,1459,1524,1631,1646,0,0,388
1/4/2022 0:00,DL,4880,GNV,"Gainesville, FL",FL,33,ATL,"Atlanta, GA",GA,34,1428,1503,1556,1613,0,0,300
1/4/2022 0:00,DL,5087,GNV,"Gainesville, FL",FL,33,ATL,"Atlanta, GA",GA,34,630,625,804,743,0,0,300
1/4/2022 0:00,DL,5189,GNV,"Gainesville, FL",FL,33,ATL,"Atlanta, GA",GA,34,1843,1833,2012,1946,0,0,300
1/4/2022 0:00,DL,5324,GNV,"Gainesville, FL",FL,33,ATL,"Atlanta, GA",GA,34,1641,1636,1809,1745,0,0,300
1/4/2022 0:00,DL,5454,GNV,"Gainesville, FL",FL,33,ATL,"Atlanta, GA",GA,34,1018,1023,1140,1139,0,0,300
1/5/2022 0:00,AA,3890,GNV,"Gainesville, FL",FL,33,DFW,"Dallas/Fort Worth, TX",TX,74,600,601,750,754,0,0,900
1/5/2022 0:00,AA,5194,GNV,"Gainesville, FL",FL,33,CLT,"Charlotte, NC",NC,36,1106,1058,1240,1220,0,0,388
1/5/2022 0:00,AA,5372,GNV,"Gainesville, FL",FL,33,CLT,"Charlotte, NC",NC,36,645,642,822,814,0,0,388
1/5/2022 0:00,AA,5628,GNV,"Gainesville, FL",FL,33,CLT,"Charlotte, NC",NC,36,1517,1508,1649,1641,0,0,388
1/5/2022 0:00,AA,6238,GNV,"Gainesville, FL",FL,33,CLT,"Charlotte, NC",NC,36,2008,2015,2147,2141,0,0,388
1/5/2022 0:00,DL,2741,GNV,"Gainesville, FL",FL,33,ATL,"Atlanta, GA",GA,34,1018,1010,1137,1114,0,0,300
1/5/2022 0:00,DL,2852,GNV,"Gainesville, FL",FL,33,ATL,"Atlanta, GA",GA,34,1715,1710,1837,1814,0,0,300
1/5/2022 0:00,DL,4880,GNV,"Gainesville, FL",FL,33,ATL,"Atlanta, GA",GA,34,1406,1416,1533,1526,0,0,300
1/5/2022 0:00,DL,5307,GNV,"Gainesville, FL",FL,33,ATL,"Atlanta, GA",GA,34,614,611,739,731,0,0,300
1/6/2022 0:00,AA,3545,GNV,"Gainesville, FL",FL,33,MIA,"Miami, FL",FL,33,1740,1732,1850,1846,0,0,294
1/6/2022 0:00,AA,3890,GNV,"Gainesville, FL",FL,33,DFW,"Dallas/Fort Worth, TX",TX,74,600,646,750,830,0,0,900
1/6/2022 0:00,AA,5194,GNV,"Gainesville, FL",FL,33,CLT,"Charlotte, NC",NC,36,1106,1134,1240,1244,0,0,388
