FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3024,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1152,,1255,,1,0,134
1/1/2022 0:00,AA,3955,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1854,,1959,,1,0,134
1/1/2022 0:00,AA,3980,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,2020,2150,2126,2257,0,0,134
1/1/2022 0:00,AA,4132,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1608,1611,1711,1719,0,0,134
1/1/2022 0:00,AA,4212,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1036,1024,1142,1128,0,0,134
1/1/2022 0:00,AA,4400,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1351,1346,1455,1437,0,0,134
1/1/2022 0:00,UA,4748,GRK,"Killeen, TX",TX,74,IAH,"Houston, TX",TX,74,715,712,828,808,0,0,166
1/1/2022 0:00,UA,5368,GRK,"Killeen, TX",TX,74,IAH,"Houston, TX",TX,74,1715,1704,1836,1757,0,0,166
1/2/2022 0:00,AA,3024,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1152,1436,1255,1542,0,0,134
1/2/2022 0:00,AA,3095,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1036,,1140,,1,0,134
1/2/2022 0:00,AA,3919,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,625,802,728,859,0,0,134
1/2/2022 0:00,AA,3955,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1854,1847,1959,2017,0,0,134
1/2/2022 0:00,AA,3980,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,2020,2046,2126,2155,0,0,134
1/2/2022 0:00,AA,4132,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1608,1638,1711,1737,0,0,134
1/2/2022 0:00,AA,4400,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1351,1352,1455,1451,0,0,134
1/2/2022 0:00,UA,4748,GRK,"Killeen, TX",TX,74,IAH,"Houston, TX",TX,74,715,705,828,825,0,0,166
1/2/2022 0:00,UA,5368,GRK,"Killeen, TX",TX,74,IAH,"Houston, TX",TX,74,1715,,1836,,1,0,166
1/3/2022 0:00,AA,3024,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1152,1204,1255,1304,0,0,134
1/3/2022 0:00,AA,3919,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,625,,728,,1,0,134
1/3/2022 0:00,AA,3955,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1854,1901,1959,1956,0,0,134
1/3/2022 0:00,AA,3980,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,2020,2021,2126,2143,0,0,134
1/3/2022 0:00,AA,4132,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1608,1558,1711,1702,0,0,134
1/3/2022 0:00,AA,4212,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1034,1119,1140,1210,0,0,134
1/3/2022 0:00,AA,4400,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1351,1345,1455,1439,0,0,134
1/3/2022 0:00,UA,4748,GRK,"Killeen, TX",TX,74,IAH,"Houston, TX",TX,74,715,706,828,800,0,0,166
1/3/2022 0:00,UA,5368,GRK,"Killeen, TX",TX,74,IAH,"Houston, TX",TX,74,1715,1848,1836,1941,0,0,166
1/4/2022 0:00,AA,3651,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1817,1812,1925,1926,0,0,134
1/4/2022 0:00,AA,3760,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,555,551,658,635,0,0,134
1/4/2022 0:00,AA,3971,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1258,1304,1402,1353,0,0,134
1/4/2022 0:00,AA,4212,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1016,1015,1125,1116,0,0,134
1/4/2022 0:00,AA,4400,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1436,1441,1543,1538,0,0,134
1/5/2022 0:00,AA,3651,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1817,1810,1925,1901,0,0,134
1/5/2022 0:00,AA,3760,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,555,555,658,643,0,0,134
1/5/2022 0:00,AA,3971,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1258,1314,1402,1400,0,0,134
1/5/2022 0:00,AA,3980,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,2000,1955,2108,2054,0,0,134
1/5/2022 0:00,AA,4132,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1613,1609,1719,1712,0,0,134
1/5/2022 0:00,AA,4212,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1016,1011,1125,1103,0,0,134
1/5/2022 0:00,AA,4400,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1436,1433,1543,1526,0,0,134
1/6/2022 0:00,AA,3651,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1817,1900,1925,2002,0,0,134
1/6/2022 0:00,AA,3760,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,555,552,658,637,0,0,134
1/6/2022 0:00,AA,3971,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1258,1255,1402,1343,0,0,134
1/6/2022 0:00,AA,3980,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,2000,1953,2108,2124,0,0,134
1/6/2022 0:00,AA,4132,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1613,1631,1719,1730,0,0,134
1/6/2022 0:00,AA,4212,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1016,1009,1125,1117,0,0,134
1/6/2022 0:00,AA,4400,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1436,1440,1543,1547,0,0,134
1/7/2022 0:00,AA,3651,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1817,1806,1925,1908,0,0,134
1/7/2022 0:00,AA,3760,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,555,550,658,643,0,0,134
1/7/2022 0:00,AA,3971,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1258,1306,1402,1357,0,0,134
1/7/2022 0:00,AA,3980,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,2000,2240,2108,2331,0,0,134
1/7/2022 0:00,AA,4132,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1613,1606,1719,1702,0,0,134
1/7/2022 0:00,AA,4212,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1016,1009,1125,1107,0,0,134
1/7/2022 0:00,AA,4400,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1436,1436,1543,1545,0,0,134
1/8/2022 0:00,AA,3651,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1817,1917,1925,2107,0,0,134
1/8/2022 0:00,AA,3760,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,630,627,736,728,0,0,134
1/8/2022 0:00,AA,3971,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1258,1549,1402,1651,0,0,134
1/8/2022 0:00,AA,4212,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1016,1059,1125,1203,0,0,134
1/8/2022 0:00,AA,4400,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1436,1623,1543,1815,0,0,134
1/9/2022 0:00,AA,3651,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1817,1805,1925,1915,0,0,134
1/9/2022 0:00,AA,3760,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,555,554,658,652,0,0,134
1/9/2022 0:00,AA,3971,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1258,1359,1402,1448,0,0,134
1/9/2022 0:00,AA,3980,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,2000,2004,2108,2057,0,0,134
1/9/2022 0:00,AA,4132,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1613,1656,1719,1748,0,0,134
1/9/2022 0:00,AA,4212,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1016,1101,1125,1150,0,0,134
1/9/2022 0:00,AA,4400,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1436,1437,1543,1527,0,0,134
1/10/2022 0:00,AA,3651,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1817,1953,1925,2118,0,0,134
1/10/2022 0:00,AA,3760,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,555,552,658,638,0,0,134
1/10/2022 0:00,AA,3971,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1258,1250,1402,1336,0,0,134
1/10/2022 0:00,AA,4212,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1016,1019,1125,1114,0,0,134
1/10/2022 0:00,AA,4400,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1436,1430,1543,1530,0,0,134
1/11/2022 0:00,AA,3651,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1817,2140,1925,2235,0,0,134
1/11/2022 0:00,AA,3760,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,555,600,658,646,0,0,134
1/11/2022 0:00,AA,3971,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1258,1332,1402,1418,0,0,134
1/11/2022 0:00,AA,4212,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1016,1007,1125,1110,0,0,134
1/11/2022 0:00,AA,4400,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1436,1436,1543,1609,0,0,134
1/12/2022 0:00,AA,3651,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1817,1807,1925,1908,0,0,134
1/12/2022 0:00,AA,3760,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,555,554,658,653,0,0,134
1/12/2022 0:00,AA,3971,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1258,1254,1402,1351,0,0,134
1/12/2022 0:00,AA,3980,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,2000,1948,2108,2046,0,0,134
1/12/2022 0:00,AA,4132,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1613,1606,1719,1708,0,0,134
1/12/2022 0:00,AA,4212,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1016,1011,1125,1118,0,0,134
1/12/2022 0:00,AA,4400,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1436,1435,1543,1553,0,0,134
1/13/2022 0:00,AA,3651,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1817,1803,1925,1900,0,0,134
1/13/2022 0:00,AA,3760,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,555,556,658,645,0,0,134
1/13/2022 0:00,AA,3971,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1258,1256,1402,1344,0,0,134
1/13/2022 0:00,AA,3980,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,2000,1951,2108,2047,0,0,134
1/13/2022 0:00,AA,4132,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1613,1656,1719,1759,0,0,134
1/13/2022 0:00,AA,4212,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1016,1016,1125,1108,0,0,134
1/13/2022 0:00,AA,4400,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1436,1437,1543,1527,0,0,134
1/14/2022 0:00,AA,3651,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1817,1813,1925,1912,0,0,134
1/14/2022 0:00,AA,3760,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,555,554,658,654,0,0,134
1/14/2022 0:00,AA,3971,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1258,1249,1402,1346,0,0,134
1/14/2022 0:00,AA,3980,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,2000,1954,2108,2140,0,0,134
1/14/2022 0:00,AA,4132,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1613,1610,1719,1709,0,0,134
1/14/2022 0:00,AA,4212,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1016,1015,1125,1119,0,0,134
1/14/2022 0:00,AA,4400,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1436,1430,1543,1531,0,0,134
1/15/2022 0:00,AA,3651,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1817,1821,1925,1946,0,0,134
1/15/2022 0:00,AA,3760,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,630,622,736,717,0,0,134
1/15/2022 0:00,AA,3971,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1258,1259,1402,1356,0,0,134
1/15/2022 0:00,AA,4212,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1016,1038,1125,1141,0,0,134
1/15/2022 0:00,AA,4400,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1436,1447,1543,1552,0,0,134
1/16/2022 0:00,AA,3651,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1817,1805,1925,1902,0,0,134
1/16/2022 0:00,AA,3760,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,555,546,658,649,0,0,134
1/16/2022 0:00,AA,3971,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1258,1253,1402,1338,0,0,134
1/16/2022 0:00,AA,3980,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,2000,1950,2108,2042,0,0,134
1/16/2022 0:00,AA,4132,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1613,1603,1719,1657,0,0,134
1/16/2022 0:00,AA,4212,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1016,1011,1125,1110,0,0,134
1/16/2022 0:00,AA,4400,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1436,1425,1543,1523,0,0,134
1/17/2022 0:00,AA,3651,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1817,1804,1925,1904,0,0,134
1/17/2022 0:00,AA,3760,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,555,553,658,644,0,0,134
1/17/2022 0:00,AA,3971,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1258,1249,1402,1342,0,0,134
1/17/2022 0:00,AA,3980,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,2000,1949,2108,2044,0,0,134
1/17/2022 0:00,AA,4132,GRK,"Killeen, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1613,1603,1719,1706,0,0,134
