FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,2930,GSO,"Greensboro/High Point, NC",NC,36,DFW,"Dallas/Fort Worth, TX",TX,74,700,656,930,854,0,0,999
1/1/2022 0:00,AA,3640,GSO,"Greensboro/High Point, NC",NC,36,MIA,"Miami, FL",FL,33,718,708,940,908,0,0,710
1/1/2022 0:00,AA,3690,GSO,"Greensboro/High Point, NC",NC,36,ORD,"Chicago, IL",IL,41,1016,1006,1136,1059,0,0,589
1/1/2022 0:00,AA,3829,GSO,"Greensboro/High Point, NC",NC,36,ORD,"Chicago, IL",IL,41,1310,,1428,,1,0,589
1/1/2022 0:00,AA,4250,GSO,"Greensboro/High Point, NC",NC,36,DFW,"Dallas/Fort Worth, TX",TX,74,1733,1810,2000,2039,0,0,999
1/1/2022 0:00,AA,4574,GSO,"Greensboro/High Point, NC",NC,36,LGA,"New York, NY",NY,22,1812,2032,1949,2151,0,0,461
1/1/2022 0:00,AA,4578,GSO,"Greensboro/High Point, NC",NC,36,LGA,"New York, NY",NY,22,610,604,750,730,0,0,461
1/1/2022 0:00,AA,4755,GSO,"Greensboro/High Point, NC",NC,36,LGA,"New York, NY",NY,22,1345,1339,1519,1504,0,0,461
1/1/2022 0:00,AA,4773,GSO,"Greensboro/High Point, NC",NC,36,PHL,"Philadelphia, PA",PA,23,600,552,726,700,0,0,365
1/1/2022 0:00,AA,4937,GSO,"Greensboro/High Point, NC",NC,36,CLT,"Charlotte, NC",NC,36,1130,1129,1235,1216,0,0,83
1/1/2022 0:00,AA,5237,GSO,"Greensboro/High Point, NC",NC,36,DCA,"Washington, DC",VA,38,832,829,947,1017,0,0,248
1/1/2022 0:00,AA,5354,GSO,"Greensboro/High Point, NC",NC,36,DCA,"Washington, DC",VA,38,1550,1541,1659,1642,0,0,248
1/1/2022 0:00,AA,5390,GSO,"Greensboro/High Point, NC",NC,36,CLT,"Charlotte, NC",NC,36,1614,1608,1730,1659,0,0,83
1/1/2022 0:00,AA,5497,GSO,"Greensboro/High Point, NC",NC,36,CLT,"Charlotte, NC",NC,36,852,839,1008,956,0,0,83
1/1/2022 0:00,AA,6001,GSO,"Greensboro/High Point, NC",NC,36,CLT,"Charlotte, NC",NC,36,700,656,814,821,0,0,83
1/1/2022 0:00,AA,6087,GSO,"Greensboro/High Point, NC",NC,36,CLT,"Charlotte, NC",NC,36,1812,1811,1915,1923,0,0,83
1/1/2022 0:00,AA,6097,GSO,"Greensboro/High Point, NC",NC,36,PHL,"Philadelphia, PA",PA,23,1734,1811,1905,1932,0,0,365
1/1/2022 0:00,AA,6162,GSO,"Greensboro/High Point, NC",NC,36,CLT,"Charlotte, NC",NC,36,1240,1539,1350,1630,0,0,83
1/1/2022 0:00,DL,2087,GSO,"Greensboro/High Point, NC",NC,36,ATL,"Atlanta, GA",GA,34,800,753,927,912,0,0,306
1/1/2022 0:00,DL,2503,GSO,"Greensboro/High Point, NC",NC,36,ATL,"Atlanta, GA",GA,34,1200,1156,1323,1306,0,0,306
1/1/2022 0:00,DL,2692,GSO,"Greensboro/High Point, NC",NC,36,ATL,"Atlanta, GA",GA,34,600,554,723,704,0,0,306
1/1/2022 0:00,DL,4967,GSO,"Greensboro/High Point, NC",NC,36,ATL,"Atlanta, GA",GA,34,1600,1557,1730,1710,0,0,306
1/1/2022 0:00,DL,5154,GSO,"Greensboro/High Point, NC",NC,36,LGA,"New York, NY",NY,22,1200,1159,1339,1320,0,0,461
