FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AS,2030,GTF,"Great Falls, MT",MT,84,SEA,"Seattle, WA",WA,93,1725,1723,1823,1837,0,0,512
1/1/2022 0:00,DL,4248,GTF,"Great Falls, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,1233,1253,1407,1411,0,0,463
1/1/2022 0:00,DL,4292,GTF,"Great Falls, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,805,756,945,926,0,0,463
1/1/2022 0:00,UA,4740,GTF,"Great Falls, MT",MT,84,DEN,"Denver, CO",CO,82,1400,1546,1600,1746,0,0,623
1/1/2022 0:00,UA,4750,GTF,"Great Falls, MT",MT,84,DEN,"Denver, CO",CO,82,655,,903,,1,0,623
1/2/2022 0:00,AS,2030,GTF,"Great Falls, MT",MT,84,SEA,"Seattle, WA",WA,93,1725,1727,1823,1851,0,0,512
1/2/2022 0:00,DL,4248,GTF,"Great Falls, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,1233,,1407,,1,0,463
1/2/2022 0:00,DL,4292,GTF,"Great Falls, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,700,657,840,812,0,0,463
1/2/2022 0:00,G4,1254,GTF,"Great Falls, MT",MT,84,AZA,"Phoenix, AZ",AZ,81,2058,205,2316,431,0,0,978
1/2/2022 0:00,UA,4740,GTF,"Great Falls, MT",MT,84,DEN,"Denver, CO",CO,82,1400,1400,1600,1544,0,0,623
1/2/2022 0:00,UA,4750,GTF,"Great Falls, MT",MT,84,DEN,"Denver, CO",CO,82,655,,903,,1,0,623
1/3/2022 0:00,AS,2030,GTF,"Great Falls, MT",MT,84,SEA,"Seattle, WA",WA,93,1725,1815,1823,1920,0,0,512
1/3/2022 0:00,DL,4248,GTF,"Great Falls, MT",MT,84,SLC,"Salt Lake City, UT",UT,87,1233,1227,1407,1349,0,0,463
