FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1923,HDN,"Hayden, CO",CO,82,DFW,"Dallas/Fort Worth, TX",TX,74,1649,1741,2006,2056,0,0,769
1/1/2022 0:00,AA,1924,HDN,"Hayden, CO",CO,82,DFW,"Dallas/Fort Worth, TX",TX,74,1452,1459,1810,1839,0,0,769
1/1/2022 0:00,AA,1936,HDN,"Hayden, CO",CO,82,ORD,"Chicago, IL",IL,41,1233,1249,1620,1628,0,0,1009
1/1/2022 0:00,AS,2517,HDN,"Hayden, CO",CO,82,SEA,"Seattle, WA",WA,93,1650,1657,1846,1845,0,0,891
1/1/2022 0:00,AS,3480,HDN,"Hayden, CO",CO,82,SAN,"San Diego, CA",CA,91,1530,1546,1652,1644,0,0,769
1/1/2022 0:00,B6,1748,HDN,"Hayden, CO",CO,82,FLL,"Fort Lauderdale, FL",FL,33,1154,1213,1757,1846,0,0,1843
1/1/2022 0:00,B6,2628,HDN,"Hayden, CO",CO,82,BOS,"Boston, MA",MA,13,1305,1408,1920,1938,0,0,1871
1/1/2022 0:00,DL,2276,HDN,"Hayden, CO",CO,82,ATL,"Atlanta, GA",GA,34,1231,1303,1743,1758,0,0,1340
1/1/2022 0:00,DL,2558,HDN,"Hayden, CO",CO,82,MSP,"Minneapolis, MN",MN,63,1415,1413,1723,1713,0,0,774
1/1/2022 0:00,UA,2155,HDN,"Hayden, CO",CO,82,IAH,"Houston, TX",TX,74,1458,1501,1847,1848,0,0,985
1/1/2022 0:00,UA,278,HDN,"Hayden, CO",CO,82,DEN,"Denver, CO",CO,82,1315,1435,1419,1527,0,0,141
1/1/2022 0:00,UA,4688,HDN,"Hayden, CO",CO,82,DEN,"Denver, CO",CO,82,1525,1716,1639,1909,0,0,141
1/1/2022 0:00,UA,5614,HDN,"Hayden, CO",CO,82,LAX,"Los Angeles, CA",CA,91,1635,,1807,,1,0,763
1/1/2022 0:00,UA,592,HDN,"Hayden, CO",CO,82,DEN,"Denver, CO",CO,82,725,818,833,1028,0,0,141
1/1/2022 0:00,UA,669,HDN,"Hayden, CO",CO,82,ORD,"Chicago, IL",IL,41,1245,1246,1628,1640,0,0,1009
1/1/2022 0:00,WN,2669,HDN,"Hayden, CO",CO,82,HOU,"Houston, TX",TX,74,1540,1637,1920,1959,0,0,1006
1/1/2022 0:00,WN,2865,HDN,"Hayden, CO",CO,82,DEN,"Denver, CO",CO,82,1420,1729,1525,1839,0,0,141
1/1/2022 0:00,WN,2866,HDN,"Hayden, CO",CO,82,DEN,"Denver, CO",CO,82,1055,1217,1205,1356,0,0,141
1/1/2022 0:00,WN,726,HDN,"Hayden, CO",CO,82,DAL,"Dallas, TX",TX,74,1215,1431,1530,1739,0,0,779
1/1/2022 0:00,WN,787,HDN,"Hayden, CO",CO,82,DEN,"Denver, CO",CO,82,1745,2122,1850,6,0,0,141
1/2/2022 0:00,AA,1923,HDN,"Hayden, CO",CO,82,DFW,"Dallas/Fort Worth, TX",TX,74,1053,1102,1410,1407,0,0,769
1/2/2022 0:00,AA,1924,HDN,"Hayden, CO",CO,82,DFW,"Dallas/Fort Worth, TX",TX,74,1452,1517,1810,1824,0,0,769
1/2/2022 0:00,AA,1936,HDN,"Hayden, CO",CO,82,ORD,"Chicago, IL",IL,41,1233,1224,1620,1559,0,0,1009
1/2/2022 0:00,AS,2517,HDN,"Hayden, CO",CO,82,SEA,"Seattle, WA",WA,93,1650,1659,1846,1856,0,0,891
1/2/2022 0:00,AS,3480,HDN,"Hayden, CO",CO,82,SAN,"San Diego, CA",CA,91,1530,1542,1652,1645,0,0,769
1/2/2022 0:00,DL,2276,HDN,"Hayden, CO",CO,82,ATL,"Atlanta, GA",GA,34,1231,1309,1744,1815,0,0,1340
1/2/2022 0:00,DL,2558,HDN,"Hayden, CO",CO,82,MSP,"Minneapolis, MN",MN,63,1415,1440,1725,1746,0,0,774
1/2/2022 0:00,UA,1542,HDN,"Hayden, CO",CO,82,EWR,"Newark, NJ",NJ,21,1200,1339,1756,1919,0,0,1728
1/2/2022 0:00,UA,2155,HDN,"Hayden, CO",CO,82,IAH,"Houston, TX",TX,74,1458,1550,1847,1928,0,0,985
