FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,DL,4259,HIB,"Hibbing, MN",MN,63,MSP,"Minneapolis, MN",MN,63,700,,808,,1,0,174
1/2/2022 0:00,DL,4259,HIB,"Hibbing, MN",MN,63,MSP,"Minneapolis, MN",MN,63,700,1012,809,1112,0,0,174
1/2/2022 0:00,DL,4327,HIB,"Hibbing, MN",MN,63,MSP,"Minneapolis, MN",MN,63,1047,1157,1157,1246,0,0,174
1/3/2022 0:00,DL,4259,HIB,"Hibbing, MN",MN,63,MSP,"Minneapolis, MN",MN,63,700,,809,,1,0,174
1/3/2022 0:00,DL,4327,HIB,"Hibbing, MN",MN,63,MSP,"Minneapolis, MN",MN,63,1047,1043,1157,1131,0,0,174
1/4/2022 0:00,DL,4259,HIB,"Hibbing, MN",MN,63,MSP,"Minneapolis, MN",MN,63,700,654,809,752,0,0,174
1/5/2022 0:00,DL,4259,HIB,"Hibbing, MN",MN,63,MSP,"Minneapolis, MN",MN,63,545,539,657,702,0,0,174
1/5/2022 0:00,DL,4327,HIB,"Hibbing, MN",MN,63,MSP,"Minneapolis, MN",MN,63,1334,1405,1440,1528,0,0,174
1/6/2022 0:00,DL,4259,HIB,"Hibbing, MN",MN,63,MSP,"Minneapolis, MN",MN,63,545,543,657,646,0,0,174
1/6/2022 0:00,DL,4327,HIB,"Hibbing, MN",MN,63,MSP,"Minneapolis, MN",MN,63,1334,1458,1440,1611,0,0,174
1/7/2022 0:00,DL,4259,HIB,"Hibbing, MN",MN,63,MSP,"Minneapolis, MN",MN,63,545,944,657,1038,0,0,174
