FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,3226,HPN,"White Plains, NY",NY,22,ORD,"Chicago, IL",IL,41,1659,1648,1844,1924,0,0,738
1/1/2022 0:00,AA,5097,HPN,"White Plains, NY",NY,22,CLT,"Charlotte, NC",NC,36,659,649,910,912,0,0,564
1/1/2022 0:00,AA,5180,HPN,"White Plains, NY",NY,22,CLT,"Charlotte, NC",NC,36,1340,,1546,,1,0,564
1/1/2022 0:00,AA,5254,HPN,"White Plains, NY",NY,22,DCA,"Washington, DC",VA,38,1529,1900,1640,2028,0,0,234
1/1/2022 0:00,AA,5282,HPN,"White Plains, NY",NY,22,DCA,"Washington, DC",VA,38,1025,1019,1133,1129,0,0,234
1/1/2022 0:00,AA,5678,HPN,"White Plains, NY",NY,22,DCA,"Washington, DC",VA,38,603,600,713,708,0,0,234
1/1/2022 0:00,B6,1051,HPN,"White Plains, NY",NY,22,RSW,"Fort Myers, FL",FL,33,1559,1558,1916,1922,0,0,1102
1/1/2022 0:00,B6,1167,HPN,"White Plains, NY",NY,22,PBI,"West Palm Beach/Palm Beach, FL",FL,33,1539,1657,1840,1951,0,0,1056
1/1/2022 0:00,B6,1447,HPN,"White Plains, NY",NY,22,TPA,"Tampa, FL",FL,33,1841,1934,2141,2230,0,0,1032
1/1/2022 0:00,B6,1551,HPN,"White Plains, NY",NY,22,RSW,"Fort Myers, FL",FL,33,648,645,1004,956,0,0,1102
1/1/2022 0:00,B6,1567,HPN,"White Plains, NY",NY,22,PBI,"West Palm Beach/Palm Beach, FL",FL,33,800,750,1059,1034,0,0,1056
1/1/2022 0:00,B6,495,HPN,"White Plains, NY",NY,22,MCO,"Orlando, FL",FL,33,1411,1424,1705,1701,0,0,972
1/1/2022 0:00,B6,667,HPN,"White Plains, NY",NY,22,PBI,"West Palm Beach/Palm Beach, FL",FL,33,1129,1238,1429,1536,0,0,1056
1/1/2022 0:00,B6,967,HPN,"White Plains, NY",NY,22,PBI,"West Palm Beach/Palm Beach, FL",FL,33,1947,2033,2239,2320,0,0,1056
1/1/2022 0:00,DL,1274,HPN,"White Plains, NY",NY,22,ATL,"Atlanta, GA",GA,34,1524,1524,1745,1734,0,0,780
1/1/2022 0:00,DL,2320,HPN,"White Plains, NY",NY,22,ATL,"Atlanta, GA",GA,34,700,,927,,1,0,780
