FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,2970,HRL,"Harlingen/San Benito, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,730,726,915,900,0,0,461
1/1/2022 0:00,AA,3269,HRL,"Harlingen/San Benito, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1944,1958,2132,2144,0,0,461
1/1/2022 0:00,AA,4119,HRL,"Harlingen/San Benito, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,1502,1503,1648,1639,0,0,461
1/1/2022 0:00,F9,707,HRL,"Harlingen/San Benito, TX",TX,74,DEN,"Denver, CO",CO,82,1555,1857,1745,2034,0,0,1023
1/1/2022 0:00,UA,4265,HRL,"Harlingen/San Benito, TX",TX,74,IAH,"Houston, TX",TX,74,1855,1846,2019,2015,0,0,295
1/1/2022 0:00,UA,4867,HRL,"Harlingen/San Benito, TX",TX,74,IAH,"Houston, TX",TX,74,1206,,1330,,1,0,295
1/1/2022 0:00,UA,6202,HRL,"Harlingen/San Benito, TX",TX,74,IAH,"Houston, TX",TX,74,700,,819,,1,0,295
1/1/2022 0:00,WN,3101,HRL,"Harlingen/San Benito, TX",TX,74,HOU,"Houston, TX",TX,74,635,629,740,727,0,0,277
1/1/2022 0:00,WN,3374,HRL,"Harlingen/San Benito, TX",TX,74,HOU,"Houston, TX",TX,74,1940,1938,2045,2036,0,0,277
1/1/2022 0:00,WN,3466,HRL,"Harlingen/San Benito, TX",TX,74,HOU,"Houston, TX",TX,74,1250,1450,1400,1559,0,0,277
1/1/2022 0:00,WN,3828,HRL,"Harlingen/San Benito, TX",TX,74,DAL,"Dallas, TX",TX,74,1415,1412,1545,1601,0,0,458
1/2/2022 0:00,AA,2970,HRL,"Harlingen/San Benito, TX",TX,74,DFW,"Dallas/Fort Worth, TX",TX,74,544,,727,,1,0,461
