FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,UA,5147,HYS,"Hays, KS",KS,62,DEN,"Denver, CO",CO,82,842,939,910,1156,0,0,298
1/2/2022 0:00,UA,5083,HYS,"Hays, KS",KS,62,DEN,"Denver, CO",CO,82,1200,1439,1228,1503,0,0,298
1/2/2022 0:00,UA,5147,HYS,"Hays, KS",KS,62,DEN,"Denver, CO",CO,82,640,828,708,853,0,0,298
1/3/2022 0:00,UA,5083,HYS,"Hays, KS",KS,62,DEN,"Denver, CO",CO,82,1200,,1228,,1,0,298
1/3/2022 0:00,UA,5147,HYS,"Hays, KS",KS,62,DEN,"Denver, CO",CO,82,640,632,708,716,0,0,298
1/4/2022 0:00,UA,5147,HYS,"Hays, KS",KS,62,DEN,"Denver, CO",CO,82,642,659,710,734,0,0,298
1/5/2022 0:00,UA,5083,HYS,"Hays, KS",KS,62,DEN,"Denver, CO",CO,82,1200,1151,1228,1213,0,0,298
1/5/2022 0:00,UA,5147,HYS,"Hays, KS",KS,62,DEN,"Denver, CO",CO,82,640,636,708,706,0,0,298
1/6/2022 0:00,UA,5083,HYS,"Hays, KS",KS,62,DEN,"Denver, CO",CO,82,1200,1203,1228,1216,0,0,298
1/6/2022 0:00,UA,5147,HYS,"Hays, KS",KS,62,DEN,"Denver, CO",CO,82,640,924,708,1003,0,0,298
1/7/2022 0:00,UA,5083,HYS,"Hays, KS",KS,62,DEN,"Denver, CO",CO,82,1200,1150,1228,1158,0,0,298
1/7/2022 0:00,UA,5147,HYS,"Hays, KS",KS,62,DEN,"Denver, CO",CO,82,640,759,708,825,0,0,298
1/8/2022 0:00,UA,5147,HYS,"Hays, KS",KS,62,DEN,"Denver, CO",CO,82,642,639,710,706,0,0,298
1/9/2022 0:00,UA,5083,HYS,"Hays, KS",KS,62,DEN,"Denver, CO",CO,82,1200,1148,1228,1218,0,0,298
1/9/2022 0:00,UA,5147,HYS,"Hays, KS",KS,62,DEN,"Denver, CO",CO,82,640,641,708,647,0,0,298
1/10/2022 0:00,UA,5083,HYS,"Hays, KS",KS,62,DEN,"Denver, CO",CO,82,1200,1155,1228,1209,0,0,298
1/10/2022 0:00,UA,5147,HYS,"Hays, KS",KS,62,DEN,"Denver, CO",CO,82,640,636,708,659,0,0,298
1/11/2022 0:00,UA,5147,HYS,"Hays, KS",KS,62,DEN,"Denver, CO",CO,82,642,,710,,1,0,298
1/12/2022 0:00,UA,5083,HYS,"Hays, KS",KS,62,DEN,"Denver, CO",CO,82,1200,1152,1228,1221,0,0,298
1/12/2022 0:00,UA,5147,HYS,"Hays, KS",KS,62,DEN,"Denver, CO",CO,82,640,637,708,701,0,0,298
1/13/2022 0:00,UA,5083,HYS,"Hays, KS",KS,62,DEN,"Denver, CO",CO,82,1200,1149,1228,1214,0,0,298
1/13/2022 0:00,UA,5147,HYS,"Hays, KS",KS,62,DEN,"Denver, CO",CO,82,640,628,708,651,0,0,298
1/14/2022 0:00,UA,5083,HYS,"Hays, KS",KS,62,DEN,"Denver, CO",CO,82,1200,1152,1228,1200,0,0,298
1/14/2022 0:00,UA,5147,HYS,"Hays, KS",KS,62,DEN,"Denver, CO",CO,82,640,710,708,723,0,0,298
1/15/2022 0:00,UA,5147,HYS,"Hays, KS",KS,62,DEN,"Denver, CO",CO,82,642,1022,710,1104,0,0,298
